model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1485.959490776062,200,7.42979745388031
inception,10,4,1408.7151374816895,25,56.34860549926758

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1489.8187556266785,200,7.449093778133392
inception,10,8,1338.7552337646484,14,95.62537384033203

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1500.98992061615,200,7.50494960308075
inception,10,16,1383.3032989501953,9,153.7003665500217

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2783.5917749404907,200,13.917958874702453
inception,10,4,2691.450553894043,48,56.07188653945923

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2792.2560958862305,200,13.961280479431153
inception,10,8,2666.9726943969727,28,95.24902479989188

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2809.172441482544,200,14.04586220741272
inception,10,16,2593.799560546875,17,152.57644473805146

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3088.8980798721313,200,15.444490399360657
inception,10,4,2988.556812286377,53,56.387864382761826

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3098.9078073501587,200,15.494539036750794
inception,10,8,2965.1691131591797,31,95.65061655352193

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3104.3421669006348,200,15.521710834503175
inception,10,16,2901.565902709961,19,152.71399487947164

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1502.0552649497986,200,7.510276324748993
inception,20,4,1440.7154846191406,47,30.653520949343417

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1507.5380816459656,200,7.537690408229828
inception,20,8,1426.791648864746,28,50.95684460231236

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1509.7062063217163,200,7.548531031608581
inception,20,16,1446.0839538574219,18,80.33799743652344

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2812.7461433410645,200,14.063730716705322
inception,20,4,2743.17244720459,90,30.479693857828774

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2814.939257621765,200,14.074696288108825
inception,20,8,2726.5690841674805,54,50.49202007717557

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2835.389825820923,200,14.176949129104614
inception,20,16,2718.7417907714844,34,79.96299384622013

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3101.554750442505,200,15.507773752212524
inception,20,4,3023.2274284362793,99,30.53765079228565

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3107.0068759918213,200,15.535034379959107
inception,20,8,3036.2157707214355,60,50.603596178690594

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3126.491099357605,200,15.632455496788024
inception,20,16,3046.430519104004,38,80.16922418694747

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1517.6477732658386,200,7.588238866329193
inception,30,4,1472.2875518798828,72,20.44843822055393

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1527.6174416542053,200,7.638087208271027
inception,30,8,1469.9853744506836,45,32.666341654459636

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1540.4790434837341,200,7.702395217418671
inception,30,16,1460.5282287597656,28,52.16172245570591

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2837.2744941711426,200,14.186372470855712
inception,30,4,2775.00083732605,138,20.108701719753984

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2862.646304130554,200,14.31323152065277
inception,30,8,2787.770435333252,86,32.4159352945727

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2912.5162525177,200,14.562581262588502
inception,30,16,2838.316547393799,55,51.605755407159975

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3125.1161212921143,200,15.625580606460572
inception,30,4,3063.6034393310547,153,20.023551891052644

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3147.9327640533447,200,15.739663820266724
inception,30,8,3088.4064044952393,95,32.509541099949885

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3211.239393234253,200,16.056196966171264
inception,30,16,3122.997215270996,60,52.049953587849934

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1524.0347499847412,200,7.620173749923706
inception,40,4,1482.9886779785156,73,20.314913396965967

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1564.618844985962,200,7.823094224929809
inception,40,8,1506.7605781555176,56,26.906438895634242

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1576.9814748764038,200,7.884907374382019
inception,40,16,1517.1694374084473,36,42.14359548356798

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2843.2317457199097,200,14.216158728599549
inception,40,4,2795.9987258911133,139,20.11509874741808

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2907.08057308197,200,14.535402865409852
inception,40,8,2844.6462383270264,108,26.33931702154654

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,3015.87939453125,200,15.07939697265625
inception,40,16,2924.494873046875,70,41.77849818638393

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3140.9652137756348,200,15.704826068878173
