model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1486.86457157135,200,7.434322857856751
resnet50,10,4,1373.407371520996,35,39.240210614885605

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1489.2078075408936,200,7.446039037704468
resnet50,10,8,1322.6835403442383,19,69.61492317601254

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1484.5951342582703,200,7.4229756712913515
resnet50,10,16,1183.549674987793,11,107.59542499889027

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2799.1936864852905,200,13.995968432426453
resnet50,10,4,2662.842082977295,68,39.15944239672493

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2790.9621772766113,200,13.954810886383056
resnet50,10,8,2561.0991134643555,37,69.2188949584961

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2790.52365398407,200,13.952618269920348
resnet50,10,16,2469.205909729004,23,107.35677868386973

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3091.289897918701,200,15.456449489593506
resnet50,10,4,2979.1321449279785,76,39.19910717010498

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3094.5436449050903,200,15.472718224525451
resnet50,10,8,2921.13614654541,42,69.55086063203358

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3083.604860305786,200,15.41802430152893
resnet50,10,16,2794.5170516967773,26,107.48142506526067

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1503.2463717460632,200,7.5162318587303165
resnet50,20,4,1443.1673889160156,68,21.22304983700023

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1505.8853096961975,200,7.529426548480988
resnet50,20,8,1408.2476806640625,38,37.05914949115954

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1512.0252504348755,200,7.560126252174378
resnet50,20,16,1378.3901023864746,24,57.432920932769775

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2823.1638736724854,200,14.115819368362427
resnet50,20,4,2736.9639072418213,130,21.05356851724478

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2837.655360221863,200,14.188276801109314
resnet50,20,8,2725.5001373291016,74,36.83108293687975

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2852.8240242004395,200,14.264120121002197
resnet50,20,16,2675.1446533203125,47,56.917971347240695

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3111.9536294937134,200,15.559768147468567
resnet50,20,4,3036.8090648651123,144,21.088951839341057

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3130.2250957489014,200,15.651125478744508
resnet50,20,8,3030.168445587158,82,36.95327372667266

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3140.7158908843994,200,15.703579454421996
resnet50,20,16,2967.789764404297,52,57.07288008469801

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1540.6917386054993,200,7.703458693027496
resnet50,30,4,1484.157314300537,105,14.13483156476702

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1562.4760670661926,200,7.812380335330963
resnet50,30,8,1495.0517120361328,60,24.917528533935545

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,4,1595.2164125442505,200,7.976082062721252
resnet50,30,16,1489.7479095458984,39,38.19866434733073

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,4,2799.298303604126,200,13.99649151802063
alexnet,10,8,2891.991994857788,200,14.45995997428894

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,2964.0682802200317,200,14.820341401100158
resnet50,30,8,2887.9925899505615,117,24.6836973500048

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,8,3054.346170425415,200,15.271730852127074
resnet50,30,16,2931.9974632263184,78,37.58971106700408

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,4,2811.0500469207764,200,14.055250234603882
alexnet,10,16,2898.762307167053,182,15.927265423994799

model name,gpu resource,batchsize,total latency,real exec times,avg latency
alexnet,10,16,3239.7181434631348,200,16.198590717315675
