model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11376.199047088623,200,56.880995235443116
densenet201,10,4,11439.163108825684,148,77.29164262720056

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15508.458930969238,200,77.54229465484619
inception,10,8,15488.270301818848,161,96.20043665725993

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15649.175567626953,200,78.24587783813476
inception,10,16,15663.390197753906,102,153.5626489975873

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11408.713577270508,200,57.04356788635254
densenet201,10,8,11555.075706481934,99,116.71793642911044

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,8,19306.70905303955,200,96.53354526519776
densenet201,10,8,19422.89015197754,166,117.00536236131047

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,23568.14405822754,200,117.8407202911377
inception,10,16,23566.12921142578,153,154.02698830997244

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11457.270751953125,200,57.286353759765625
densenet201,10,16,11597.469863891602,57,203.46438357704565

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,8,19358.525482177734,200,96.79262741088867
densenet201,10,16,19555.1435546875,96,203.69941202799478

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,16,30936.378479003906,200,154.68189239501953
densenet201,10,16,31273.007385253906,152,205.74346963982833

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6161.198240280151,200,30.805991201400758
densenet201,10,4,6264.186492919922,80,78.30233116149903

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,8,10219.184894561768,200,51.09592447280884
densenet201,10,4,10333.310768127441,131,78.88023487120184

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15994.813194274902,200,79.97406597137451
inception,20,16,16031.769226074219,199,80.56165440238301

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6194.25071144104,200,30.971253557205202
densenet201,10,8,6368.972732543945,54,117.94393949155454

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,8,10249.783798217773,200,51.248918991088864
densenet201,10,8,10419.591331481934,88,118.40444694865833

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,16,16189.078018188477,200,80.94539009094238
densenet201,10,8,16308.510459899902,136,119.91551808749928

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6211.113056182861,200,31.05556528091431
densenet201,10,16,6380.714019775391,31,205.82948450888358

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,8,10282.460891723633,200,51.412304458618166
densenet201,10,16,10552.8212890625,51,206.91806449142157

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,16,16254.77278137207,200,81.27386390686036
densenet201,10,16,16587.79783630371,79,209.97212451017356

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,4,4119.235218048096,200,20.59617609024048
densenet201,10,4,4201.740127563477,53,79.27811561440522

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,8,6547.257671356201,200,32.736288356781
densenet201,10,4,6676.999984741211,83,80.44578294868928

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,16,10423.95804977417,200,52.11979024887085
densenet201,10,4,10546.387687683105,127,83.04242273766225

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,4,4067.126811981201,200,20.335634059906006
densenet201,10,8,4177.842796325684,35,119.36693703787667

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,8,6583.795539855957,200,32.918977699279786
densenet201,10,8,6751.979385375977,56,120.57106045314244

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,16,10504.868892669678,200,52.52434446334839
densenet201,10,8,10669.398246765137,86,124.06277031122252

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,4,4062.7710151672363,200,20.31385507583618
densenet201,10,16,4159.220840454102,20,207.96104202270507

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,8,6599.40885925293,200,32.99704429626465
densenet201,10,16,6756.160415649414,32,211.1300129890442

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,16,10547.65962600708,200,52.7382981300354
densenet201,10,16,10685.715560913086,49,218.07582777373645

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,4,3887.684545516968,200,19.43842272758484
densenet201,10,4,3962.007179260254,50,79.24014358520508

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,8,5328.968221664429,200,26.644841108322144
densenet201,10,4,5434.554229736328,66,82.34173075358073

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,16,8382.209510803223,200,41.911047554016115
densenet201,10,4,8503.921997070312,99,85.89820199060922

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,4,3948.563585281372,200,19.74281792640686
densenet201,10,8,4054.28800201416,34,119.24376476512236

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,8,5342.888477325439,200,26.714442386627198
densenet201,10,8,5511.414619445801,45,122.4758804321289

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,16,8454.113265991211,200,42.270566329956054
densenet201,10,8,8596.485397338867,67,128.30575219908758

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,4,3852.527545928955,200,19.262637729644776
densenet201,10,16,3972.454544067383,19,209.0765549509149

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,8,5359.120794296265,200,26.795603971481324
densenet201,10,16,5581.944381713867,26,214.69016852745642

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,16,8495.080299377441,200,42.47540149688721
densenet201,10,16,8806.005096435547,39,225.79500247270633

model name,gpu resource,batchsize,total latency,real exec times,avg latency
