model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15270.88981628418,200,76.3544490814209
vgg19,10,4,14140.863586425781,135,104.74713767722801

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15217.615104675293,200,76.08807552337646
vgg19,10,8,13228.86978149414,57,232.0854347630551

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15425.443923950195,200,77.12721961975097
vgg19,10,16,13436.576538085938,50,268.7315307617188

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,4,21095.245643615723,200,105.47622821807862
densenet201,10,8,22292.780616760254,192,116.10823237895966

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,23202.370651245117,200,116.01185325622559
vgg19,10,8,21249.67121887207,91,233.5128705370557

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,23375.71816253662,200,116.8785908126831
vgg19,10,16,21253.83349609375,79,269.0358670391614

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,4,21090.694938659668,200,105.45347469329835
densenet201,10,16,22366.28565979004,110,203.3298696344549

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,16,40536.039794921875,200,202.68019897460937
vgg19,10,8,38625.954681396484,165,234.09669503876657

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,16,40991.38203430176,200,204.95691017150878
vgg19,10,16,38936.609619140625,144,270.39312235514325

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,20,4,10724.811214447021,200,53.624056072235106
densenet201,10,4,11332.80648803711,144,78.70004505581326

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15598.452667236328,200,77.99226333618164
vgg19,20,8,14687.2691116333,125,117.4981528930664

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,15863.157249450684,200,79.31578624725341
vgg19,20,16,14912.792892456055,109,136.81461369225738

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,20,4,10733.840286254883,200,53.669201431274416
densenet201,10,8,11341.83432006836,96,118.14410750071208

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,23617.989875793457,200,118.08994937896729
vgg19,20,8,22783.784187316895,193,118.05069527107199

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,8,23984.04758453369,200,119.92023792266846
vgg19,20,16,23107.939743041992,168,137.54726037524995

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,20,4,10778.188232421875,200,53.89094116210938
densenet201,10,16,11456.778198242188,55,208.30505814985796

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,20,8,23725.36891937256,200,118.6268445968628
densenet201,10,16,24918.40675354004,120,207.65338961283365

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,20,16,27556.92726135254,200,137.7846363067627
densenet201,10,16,28865.453048706055,137,210.69673758179601

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,4,6610.098140716553,200,33.05049070358277
densenet201,10,4,6963.26749420166,86,80.96822667676349

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,8,14553.574241638184,200,72.76787120819091
densenet201,10,4,15129.0986328125,187,80.90427076370321

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,4,16730.702461242676,200,83.65351230621337
vgg19,30,16,16162.287208557129,187,86.42934336126807

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,4,6620.706489562988,200,33.10353244781494
densenet201,10,8,7029.101219177246,58,121.19140033064217

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,8,14588.899879455566,200,72.94449939727784
densenet201,10,8,15214.400093078613,125,121.7152007446289

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,16,17371.07302093506,200,86.85536510467529
densenet201,10,8,18089.402297973633,144,125.62084929148357

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,4,6643.0104637146,200,33.215052318573
densenet201,10,16,7066.521057128906,33,214.13700173117897

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,8,14624.42552947998,200,73.1221276473999
densenet201,10,16,15430.580154418945,72,214.3136132558187

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,30,16,17390.004592895508,200,86.95002296447754
densenet201,10,16,18203.270950317383,82,221.991109150212

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,4,5132.619197845459,200,25.663095989227294
densenet201,10,4,5411.431114196777,65,83.25278637225811

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,8,8819.817153930664,200,44.09908576965332
densenet201,10,4,9173.545295715332,105,87.36709805443174

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,16,10714.725006103516,200,53.573625030517576
densenet201,10,4,11092.433059692383,119,93.21372319069229

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,4,5156.987077713013,200,25.784935388565064
densenet201,10,8,5490.06160736084,44,124.77412744001909

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,8,8847.99031829834,200,44.239951591491696
densenet201,10,8,9214.282180786133,71,129.77862226459342

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,16,10789.009819030762,200,53.945049095153806
densenet201,10,8,11243.19807434082,81,138.8049144980348

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,4,5150.146467208862,200,25.75073233604431
densenet201,10,16,5496.65217590332,25,219.86608703613283

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,8,8902.443714141846,200,44.51221857070923
densenet201,10,16,9444.166091918945,41,230.34551443704746

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,40,16,10861.343643188477,200,54.30671821594238
densenet201,10,16,11433.402694702148,46,248.55223249352497

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,4,4181.045372009277,200,20.905226860046387
