model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
alexnet,10,4,1485.959490776062,200,7.42979745388031,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,inception,10,4,1408.7151374816895,25,56.34860549926758,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478
alexnet,10,4,1489.8187556266785,200,7.449093778133392,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,inception,10,8,1338.7552337646484,14,95.62537384033203,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
alexnet,10,4,1500.98992061615,200,7.50494960308075,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,inception,10,16,1383.3032989501953,9,153.7003665500217,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
alexnet,10,8,2783.5917749404907,200,13.917958874702453,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,inception,10,4,2691.450553894043,48,56.07188653945923,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478
alexnet,10,8,2792.2560958862305,200,13.961280479431153,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,inception,10,8,2666.9726943969727,28,95.24902479989188,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
alexnet,10,8,2809.172441482544,200,14.04586220741272,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,inception,10,16,2593.799560546875,17,152.57644473805146,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
alexnet,10,16,3088.8980798721313,200,15.444490399360657,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,inception,10,4,2988.556812286377,53,56.387864382761826,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478
alexnet,10,16,3098.9078073501587,200,15.494539036750794,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,inception,10,8,2965.1691131591797,31,95.65061655352193,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
alexnet,10,16,3104.3421669006348,200,15.521710834503175,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,inception,10,16,2901.565902709961,19,152.71399487947164,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
alexnet,10,4,1502.0552649497986,200,7.510276324748993,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,inception,20,4,1440.7154846191406,47,30.653520949343417,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828
alexnet,10,4,1507.5380816459656,200,7.537690408229828,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,inception,20,8,1426.791648864746,28,50.95684460231236,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832
alexnet,10,4,1509.7062063217163,200,7.548531031608581,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,inception,20,16,1446.0839538574219,18,80.33799743652344,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166
alexnet,10,8,2812.7461433410645,200,14.063730716705322,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,inception,20,4,2743.17244720459,90,30.479693857828774,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828
alexnet,10,8,2814.939257621765,200,14.074696288108825,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,inception,20,8,2726.5690841674805,54,50.49202007717557,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832
alexnet,10,8,2835.389825820923,200,14.176949129104614,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,inception,20,16,2718.7417907714844,34,79.96299384622013,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166
alexnet,10,16,3101.554750442505,200,15.507773752212524,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,inception,20,4,3023.2274284362793,99,30.53765079228565,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828
