model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
alexnet,10,4,1486.86457157135,200,7.434322857856751,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,resnet50,10,4,1373.407371520996,35,39.240210614885605,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
alexnet,10,4,1489.2078075408936,200,7.446039037704468,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,resnet50,10,8,1322.6835403442383,19,69.61492317601254,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
alexnet,10,4,1484.5951342582703,200,7.4229756712913515,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,resnet50,10,16,1183.549674987793,11,107.59542499889027,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
alexnet,10,8,2799.1936864852905,200,13.995968432426453,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,resnet50,10,4,2662.842082977295,68,39.15944239672493,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
alexnet,10,8,2790.9621772766113,200,13.954810886383056,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,resnet50,10,8,2561.0991134643555,37,69.2188949584961,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
alexnet,10,8,2790.52365398407,200,13.952618269920348,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,resnet50,10,16,2469.205909729004,23,107.35677868386973,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
alexnet,10,16,3091.289897918701,200,15.456449489593506,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,resnet50,10,4,2979.1321449279785,76,39.19910717010498,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
alexnet,10,16,3094.5436449050903,200,15.472718224525451,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,resnet50,10,8,2921.13614654541,42,69.55086063203358,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
alexnet,10,16,3083.604860305786,200,15.41802430152893,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,resnet50,10,16,2794.5170516967773,26,107.48142506526067,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
alexnet,10,4,1503.2463717460632,200,7.5162318587303165,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,resnet50,20,4,1443.1673889160156,68,21.22304983700023,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262
alexnet,10,4,1505.8853096961975,200,7.529426548480988,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,resnet50,20,8,1408.2476806640625,38,37.05914949115954,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748
alexnet,10,4,1512.0252504348755,200,7.560126252174378,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,resnet50,20,16,1378.3901023864746,24,57.432920932769775,243932345,94396398,156094303,79468666,191635858,156394846,57.42509502
alexnet,10,8,2823.1638736724854,200,14.115819368362427,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,resnet50,20,4,2736.9639072418213,130,21.05356851724478,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262
alexnet,10,8,2837.655360221863,200,14.188276801109314,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,resnet50,20,8,2725.5001373291016,74,36.83108293687975,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748
