model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
alexnet,10,4,1496.3287363052368,200,7.481643681526184,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,10,4,210.62931060791016,2,105.31465530395508,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
alexnet,10,4,1495.2941703796387,200,7.476470851898194,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,10,8,231.93002319335938,1,231.93002319335938,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
alexnet,10,4,1498.645857334137,200,7.493229286670685,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,10,16,267.7596130371094,1,267.7596130371094,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
alexnet,10,8,2807.8967065811157,200,14.039483532905578,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,10,4,1568.4040756225586,15,104.56027170817057,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
alexnet,10,8,2815.5827169418335,200,14.077913584709167,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,10,8,701.6280212402344,3,233.87600708007812,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
alexnet,10,8,2822.2650842666626,200,14.111325421333312,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,10,16,539.3517150878906,2,269.6758575439453,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
alexnet,10,16,3105.6491508483887,200,15.528245754241944,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,vgg19,10,4,1882.1471786499023,18,104.5637321472168,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
alexnet,10,16,3109.943229675293,200,15.549716148376465,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,vgg19,10,8,931.0074310302734,4,232.75185775756836,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
alexnet,10,16,3098.9635848999023,200,15.494817924499511,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,vgg19,10,16,802.3830261230469,3,267.4610087076823,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
alexnet,10,4,1503.9473915100098,200,7.519736957550049,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,20,4,847.3813514709473,16,52.961334466934204,272962443,29325836,137973292,25403062,169945107,137936911,52.24013809
alexnet,10,4,1491.476031780243,200,7.4573801589012145,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,20,8,466.8954544067383,4,116.72386360168457,506894024,105072825,132561777,98468998,491101424,132581075,115.9701192
alexnet,10,4,1503.8104648590088,200,7.5190523242950436,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,20,16,409.6026916503906,3,136.53423055013022,571625673,209086006,222347931,201416329,570348625,222127391,135.1104674
alexnet,10,8,2812.216675758362,200,14.061083378791809,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,20,4,2150.5711212158203,41,52.452954175995615,272962443,29325836,137973292,25403062,169945107,137936911,52.24013809
alexnet,10,8,2808.937445640564,200,14.04468722820282,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,20,8,1744.376808166504,15,116.29178721110026,506894024,105072825,132561777,98468998,491101424,132581075,115.9701192
alexnet,10,8,2840.605118751526,200,14.20302559375763,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,20,16,1759.5758819580078,13,135.35199091984674,571625673,209086006,222347931,201416329,570348625,222127391,135.1104674
alexnet,10,16,3105.168869972229,200,15.525844349861146,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,vgg19,20,4,2473.2600288391113,47,52.62255380508748,272962443,29325836,137973292,25403062,169945107,137936911,52.24013809
alexnet,10,16,3102.2807989120483,200,15.511403994560242,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,vgg19,20,8,2093.4412994384766,18,116.3022944132487,506894024,105072825,132561777,98468998,491101424,132581075,115.9701192
alexnet,10,16,3134.6907148361206,200,15.673453574180604,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,vgg19,20,16,2042.9246978759766,15,136.19497985839843,571625673,209086006,222347931,201416329,570348625,222127391,135.1104674
alexnet,10,4,1531.8208656311035,200,7.659104328155518,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,30,4,1149.7328605651855,35,32.849510301862445,272809405,29327319,123015399,25578475,185020976,122237822,32.09844469
alexnet,10,4,1533.1395211219788,200,7.6656976056098936,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,30,8,871.2369003295898,12,72.60307502746582,506941693,105078424,132376309,98334011,491370811,132772808,71.467687
alexnet,10,4,1550.697627544403,200,7.753488137722015,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,vgg19,30,16,860.6767578125,10,86.06767578125,574179054,209104044,222252468,200926092,573889080,222439575,84.59205482
alexnet,10,8,2883.3465366363525,200,14.416732683181763,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,30,4,2510.809160232544,77,32.60791117185122,272809405,29327319,123015399,25578475,185020976,122237822,32.09844469
alexnet,10,8,2905.6453762054443,200,14.528226881027221,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,vgg19,30,8,2240.3774795532227,31,72.27024127591041,506941693,105078424,132376309,98334011,491370811,132772808,71.467687
