model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
alexnet,10,4,1481.0027194023132,200,7.405013597011566,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,densenet201,10,4,1700.6578826904297,22,77.30263103138317,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
alexnet,10,8,2860.128028869629,200,14.300640144348144,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,densenet201,10,4,3163.4669799804688,40,79.08667449951172,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
alexnet,10,16,3205.2606382369995,200,16.026303191184997,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,densenet201,10,4,3543.9726028442383,44,80.5448318828236,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
alexnet,10,4,1577.0500807762146,200,7.885250403881073,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,densenet201,10,8,1719.9437561035156,14,122.8531254359654,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
alexnet,10,8,2789.156093597412,200,13.94578046798706,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,densenet201,10,8,3105.4999237060547,27,115.01851569281683,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
alexnet,10,16,3071.769124031067,200,15.358845620155334,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,densenet201,10,8,3494.563018798828,30,116.48543395996094,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
alexnet,10,4,1477.2298231124878,200,7.386149115562439,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007,,densenet201,10,16,1812.2146606445312,9,201.35718451605902,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
alexnet,10,8,2784.0557079315186,200,13.920278539657593,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698,,densenet201,10,16,3208.712417602539,16,200.5445261001587,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
alexnet,10,16,3084.3724517822266,200,15.421862258911133,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515,,densenet201,10,16,3420.6424865722656,17,201.21426391601562,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
alexnet,20,4,809.7400968074799,200,4.0487004840374,19293247,2588757,10951681,1331316,11474652,10891350,3.873711677,,densenet201,10,4,912.0519943237305,11,82.91381766579367,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
alexnet,20,8,1392.3095316886902,200,6.961547658443451,30438865,5274085,12688378,3589253,23875799,13034824,6.741778884,,densenet201,10,4,1618.3974533081055,20,80.91987266540528,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
alexnet,20,16,1590.9620480537415,200,7.954810240268707,29588659,8022112,15361435,5710277,23346791,15368611,7.824366417,,densenet201,10,4,1828.6212997436523,23,79.50527390189792,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
alexnet,20,4,780.88672041893,200,3.90443360209465,19293247,2588757,10951681,1331316,11474652,10891350,3.873711677,,densenet201,10,8,937.9169616699219,8,117.23962020874023,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
alexnet,20,8,1402.363745689392,200,7.01181872844696,30438865,5274085,12688378,3589253,23875799,13034824,6.741778884,,densenet201,10,8,1551.0072402954102,13,119.30824925349309,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
