model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
inception,10,4,11376.199047088623,200,56.880995235443116,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478,,densenet201,10,4,11439.163108825684,148,77.29164262720056,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
densenet201,10,4,15508.458930969238,200,77.54229465484619,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,inception,10,8,15488.270301818848,161,96.20043665725993,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
densenet201,10,4,15649.175567626953,200,78.24587783813476,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,inception,10,16,15663.390197753906,102,153.5626489975873,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
inception,10,4,11408.713577270508,200,57.04356788635254,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478,,densenet201,10,8,11555.075706481934,99,116.71793642911044,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,10,8,19306.70905303955,200,96.53354526519776,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614,,densenet201,10,8,19422.89015197754,166,117.00536236131047,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
densenet201,10,8,23568.14405822754,200,117.8407202911377,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,inception,10,16,23566.12921142578,153,154.02698830997244,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
inception,10,4,11457.270751953125,200,57.286353759765625,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478,,densenet201,10,16,11597.469863891602,57,203.46438357704565,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,10,8,19358.525482177734,200,96.79262741088867,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614,,densenet201,10,16,19555.1435546875,96,203.69941202799478,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,10,16,30936.378479003906,200,154.68189239501953,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443,,densenet201,10,16,31273.007385253906,152,205.74346963982833,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,20,4,6161.198240280151,200,30.805991201400758,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828,,densenet201,10,4,6264.186492919922,80,78.30233116149903,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
inception,20,8,10219.184894561768,200,51.09592447280884,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832,,densenet201,10,4,10333.310768127441,131,78.88023487120184,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
densenet201,10,4,15994.813194274902,200,79.97406597137451,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,inception,20,16,16031.769226074219,199,80.56165440238301,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166
inception,20,4,6194.25071144104,200,30.971253557205202,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828,,densenet201,10,8,6368.972732543945,54,117.94393949155454,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,20,8,10249.783798217773,200,51.248918991088864,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832,,densenet201,10,8,10419.591331481934,88,118.40444694865833,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,20,16,16189.078018188477,200,80.94539009094238,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166,,densenet201,10,8,16308.510459899902,136,119.91551808749928,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,20,4,6211.113056182861,200,31.05556528091431,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828,,densenet201,10,16,6380.714019775391,31,205.82948450888358,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,20,8,10282.460891723633,200,51.412304458618166,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832,,densenet201,10,16,10552.8212890625,51,206.91806449142157,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,20,16,16254.77278137207,200,81.27386390686036,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166,,densenet201,10,16,16587.79783630371,79,209.97212451017356,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,30,4,4119.235218048096,200,20.59617609024048,89108253,26731395,34629063,11319870,85163711,34619124,17.77672482,,densenet201,10,4,4201.740127563477,53,79.27811561440522,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
inception,30,8,6547.257671356201,200,32.736288356781,153729991,48438721,66346449,26797407,143310304,66200478,30.17991909,,densenet201,10,4,6676.999984741211,83,80.44578294868928,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
inception,30,16,10423.95804977417,200,52.11979024887085,261270149,118526565,154977098,82774140,237960387,154914892,49.41696724,,densenet201,10,4,10546.387687683105,127,83.04242273766225,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
inception,30,4,4067.126811981201,200,20.335634059906006,89108253,26731395,34629063,11319870,85163711,34619124,17.77672482,,densenet201,10,8,4177.842796325684,35,119.36693703787667,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,30,8,6583.795539855957,200,32.918977699279786,153729991,48438721,66346449,26797407,143310304,66200478,30.17991909,,densenet201,10,8,6751.979385375977,56,120.57106045314244,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,30,16,10504.868892669678,200,52.52434446334839,261270149,118526565,154977098,82774140,237960387,154914892,49.41696724,,densenet201,10,8,10669.398246765137,86,124.06277031122252,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,30,4,4062.7710151672363,200,20.31385507583618,89108253,26731395,34629063,11319870,85163711,34619124,17.77672482,,densenet201,10,16,4159.220840454102,20,207.96104202270507,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,30,8,6599.40885925293,200,32.99704429626465,153729991,48438721,66346449,26797407,143310304,66200478,30.17991909,,densenet201,10,16,6756.160415649414,32,211.1300129890442,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,30,16,10547.65962600708,200,52.7382981300354,261270149,118526565,154977098,82774140,237960387,154914892,49.41696724,,densenet201,10,16,10685.715560913086,49,218.07582777373645,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,40,4,3887.684545516968,200,19.43842272758484,93154764,26694870,34487690,10627678,89357275,34529174,14.89535833,,densenet201,10,4,3962.007179260254,50,79.24014358520508,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
inception,40,8,5328.968221664429,200,26.644841108322144,156198349,48486644,64226408,25437610,147641838,64221011,24.1389958,,densenet201,10,4,5434.554229736328,66,82.34173075358073,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
inception,40,16,8382.209510803223,200,41.911047554016115,270211989,118513519,153105609,81931626,246335870,153256859,39.4742453,,densenet201,10,4,8503.921997070312,99,85.89820199060922,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
inception,40,4,3948.563585281372,200,19.74281792640686,93154764,26694870,34487690,10627678,89357275,34529174,14.89535833,,densenet201,10,8,4054.28800201416,34,119.24376476512236,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,40,8,5342.888477325439,200,26.714442386627198,156198349,48486644,64226408,25437610,147641838,64221011,24.1389958,,densenet201,10,8,5511.414619445801,45,122.4758804321289,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,40,16,8454.113265991211,200,42.270566329956054,270211989,118513519,153105609,81931626,246335870,153256859,39.4742453,,densenet201,10,8,8596.485397338867,67,128.30575219908758,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
inception,40,4,3852.527545928955,200,19.262637729644776,93154764,26694870,34487690,10627678,89357275,34529174,14.89535833,,densenet201,10,16,3972.454544067383,19,209.0765549509149,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
inception,40,8,5359.120794296265,200,26.795603971481324,156198349,48486644,64226408,25437610,147641838,64221011,24.1389958,,densenet201,10,16,5581.944381713867,26,214.69016852745642,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
