model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
densenet201,10,4,15270.88981628418,200,76.3544490814209,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,vgg19,10,4,14140.863586425781,135,104.74713767722801,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
densenet201,10,4,15217.615104675293,200,76.08807552337646,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,vgg19,10,8,13228.86978149414,57,232.0854347630551,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
densenet201,10,4,15425.443923950195,200,77.12721961975097,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,vgg19,10,16,13436.576538085938,50,268.7315307617188,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
vgg19,10,4,21095.245643615723,200,105.47622821807862,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,,densenet201,10,8,22292.780616760254,192,116.10823237895966,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
densenet201,10,8,23202.370651245117,200,116.01185325622559,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,vgg19,10,8,21249.67121887207,91,233.5128705370557,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
densenet201,10,8,23375.71816253662,200,116.8785908126831,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,vgg19,10,16,21253.83349609375,79,269.0358670391614,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
vgg19,10,4,21090.694938659668,200,105.45347469329835,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,,densenet201,10,16,22366.28565979004,110,203.3298696344549,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
densenet201,10,16,40536.039794921875,200,202.68019897460937,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,vgg19,10,8,38625.954681396484,165,234.09669503876657,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
densenet201,10,16,40991.38203430176,200,204.95691017150878,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,vgg19,10,16,38936.609619140625,144,270.39312235514325,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
vgg19,20,4,10724.811214447021,200,53.624056072235106,272962443,29325836,137973292,25403062,169945107,137936911,52.24013809,,densenet201,10,4,11332.80648803711,144,78.70004505581326,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
densenet201,10,4,15598.452667236328,200,77.99226333618164,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,vgg19,20,8,14687.2691116333,125,117.4981528930664,506894024,105072825,132561777,98468998,491101424,132581075,115.9701192
densenet201,10,4,15863.157249450684,200,79.31578624725341,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,vgg19,20,16,14912.792892456055,109,136.81461369225738,571625673,209086006,222347931,201416329,570348625,222127391,135.1104674
vgg19,20,4,10733.840286254883,200,53.669201431274416,272962443,29325836,137973292,25403062,169945107,137936911,52.24013809,,densenet201,10,8,11341.83432006836,96,118.14410750071208,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
densenet201,10,8,23617.989875793457,200,118.08994937896729,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,vgg19,20,8,22783.784187316895,193,118.05069527107199,506894024,105072825,132561777,98468998,491101424,132581075,115.9701192
densenet201,10,8,23984.04758453369,200,119.92023792266846,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,vgg19,20,16,23107.939743041992,168,137.54726037524995,571625673,209086006,222347931,201416329,570348625,222127391,135.1104674
vgg19,20,4,10778.188232421875,200,53.89094116210938,272962443,29325836,137973292,25403062,169945107,137936911,52.24013809,,densenet201,10,16,11456.778198242188,55,208.30505814985796,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,20,8,23725.36891937256,200,118.6268445968628,506894024,105072825,132561777,98468998,491101424,132581075,115.9701192,,densenet201,10,16,24918.40675354004,120,207.65338961283365,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,20,16,27556.92726135254,200,137.7846363067627,571625673,209086006,222347931,201416329,570348625,222127391,135.1104674,,densenet201,10,16,28865.453048706055,137,210.69673758179601,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,30,4,6610.098140716553,200,33.05049070358277,272809405,29327319,123015399,25578475,185020976,122237822,32.09844469,,densenet201,10,4,6963.26749420166,86,80.96822667676349,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
