model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
mobilenet,10,4,2599.113857269287,200,12.995569286346436,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,inception,10,4,2540.4862632751465,45,56.45525029500325,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478
mobilenet,10,4,2612.7449617385864,200,13.063724808692932,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,inception,10,8,2486.252151489258,26,95.62508274958684,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
mobilenet,10,4,2657.180386543274,200,13.285901932716369,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,inception,10,16,2450.6786346435547,16,153.16741466522217,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
mobilenet,10,8,4159.928993225098,200,20.799644966125488,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,inception,10,4,4087.4757537841797,72,56.77049658033583,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478
mobilenet,10,8,4175.535074234009,200,20.877675371170042,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,inception,10,8,4038.0320739746094,42,96.14362080891927,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
mobilenet,10,8,4217.320833206177,200,21.086604166030884,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,inception,10,16,3995.1879119873047,26,153.66107353797327,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
mobilenet,10,16,7110.523578643799,200,35.552617893218994,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,inception,10,4,7061.223426818848,124,56.94535021628103,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478
mobilenet,10,16,7122.17151260376,200,35.6108575630188,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,inception,10,8,7031.047065734863,73,96.31571322924471,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
mobilenet,10,16,7182.237991333008,200,35.91118995666504,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,inception,10,16,7082.057357788086,46,153.9577686475671,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
mobilenet,10,4,2657.991201400757,200,13.289956007003784,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,inception,20,4,2635.0403175354004,86,30.6400036922721,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828
mobilenet,10,4,2683.5561933517456,200,13.417780966758729,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,inception,20,8,2646.3914489746094,52,50.89214324951172,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832
