model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
mobilenet,10,4,2590.46626663208,200,12.9523313331604,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,resnet50,10,4,2711.6651153564453,69,39.29949442545573,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,10,8,4136.589735031128,200,20.68294867515564,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,resnet50,10,4,4268.839202880859,108,39.52628891556351,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,10,16,7086.47354888916,200,35.4323677444458,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,resnet50,10,4,7241.424263000488,183,39.57062438798081,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,10,4,2597.4032974243164,200,12.987016487121583,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,resnet50,10,8,2719.0129470825195,39,69.71828069442358,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,10,8,4141.011011123657,200,20.705055055618285,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,resnet50,10,8,4255.704322814941,61,69.76564463631051,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,10,16,7105.333248138428,200,35.52666624069214,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,resnet50,10,8,7277.733657836914,104,69.97820824843187,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,10,4,2621.577250480652,200,13.10788625240326,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,resnet50,10,16,2813.904197692871,26,108.2270845266489,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,10,8,4158.051511764526,200,20.79025755882263,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,resnet50,10,16,4334.2668533325195,40,108.35667133331299,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,10,16,7117.102527618408,200,35.58551263809204,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,resnet50,10,16,7376.719192504883,68,108.48116459566005,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,20,4,1712.688702583313,200,8.563443512916566,17127136,10824377,11433168,4489844,17401511,11378416,5.296509438,,resnet50,10,4,1790.7557640075684,45,39.79457253350152,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,20,8,2222.227996826172,200,11.11113998413086,32943049,21756069,23620079,12216131,32321729,23689419,9.691773062,,resnet50,10,4,2296.7788619995117,57,40.294365999991435,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,20,16,3771.338436126709,200,18.856692180633544,65717329,41979913,49618486,30531990,60361343,49615441,18.4364205,,resnet50,10,4,3898.814422607422,96,40.61265023549398,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,20,4,1680.2618556022644,200,8.401309278011322,17127136,10824377,11433168,4489844,17401511,11378416,5.296509438,,resnet50,10,8,1760.6325149536133,25,70.42530059814453,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,20,8,2233.1592321395874,200,11.165796160697937,32943049,21756069,23620079,12216131,32321729,23689419,9.691773062,,resnet50,10,8,2355.509376525879,33,71.37907201593572,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,20,16,3779.6319007873535,200,18.898159503936768,65717329,41979913,49618486,30531990,60361343,49615441,18.4364205,,resnet50,10,8,3924.3143615722656,55,71.35117021040483,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,20,4,1675.4590091705322,200,8.37729504585266,17127136,10824377,11433168,4489844,17401511,11378416,5.296509438,,resnet50,10,16,1760.2665328979492,16,110.01665830612183,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,20,8,2243.8065662384033,200,11.219032831192017,32943049,21756069,23620079,12216131,32321729,23689419,9.691773062,,resnet50,10,16,2418.9453506469727,22,109.95206139304422,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,20,16,3807.037063598633,200,19.035185317993164,65717329,41979913,49618486,30531990,60361343,49615441,18.4364205,,resnet50,10,16,3994.1403579711914,36,110.94834327697754,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,30,4,1670.635718345642,200,8.353178591728211,17227071,10817840,11592746,4210184,17273984,11617060,4.585784636,,resnet50,10,4,1709.9214897155762,42,40.71241642179943,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,30,8,1695.3206720352173,200,8.476603360176087,32981371,21752934,24411259,12172749,31502971,24412628,6.219951034,,resnet50,10,4,1798.9590034484863,43,41.836255894150845,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,30,16,2566.521828651428,200,12.832609143257141,65982263,41971312,49743394,30989420,60377010,49900135,11.98700381,,resnet50,10,4,2670.7564392089844,62,43.07671676143523,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,30,4,1674.4942407608032,200,8.372471203804016,17227071,10817840,11592746,4210184,17273984,11617060,4.585784636,,resnet50,10,8,1721.5252990722656,24,71.73022079467773,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,30,8,1715.6770248413086,200,8.578385124206543,32981371,21752934,24411259,12172749,31502971,24412628,6.219951034,,resnet50,10,8,1848.404396057129,25,73.93617584228515,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,30,16,2575.2183027267456,200,12.876091513633728,65982263,41971312,49743394,30989420,60377010,49900135,11.98700381,,resnet50,10,8,2705.7104873657227,36,75.15862464904785,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,30,4,1654.5939149856567,200,8.272969574928284,17227071,10817840,11592746,4210184,17273984,11617060,4.585784636,,resnet50,10,16,1756.707633972168,16,109.7942271232605,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,30,8,1716.3595476150513,200,8.581797738075256,32981371,21752934,24411259,12172749,31502971,24412628,6.219951034,,resnet50,10,16,1811.6503601074219,16,113.22814750671387,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,30,16,2598.517852783203,200,12.992589263916015,65982263,41971312,49743394,30989420,60377010,49900135,11.98700381,,resnet50,10,16,2692.9091567993164,23,117.08300681736158,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,40,4,1663.2328000068665,200,8.316164000034332,17369378,10821576,11699821,4983015,17374400,11703992,4.929570885,,resnet50,10,4,1707.8015975952148,42,40.66194279988607,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,40,8,1713.220742225647,200,8.566103711128235,32529400,21748237,24974258,12622845,30647858,24909541,5.55049408,,resnet50,10,4,1784.8825912475586,42,42.4972045535133,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,40,16,2161.1090908050537,200,10.80554545402527,65880774,41959103,50073602,30875856,59714904,50157817,10.01805569,,resnet50,10,4,2263.2609672546387,50,45.265219345092774,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,40,4,1685.5994873046875,200,8.427997436523437,17369378,10821576,11699821,4983015,17374400,11703992,4.929570885,,resnet50,10,8,1781.8524169921875,25,71.2740966796875,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,40,8,1734.9648327827454,200,8.674824163913726,32529400,21748237,24974258,12622845,30647858,24909541,5.55049408,,resnet50,10,8,1835.1984939575195,25,73.40793975830078,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,40,16,2169.7199001312256,200,10.848599500656128,65880774,41959103,50073602,30875856,59714904,50157817,10.01805569,,resnet50,10,8,2283.2508850097656,29,78.73278913826778,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,40,4,1665.0945301055908,200,8.325472650527955,17369378,10821576,11699821,4983015,17374400,11703992,4.929570885,,resnet50,10,16,1761.6653594970703,16,110.1040849685669,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,40,8,1670.753761768341,200,8.353768808841705,32529400,21748237,24974258,12622845,30647858,24909541,5.55049408,,resnet50,10,16,1722.096321105957,15,114.80642140706381,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,40,16,2206.93363571167,200,11.03466817855835,65880774,41959103,50073602,30875856,59714904,50157817,10.01805569,,resnet50,10,16,2347.760841369629,19,123.56636007208573,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
mobilenet,50,4,1683.5561923980713,200,8.417780961990356,17422247,10815250,11967841,4548669,17195103,11907026,4.698351998,,resnet50,10,4,1726.1000671386719,42,41.09762064615885,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,50,8,1750.5375328063965,200,8.752687664031983,33002698,21745115,25184069,12086867,30867037,25180487,6.337437077,,resnet50,10,4,1785.7956237792969,42,42.51894342331659,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,50,16,1918.8863353729248,200,9.594431676864623,65889510,41952440,50077276,30781640,59882365,50140717,8.279743299,,resnet50,10,4,1999.8403511047363,41,48.776593929383814,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256
mobilenet,50,4,1681.015453338623,200,8.405077266693116,17422247,10815250,11967841,4548669,17195103,11907026,4.698351998,,resnet50,10,8,1757.5084075927734,24,73.22951698303223,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
mobilenet,50,8,1789.7206373214722,200,8.948603186607361,33002698,21745115,25184069,12086867,30867037,25180487,6.337437077,,resnet50,10,8,1896.5743713378906,25,75.86297485351562,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789
