model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
inception,10,4,11357.299221038818,200,56.78649610519409,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478,,vgg19,10,4,11565.781845092773,110,105.14347131902521,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
inception,10,8,19227.285873413086,200,96.13642936706543,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614,,vgg19,10,4,19496.301544189453,186,104.81882550639492,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
vgg19,10,4,21093.656646728516,200,105.46828323364258,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,,inception,10,16,20783.36688232422,135,153.9508657949942,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
inception,10,4,11347.004417419434,200,56.73502208709717,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478,,vgg19,10,8,11664.421966552734,50,233.2884393310547,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
inception,10,8,19229.392280578613,200,96.14696140289307,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614,,vgg19,10,8,19590.58984375,84,233.22130766369048,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
inception,10,16,30714.651733398438,200,153.5732586669922,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443,,vgg19,10,8,31096.409072875977,133,233.80758701410508,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
inception,10,4,11419.876121520996,200,57.09938060760498,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478,,vgg19,10,16,11819.282196044922,44,268.62004991011185,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
inception,10,8,19337.712966918945,200,96.68856483459473,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614,,vgg19,10,16,19615.688507080078,73,268.708061740823,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
inception,10,16,30869.125198364258,200,154.3456259918213,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443,,vgg19,10,16,31241.26058959961,116,269.32121197930695,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
inception,20,4,6180.465099334717,200,30.902325496673583,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828,,vgg19,10,4,6330.3077392578125,59,107.29335151284428,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
inception,20,8,10246.417709350586,200,51.23208854675293,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832,,vgg19,10,4,10473.861137390137,98,106.8761340550014,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
inception,20,16,16177.0357131958,200,80.885178565979,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166,,vgg19,10,4,16411.223922729492,153,107.26290145574832,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
inception,20,4,6150.952165603638,200,30.75476082801819,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828,,vgg19,10,8,6340.159912109375,27,234.82073748553242,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
inception,20,8,10178.684295654297,200,50.893421478271485,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832,,vgg19,10,8,10562.457748413086,45,234.72128329806858,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
inception,20,16,16126.527549743652,200,80.63263774871827,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166,,vgg19,10,8,16537.020538330078,70,236.24315054757255,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
inception,20,4,6192.750177383423,200,30.963750886917115,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828,,vgg19,10,16,6479.806640625,24,269.991943359375,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
inception,20,8,10254.931865692139,200,51.27465932846069,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832,,vgg19,10,16,10536.518829345703,39,270.16714947040265,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
inception,20,16,16214.532943725586,200,81.07266471862793,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166,,vgg19,10,16,16556.77359008789,61,271.4225178702933,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
inception,30,4,4040.1653366088867,200,20.200826683044433,89108253,26731395,34629063,11319870,85163711,34619124,17.77672482,,vgg19,10,4,4245.191207885742,39,108.85105661245493,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
inception,30,8,6567.455532073975,200,32.83727766036987,153729991,48438721,66346449,26797407,143310304,66200478,30.17991909,,vgg19,10,4,6770.302421569824,62,109.198426154352,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
