model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
mobilenet,10,4,2628.5870723724365,200,13.142935361862182,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,vgg19,10,4,2749.6570434570312,26,105.75604013296274,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,10,8,4160.096673965454,200,20.80048336982727,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,vgg19,10,4,4336.44677734375,41,105.76699456935975,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,10,16,7118.492534637451,200,35.592462673187256,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,vgg19,10,4,7389.6127853393555,70,105.56589693341937,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,10,4,2579.8740491867065,200,12.899370245933532,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,vgg19,10,8,469.7978820800781,2,234.89894104003906,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,10,8,4151.172122955322,200,20.755860614776612,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,vgg19,10,8,2105.834945678711,9,233.9816606309679,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,10,16,7118.786849975586,200,35.59393424987793,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,vgg19,10,8,5619.730422973633,24,234.15543429056802,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,10,4,2604.6281909942627,200,13.023140954971314,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554,,vgg19,10,16,271.0876159667969,1,271.0876159667969,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,10,8,4174.305067062378,200,20.87152533531189,32845510,21765732,23068708,12345695,32887456,23103698,17.99046114,,vgg19,10,16,1885.4347839355469,7,269.3478262765067,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,10,16,7168.261493682861,200,35.84130746841431,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928,,vgg19,10,16,4852.709564208984,18,269.594975789388,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,20,4,1685.5666255950928,200,8.427833127975465,17127136,10824377,11433168,4489844,17401511,11378416,5.296509438,,vgg19,10,4,1826.8036880493164,17,107.4590404734892,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,20,8,2236.9793272018433,200,11.184896636009217,32943049,21756069,23620079,12216131,32321729,23689419,9.691773062,,vgg19,10,4,2370.0787048339844,22,107.73085021972656,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,20,16,3806.071319580078,200,19.03035659790039,65717329,41979913,49618486,30531990,60361343,49615441,18.4364205,,vgg19,10,4,4003.5839462280273,37,108.20497151967642,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,20,4,1687.8456010818481,200,8.439228005409241,17127136,10824377,11433168,4489844,17401511,11378416,5.296509438,,vgg19,10,8,231.89952087402344,1,231.89952087402344,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,20,8,2208.2580461502075,200,11.041290230751038,32943049,21756069,23620079,12216131,32321729,23689419,9.691773062,,vgg19,10,8,236.5911102294922,1,236.5911102294922,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,20,16,3778.799768447876,200,18.89399884223938,65717329,41979913,49618486,30531990,60361343,49615441,18.4364205,,vgg19,10,8,1898.741714477539,8,237.34271430969238,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,20,4,1638.7694735527039,200,8.193847367763519,17127136,10824377,11433168,4489844,17401511,11378416,5.296509438,,vgg19,10,16,267.00079345703125,1,267.00079345703125,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,20,8,2235.404354095459,200,11.177021770477294,32943049,21756069,23620079,12216131,32321729,23689419,9.691773062,,vgg19,10,16,268.32281494140625,1,268.32281494140625,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,20,16,3808.263038635254,200,19.04131519317627,65717329,41979913,49618486,30531990,60361343,49615441,18.4364205,,vgg19,10,16,1634.4967346191406,6,272.41612243652344,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,30,4,1614.9818897247314,200,8.074909448623657,17227071,10817840,11592746,4210184,17273984,11617060,4.585784636,,vgg19,10,4,1727.7463912963867,16,107.98414945602417,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,30,8,1746.7716188430786,200,8.733858094215392,32981371,21752934,24411259,12172749,31502971,24412628,6.219951034,,vgg19,10,4,1865.927734375,17,109.76045496323529,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,30,16,2595.289472579956,200,12.97644736289978,65982263,41971312,49743394,30989420,60377010,49900135,11.98700381,,vgg19,10,4,2726.2226028442383,24,113.59260845184326,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,30,4,1626.3700542449951,200,8.131850271224975,17227071,10817840,11592746,4210184,17273984,11617060,4.585784636,,vgg19,10,8,230.31228637695312,1,230.31228637695312,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,30,8,1741.517149925232,200,8.70758574962616,32981371,21752934,24411259,12172749,31502971,24412628,6.219951034,,vgg19,10,8,231.98883056640625,1,231.98883056640625,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,30,16,2566.5463342666626,200,12.832731671333313,65982263,41971312,49743394,30989420,60377010,49900135,11.98700381,,vgg19,10,8,490.8481903076172,2,245.4240951538086,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,30,4,1604.9247360229492,200,8.024623680114747,17227071,10817840,11592746,4210184,17273984,11617060,4.585784636,,vgg19,10,16,265.8427734375,1,265.8427734375,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,30,8,1735.2908143997192,200,8.676454071998597,32981371,21752934,24411259,12172749,31502971,24412628,6.219951034,,vgg19,10,16,268.7979431152344,1,268.7979431152344,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,30,16,2595.995937347412,200,12.97997968673706,65982263,41971312,49743394,30989420,60377010,49900135,11.98700381,,vgg19,10,16,273.6987609863281,1,273.6987609863281,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
mobilenet,40,4,1613.2330250740051,200,8.066165125370025,17369378,10821576,11699821,4983015,17374400,11703992,4.929570885,,vgg19,10,4,1715.0702285766602,16,107.19188928604126,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,40,8,1672.758457183838,200,8.363792285919189,32529400,21748237,24974258,12622845,30647858,24909541,5.55049408,,vgg19,10,4,1787.9090881347656,16,111.74431800842285,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,40,16,2195.116484642029,200,10.975582423210144,65880774,41959103,50073602,30875856,59714904,50157817,10.01805569,,vgg19,10,4,2279.5307846069336,19,119.97530445299651,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
mobilenet,40,4,1676.9205403327942,200,8.38460270166397,17369378,10821576,11699821,4983015,17374400,11703992,4.929570885,,vgg19,10,8,230.49417114257812,1,230.49417114257812,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
mobilenet,40,8,1733.0794506072998,200,8.665397253036499,32529400,21748237,24974258,12622845,30647858,24909541,5.55049408,,vgg19,10,8,232.00070190429688,1,232.00070190429688,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
