model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2599.113857269287,200,12.995569286346436
inception,10,4,2540.4862632751465,45,56.45525029500325

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2612.7449617385864,200,13.063724808692932
inception,10,8,2486.252151489258,26,95.62508274958684

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2657.180386543274,200,13.285901932716369
inception,10,16,2450.6786346435547,16,153.16741466522217

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4159.928993225098,200,20.799644966125488
inception,10,4,4087.4757537841797,72,56.77049658033583

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4175.535074234009,200,20.877675371170042
inception,10,8,4038.0320739746094,42,96.14362080891927

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4217.320833206177,200,21.086604166030884
inception,10,16,3995.1879119873047,26,153.66107353797327

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7110.523578643799,200,35.552617893218994
inception,10,4,7061.223426818848,124,56.94535021628103

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7122.17151260376,200,35.6108575630188
inception,10,8,7031.047065734863,73,96.31571322924471

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7182.237991333008,200,35.91118995666504
inception,10,16,7082.057357788086,46,153.9577686475671

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2657.991201400757,200,13.289956007003784
inception,20,4,2635.0403175354004,86,30.6400036922721

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2683.5561933517456,200,13.417780966758729
inception,20,8,2646.3914489746094,52,50.89214324951172

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2731.924509048462,200,13.659622545242309
inception,20,16,2649.2109756469727,33,80.27912047415069

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4213.8659591674805,200,21.0693297958374
inception,20,4,4165.655809402466,135,30.856709699277523

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4242.346351623535,200,21.211731758117676
inception,20,8,4192.534778594971,82,51.128472909694764

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4302.826919555664,200,21.51413459777832
inception,20,16,4202.562942504883,52,80.8185181250939

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6173.910015106201,200,30.869550075531006
mobilenet,10,16,6270.211601257324,175,35.82978057861328

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7214.424171447754,200,36.07212085723877
inception,20,8,7119.085155487061,139,51.21643996753281

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7317.134654998779,200,36.585673274993894
inception,20,16,7213.026458740234,89,81.04524110944084

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2689.620578765869,200,13.448102893829345
inception,30,4,2653.4845085144043,132,20.102155367533367

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2744.633087158203,200,13.723165435791016
inception,30,8,2700.4853706359863,83,32.5359683209155

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2850.4673318862915,200,14.252336659431457
inception,30,16,2809.70645904541,54,52.03160109343352

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,4,4049.8809604644775,200,20.24940480232239
mobilenet,10,8,4131.563959121704,194,21.29672143877167

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4319.907363891602,200,21.59953681945801
