model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,7899.189529418945,200,39.495947647094724
inception,10,4,7817.8989334106445,138,56.651441546453945

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,7919.057723999023,200,39.59528861999512
inception,10,8,7773.856262207031,81,95.97353410132138

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,7962.531227111816,200,39.81265613555908
inception,10,16,7809.317520141602,51,153.12387294395296

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11338.194736480713,200,56.690973682403566
resnet50,10,8,11516.959602355957,165,69.79975516579368

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,13992.395065307617,200,69.96197532653808
inception,10,8,13836.577674865723,144,96.08734496434529

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,14052.833404541016,200,70.26416702270508
inception,10,16,13803.89762878418,90,153.37664031982422

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11376.969253540039,200,56.8848462677002
resnet50,10,16,11586.559280395508,107,108.28560075135988

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,8,19294.101387023926,200,96.47050693511963
resnet50,10,16,19569.16237640381,180,108.71756875779894

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,21938.146255493164,200,109.69073127746582
inception,10,16,21675.398010253906,140,154.82427150181363

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6198.713411331177,200,30.993567056655884
resnet50,10,4,6319.224315643311,157,40.249836405371404

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,8022.394367218018,200,40.111971836090085
inception,20,8,7959.504005432129,156,51.022461573282875

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,8124.617649078369,200,40.62308824539185
inception,20,16,8069.554153442383,100,80.69554153442382

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6163.350816726685,200,30.816754083633423
resnet50,10,8,6339.711128234863,90,70.44123475816515

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,8,10236.606117248535,200,51.18303058624267
resnet50,10,8,10410.179504394531,147,70.8175476489424

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,14301.717582702637,200,71.50858791351318
inception,20,16,14161.97225189209,175,80.92555572509765

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6229.377752304077,200,31.146888761520387
resnet50,10,16,6378.931510925293,58,109.98157777457402

