model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11357.299221038818,200,56.78649610519409
vgg19,10,4,11565.781845092773,110,105.14347131902521

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,8,19227.285873413086,200,96.13642936706543
vgg19,10,4,19496.301544189453,186,104.81882550639492

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,4,21093.656646728516,200,105.46828323364258
inception,10,16,20783.36688232422,135,153.9508657949942

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11347.004417419434,200,56.73502208709717
vgg19,10,8,11664.421966552734,50,233.2884393310547

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,8,19229.392280578613,200,96.14696140289307
vgg19,10,8,19590.58984375,84,233.22130766369048

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,16,30714.651733398438,200,153.5732586669922
vgg19,10,8,31096.409072875977,133,233.80758701410508

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,4,11419.876121520996,200,57.09938060760498
vgg19,10,16,11819.282196044922,44,268.62004991011185

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,8,19337.712966918945,200,96.68856483459473
vgg19,10,16,19615.688507080078,73,268.708061740823

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,10,16,30869.125198364258,200,154.3456259918213
vgg19,10,16,31241.26058959961,116,269.32121197930695

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6180.465099334717,200,30.902325496673583
vgg19,10,4,6330.3077392578125,59,107.29335151284428

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,8,10246.417709350586,200,51.23208854675293
vgg19,10,4,10473.861137390137,98,106.8761340550014

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,16,16177.0357131958,200,80.885178565979
vgg19,10,4,16411.223922729492,153,107.26290145574832

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6150.952165603638,200,30.75476082801819
vgg19,10,8,6340.159912109375,27,234.82073748553242

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,8,10178.684295654297,200,50.893421478271485
vgg19,10,8,10562.457748413086,45,234.72128329806858

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,16,16126.527549743652,200,80.63263774871827
vgg19,10,8,16537.020538330078,70,236.24315054757255

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,4,6192.750177383423,200,30.963750886917115
vgg19,10,16,6479.806640625,24,269.991943359375

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,8,10254.931865692139,200,51.27465932846069
vgg19,10,16,10536.518829345703,39,270.16714947040265

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,20,16,16214.532943725586,200,81.07266471862793
vgg19,10,16,16556.77359008789,61,271.4225178702933

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,4,4040.1653366088867,200,20.200826683044433
vgg19,10,4,4245.191207885742,39,108.85105661245493

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,8,6567.455532073975,200,32.83727766036987
vgg19,10,4,6770.302421569824,62,109.198426154352

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,16,10466.348682403564,200,52.33174341201782
vgg19,10,4,10665.609352111816,97,109.95473558878162

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,4,4030.117649078369,200,20.150588245391845
vgg19,10,8,4269.800430297852,18,237.2111350165473

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,8,6524.164218902588,200,32.62082109451294
vgg19,10,8,6666.48698425293,28,238.08882086617606

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,16,10416.072208404541,200,52.0803610420227
vgg19,10,8,10656.723098754883,44,242.19825224442914

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,4,4060.3641605377197,200,20.3018208026886
vgg19,10,16,4347.586700439453,16,271.7241687774658

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,8,6578.262855529785,200,32.891314277648924
vgg19,10,16,6842.504913330078,25,273.7001965332031

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,30,16,10498.571109771729,200,52.49285554885864
vgg19,10,16,10849.494201660156,39,278.19215901692706

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,4,3898.469621658325,200,19.492348108291626
vgg19,10,4,4053.2877883911133,37,109.54831860516522

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,8,5341.15908241272,200,26.705795412063598
vgg19,10,4,5538.606872558594,50,110.77213745117187

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,16,8472.792049407959,200,42.36396024703979
vgg19,10,4,8640.307075500488,76,113.68825099342747

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,4,3865.7211170196533,200,19.328605585098266
vgg19,10,8,4069.9439849853516,17,239.40846970502068

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,8,5294.212646484375,200,26.471063232421876
vgg19,10,8,5562.159866333008,23,241.8330376666525

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,16,8371.293807983398,200,41.856469039916995
vgg19,10,8,8714.629852294922,35,248.98942435128347

model name,gpu resource,batchsize,total latency,real exec times,avg latency
inception,40,4,4019.5289878845215,200,20.097644939422608
