model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,7842.124607086182,200,39.210623035430906
vgg19,10,4,8044.096343994141,77,104.46878368823559

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,13923.939918518066,200,69.61969959259034
vgg19,10,4,14215.186920166016,136,104.52343323651482

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,4,21012.29222869873,200,105.06146114349366
resnet50,10,16,20632.670066833496,190,108.59300035175524

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,7871.681930541992,200,39.35840965270996
vgg19,10,8,6760.136779785156,29,233.1081648201778

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,13996.003662109375,200,69.98001831054688
vgg19,10,8,13549.752136230469,58,233.61641614190464

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,21721.403381347656,200,108.60701690673828
vgg19,10,8,21950.855102539062,94,233.51973513339428

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,4,7930.487194061279,200,39.6524359703064
vgg19,10,16,6188.342041015625,23,269.058349609375

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,14045.260269165039,200,70.22630134582519
vgg19,10,16,12906.721405029297,48,268.89002927144367

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,21857.459564208984,200,109.28729782104492
vgg19,10,16,21291.272979736328,79,269.5097845536244

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,4,4269.067132949829,200,21.345335664749147
vgg19,10,4,4402.551681518555,41,107.37930930533061

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,8,7454.106658935547,200,37.27053329467773
vgg19,10,4,7624.112434387207,71,107.38186527305925

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,16,11564.480178833008,200,57.82240089416504
vgg19,10,4,11894.812484741211,110,108.13465895219282

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,4,4239.439483642578,200,21.19719741821289
vgg19,10,8,2586.486572265625,11,235.13514293323863

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,8,7425.534080505371,200,37.12767040252685
vgg19,10,8,6159.883636474609,26,236.9186014028696

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,16,11504.15237045288,200,57.52076185226441
vgg19,10,8,10490.723037719727,44,238.42552358453923

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,4,4272.643545150757,200,21.363217725753785
vgg19,10,16,2171.4881286621094,8,271.4360160827637

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,8,7468.115009307861,200,37.34057504653931
vgg19,10,16,5443.4273681640625,20,272.17136840820314

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,20,16,11570.096912384033,200,57.85048456192017
vgg19,10,16,10137.860656738281,37,273.9962339658995

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,4,2829.6039428710938,200,14.148019714355469
vgg19,10,4,2981.4873275756836,27,110.42545657687717

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,8,4954.809722900391,200,24.774048614501954
vgg19,10,4,5122.088264465332,46,111.34974487968113

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,16,7592.3212966918945,200,37.96160648345947
vgg19,10,4,7797.297454833984,68,114.66613904167625

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,4,2816.457530975342,200,14.082287654876708
vgg19,10,8,1205.510009765625,5,241.102001953125

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,8,4929.263231277466,200,24.64631615638733
vgg19,10,8,3423.942642211914,14,244.5673315865653

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,16,7535.087146759033,200,37.67543573379517
vgg19,10,8,6557.123489379883,26,252.19705728384164

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,4,2842.8292503356934,200,14.214146251678466
vgg19,10,16,551.3381042480469,2,275.66905212402344

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,8,4965.0313358306885,200,24.82515667915344
vgg19,10,16,2813.0882873535156,10,281.30882873535154

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,30,16,7612.258819580078,200,38.061294097900394
vgg19,10,16,5522.2633056640625,19,290.6454371402138

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,4,2416.244770050049,200,12.081223850250245
vgg19,10,4,2584.2858505249023,23,112.36025437064792

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,8,3883.6721324920654,200,19.418360662460326
vgg19,10,4,4071.7332153320312,35,116.33523472377232

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,16,6208.9848346710205,200,31.044924173355103
vgg19,10,4,6434.832786560059,53,121.4119393690577

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,4,2414.7077131271362,200,12.073538565635682
vgg19,10,8,491.28857421875,2,245.644287109375

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,8,3876.309825897217,200,19.381549129486086
vgg19,10,8,2291.340576171875,9,254.59339735243054

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,16,6165.712251663208,200,30.82856125831604
vgg19,10,8,4566.559234619141,17,268.62113144818477

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,4,2442.834557533264,200,12.214172787666321
vgg19,10,16,271.5237121582031,1,271.5237121582031

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,8,3880.682285308838,200,19.40341142654419
vgg19,10,16,1460.3983154296875,5,292.0796630859375

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,40,16,6221.588836669922,200,31.10794418334961
vgg19,10,16,3993.9239501953125,13,307.2249192457933

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,4,2137.6073637008667,200,10.688036818504333
vgg19,10,4,2276.7163467407227,20,113.83581733703613

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,8,3170.9562559127808,200,15.854781279563904
vgg19,10,4,3316.536636352539,27,122.83469023527923

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,16,5281.236640930176,200,26.40618320465088
vgg19,10,4,5429.46223449707,41,132.42590815846512

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,4,2119.847454071045,200,10.599237270355225
vgg19,10,8,243.31468200683594,1,243.31468200683594

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,8,3143.3308811187744,200,15.716654405593872
vgg19,10,8,1341.5616455078125,5,268.3123291015625

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,16,5237.675006866455,200,26.188375034332275
vgg19,10,8,3470.165069580078,12,289.18042246500653

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,4,2146.8168296813965,200,10.734084148406982
vgg19,10,16,267.5038146972656,1,267.5038146972656

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,8,3176.1008653640747,200,15.880504326820374
vgg19,10,16,596.6807861328125,2,298.34039306640625

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,50,16,5303.1423988342285,200,26.51571199417114
vgg19,10,16,2622.9004821777344,8,327.8625602722168

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,60,4,2098.068419456482,200,10.49034209728241
vgg19,10,4,2187.521240234375,19,115.1326968544408

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,60,8,2950.0392570495605,200,14.750196285247803
vgg19,10,4,3057.9707641601562,24,127.41544850667317

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,60,16,4844.372337341309,200,24.221861686706543
vgg19,10,4,5043.510070800781,36,140.09750196668836

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,60,4,2115.266686439514,200,10.57633343219757
vgg19,10,8,242.57554626464844,1,242.57554626464844

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,60,8,2915.3541774749756,200,14.576770887374877
vgg19,10,8,826.3895874023438,3,275.46319580078125

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,60,16,4791.840438842773,200,23.959202194213866
