model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	9205.025509	219	42.03207995
resnet50	10	1	9154.938126	500	18.30987625
vgg19	10	1	9361.247414	319	29.34560318
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	14473.72457	341	42.44494008
resnet50	10	4	14544.50551	339	42.90414605
vgg19	10	1	14725.37644	500	29.45075288
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	14408.11913	340	42.37682098
resnet50	10	8	14415.75352	199	72.44097245
vgg19	10	1	14658.46446	500	29.31692893
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	14535.72818	339	42.87825422
resnet50	10	16	14500.97677	125	116.0078141
vgg19	10	1	14756.47277	500	29.51294554
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	9113.540615	219	41.61434071
resnet50	10	1	9097.910084	500	18.19582017
vgg19	10	4	9319.440598	86	108.3655883
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	20931.27669	500	41.86255338
resnet50	10	4	21108.01841	497	42.47086198
vgg19	10	4	21382.2504	197	108.5393422
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	21055.40308	500	42.11080616
resnet50	10	8	21160.61105	293	72.22051551
vgg19	10	4	21527.13992	198	108.7229289
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	21282.50741	500	42.56501482
resnet50	10	16	21387.63255	185	115.6088246
vgg19	10	4	21706.41704	199	109.0774726
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	9071.476902	220	41.23398592
resnet50	10	1	9057.089699	500	18.1141794
vgg19	10	8	9349.758804	52	179.8030539
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	20765.78776	500	41.53157552
resnet50	10	4	20944.0988	494	42.39696113
vgg19	10	8	21206.29178	118	179.7143371
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	20895.90152	500	41.79180305
resnet50	10	8	21033.39759	291	72.27971681
vgg19	10	8	21437.18004	119	180.1443701
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	21166.93709	500	42.33387418
resnet50	10	16	21201.5212	183	115.8553071
vgg19	10	8	21726.81027	120	181.0567523
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	9108.675945	220	41.40307248
resnet50	10	1	9099.98608	500	18.19997216
vgg19	10	16	9493.648956	44	215.764749
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	20904.48028	500	41.80896056
resnet50	10	4	21066.78092	494	42.6453055
vgg19	10	16	21359.34262	99	215.7509356
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	21046.78823	500	42.09357646
resnet50	10	8	21189.8424	292	72.56795342
vgg19	10	16	21651.70074	100	216.5170074
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	21311.50665	500	42.62301331
resnet50	10	16	21417.53099	184	116.3996249
vgg19	10	16	21760.41037	100	217.6041037
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	9503.588219	117	81.22724973
resnet50	10	1	9329.742367	500	18.65948473
vgg19	10	1	9547.97197	322	29.65208686
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	14557.63821	180	80.87576781
resnet50	10	4	14507.01974	337	43.04753631
vgg19	10	1	14679.09558	500	29.35819117
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	14609.1675	180	81.16204164
