model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,3701.833309,84,44.06944416
mobilenet,10,1,3634.248382,500,7.268496763
resnet50,10,1,3731.838812,197,18.94334422
vgg19,10,1,3791.380323,126,30.09032003
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,9544.806122,213,44.81129635
mobilenet,10,8,9529.522554,443,21.51133759
resnet50,10,1,9600.153,500,19.200306
vgg19,10,1,9698.054464,323,30.02493642
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,9625.983875,213,45.19241256
mobilenet,10,16,9600.150326,266,36.0907907
resnet50,10,1,9686.735147,500,19.37347029
vgg19,10,1,9806.747581,325,30.17460794
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,3848.396667,85,45.27525491
mobilenet,10,1,3791.526429,500,7.583052857
resnet50,10,8,3985.816704,53,75.20408875
vgg19,10,1,3931.212139,128,30.71259484
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,10937.10542,240,45.57127256
mobilenet,10,8,10915.19827,500,21.83039655
resnet50,10,8,11192.05986,150,74.6137324
vgg19,10,1,11130.92452,367,30.32949461
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,14952.7538,327,45.72707585
mobilenet,10,16,14967.02088,410,36.50492897
resnet50,10,8,15179.36874,203,74.77521549
vgg19,10,1,15179.01005,500,30.3580201
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,3921.722404,87,45.07726902
mobilenet,10,1,3831.102586,500,7.662205172
resnet50,10,16,4034.066032,34,118.649001
vgg19,10,1,3981.516184,130,30.62704757
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,11080.9428,243,45.60058766
mobilenet,10,8,11035.83632,500,22.07167264
resnet50,10,16,11354.12162,96,118.2721002
vgg19,10,1,11226.91923,369,30.42525536
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,15033.68911,327,45.97458443
mobilenet,10,16,15045.32299,408,36.87579164
resnet50,10,16,15327.17405,129,118.8153027
vgg19,10,1,15263.03402,500,30.52606804
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,3659.720131,84,43.5680968
mobilenet,10,1,3582.050754,500,7.164101508
resnet50,10,1,3686.870182,195,18.90702657
vgg19,10,8,3878.791748,21,184.704369
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,9499.9025,214,44.39206776
mobilenet,10,8,9455.717144,441,21.44153547
resnet50,10,1,9544.792162,500,19.08958432
vgg19,10,8,9686.516861,53,182.7644691
,,,,,
model name,gpu resource,batchsize,total latency,real exec times,avg latency
,,,,,
densenet201,10,1,9574.335464,214,44.73988535
mobilenet,10,16,9545.955032,265,36.02247182
resnet50,10,1,9618.750338,500,19.23750068
vgg19,10,8,9923.427399,54,183.767174
,,,,,
