model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model3 name,gpu3,batch3,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
densenet201,10,1,9205.025508880615,219,42.032079949226556,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,1,9154.938125610352,500,18.309876251220704,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,1,9361.247413635254,319,29.34560317753998,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,14473.72456741333,341,42.444940080391,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,4,14544.505512237549,339,42.90414605379808,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,1,14725.37643814087,500,29.450752876281737,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,14408.119132995605,340,42.376820979398836,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,8,14415.753517150879,199,72.44097244799437,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,1,14658.464464187622,500,29.316928928375244,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,14535.72817993164,339,42.878254218087434,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,16,14500.976768493652,125,116.00781414794922,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,1,14756.47276878357,500,29.512945537567138,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,9113.540615081787,219,41.61434070813601,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,1,9097.910083770752,500,18.195820167541505,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,4,9319.44059753418,86,108.3655883434207,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,1,20931.27668762207,500,41.86255337524414,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,4,21108.018405914307,497,42.470861983731,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,4,21382.25040435791,197,108.53934215410106,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,1,21055.403079986572,500,42.110806159973144,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,8,21160.611045837402,293,72.22051551480342,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,4,21527.139923095703,198,108.72292890452376,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,1,21282.50740814209,500,42.56501481628418,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,16,21387.632553100586,185,115.60882461135452,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,4,21706.417037963867,199,109.07747255258225,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,1,9071.476902008057,220,41.23398591821844,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,1,9057.089698791504,500,18.11417939758301,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,8,9349.758804321289,52,179.80305392925555,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,1,20765.787761688232,500,41.53157552337647,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,4,20944.098796844482,494,42.396961127215555,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,8,21206.291778564453,118,179.7143371064784,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,1,20895.901523590088,500,41.791803047180174,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,8,21033.397590637207,291,72.27971680631343,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,8,21437.18003845215,119,180.14437007102646,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,1,21166.937091827393,500,42.333874183654785,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,16,21201.521202087402,183,115.85530711523171,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,8,21726.810272216797,120,181.0567522684733,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,1,9108.675945281982,220,41.40307247855446,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,1,9099.986080169678,500,18.199972160339357,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,16,9493.648956298828,44,215.76474900679156,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,1,20904.480281829834,500,41.80896056365967,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,4,21066.780918121338,494,42.64530550226991,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,16,21359.34262084961,99,215.75093556413748,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,1,21046.788230895996,500,42.09357646179199,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,8,21189.842399597168,292,72.56795342327797,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,16,21651.700744628906,100,216.51700744628906,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,1,21311.50665283203,500,42.62301330566406,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,10,16,21417.530990600586,184,116.39962494891623,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,16,21760.410369873047,100,217.60410369873046,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,4,9503.588218688965,117,81.22724973238431,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,1,9329.742366790771,500,18.659484733581543,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,1,9547.971969604492,322,29.652086862125753,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,4,14557.638206481934,180,80.87576781378851,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,4,14507.019737243652,337,43.047536312295705,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,1,14679.095584869385,500,29.35819116973877,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,4,14609.167495727539,180,81.16204164293077,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,8,14443.084716796875,198,72.94487230705492,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,1,14698.594058990479,500,29.397188117980956,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,4,14655.735145568848,179,81.87561533837345,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,16,14468.62100982666,124,116.6824274986021,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,1,14775.971521377563,500,29.551943042755127,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,4,9363.920318603516,117,80.03350699661125,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,1,9221.634969711304,500,18.443269939422606,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,4,9457.149383544922,87,108.70286647752783,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,4,21479.622077941895,267,80.44802276382732,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,4,21442.093536376953,500,42.8841870727539,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,4,21734.41135406494,200,108.6720567703247,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
