model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
resnet50,10,4,7911.764171600342,200,39.55882085800171,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,densenet201,10,4,7996.22087097168,104,76.88673914395847,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,10,8,14026.218650817871,200,70.13109325408935,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,densenet201,10,4,14197.002815246582,184,77.15762399590534,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
densenet201,10,4,15502.03881072998,200,77.5101940536499,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487,,resnet50,10,16,15350.837936401367,141,108.87119103830757,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
resnet50,10,4,7945.109302520752,200,39.725546512603756,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,densenet201,10,8,8157.496658325195,70,116.53566654750279,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,10,8,14051.670989990234,200,70.25835494995117,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,densenet201,10,8,14226.982131958008,122,116.61460763900007,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,10,16,21808.37461090088,200,109.04187305450439,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,densenet201,10,8,22107.03183746338,189,116.96842242044116,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,10,4,7964.144451141357,200,39.820722255706784,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,densenet201,10,16,8142.175994873047,40,203.55439987182618,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,10,8,14082.744903564453,200,70.41372451782226,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,densenet201,10,16,14494.38703918457,71,204.14629632654325,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,10,16,21869.238494873047,200,109.34619247436524,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,densenet201,10,16,22356.672958374023,109,205.10709136122958,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,20,4,4256.310338973999,200,21.281551694869997,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262,,densenet201,10,4,4385.78662109375,56,78.31761823381696,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,20,8,7448.405487060547,200,37.24202743530273,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748,,densenet201,10,4,7597.172050476074,96,79.13720885912578,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,20,16,11511.577632904053,200,57.557888164520264,243932345,94396398,156094303,79468666,191635858,156394846,57.42509502,,densenet201,10,4,11629.732116699219,145,80.20504908068426,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,20,4,4279.010135650635,200,21.395050678253174,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262,,densenet201,10,8,4374.563125610352,37,118.2314358273068,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,20,8,7464.487400054932,200,37.32243700027466,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748,,densenet201,10,8,7620.751922607422,64,119.07424879074097,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,20,16,11551.257942199707,200,57.75628971099854,243932345,94396398,156094303,79468666,191635858,156394846,57.42509502,,densenet201,10,8,11798.058013916016,98,120.38834708077567,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,20,4,4291.840518951416,200,21.45920259475708,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262,,densenet201,10,16,4556.576812744141,22,207.1171278520064,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,20,8,7488.458190917969,200,37.44229095458984,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748,,densenet201,10,16,7744.41796875,37,209.30859375,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,20,16,11596.624782562256,200,57.98312391281128,243932345,94396398,156094303,79468666,191635858,156394846,57.42509502,,densenet201,10,16,11904.376983642578,56,212.5781604221889,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,30,4,2823.7494440078735,200,14.118747220039367,72490929,21517361,30396839,11125874,65986431,30407595,12.5948701,,densenet201,10,4,2905.6362533569336,36,80.71211814880371,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,30,8,4962.610662460327,200,24.813053312301637,130824761,46771034,66885492,33704441,115396604,67066226,23.57929411,,densenet201,10,4,5059.241195678711,61,82.93838025702804,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,30,16,7564.065113067627,200,37.82032556533814,244029662,94380003,153596960,78289889,193879918,153487503,37.0823188,,densenet201,10,4,7692.846336364746,89,86.43647568949153,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,30,4,2852.5018491744995,200,14.262509245872497,72490929,21517361,30396839,11125874,65986431,30407595,12.5948701,,densenet201,10,8,2923.555778503418,24,121.81482410430908,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,30,8,4989.358758926392,200,24.946793794631958,130824761,46771034,66885492,33704441,115396604,67066226,23.57929411,,densenet201,10,8,5099.681915283203,41,124.3824857386147,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,30,16,7613.106575012207,200,38.06553287506104,244029662,94380003,153596960,78289889,193879918,153487503,37.0823188,,densenet201,10,8,7749.588920593262,60,129.15981534322103,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,30,4,2866.7403259277344,200,14.333701629638671,72490929,21517361,30396839,11125874,65986431,30407595,12.5948701,,densenet201,10,16,2997.1895294189453,14,214.0849663870675,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,30,8,5012.647487640381,200,25.063237438201906,130824761,46771034,66885492,33704441,115396604,67066226,23.57929411,,densenet201,10,16,5261.849884033203,24,219.24374516805014,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,30,16,7666.208282470703,200,38.331041412353514,244029662,94380003,153596960,78289889,193879918,153487503,37.0823188,,densenet201,10,16,7824.876266479492,34,230.143419602338,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,40,4,2423.7545948028564,200,12.118772974014282,72453475,21518381,29968487,11592402,66518274,29933423,10.54247069,,densenet201,10,4,2479.8230514526367,30,82.66076838175455,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,40,8,3876.072521209717,200,19.380362606048585,122126980,46772694,66812235,33646930,106610455,66762091,18.12126364,,densenet201,10,4,4002.628974914551,46,87.01367336770763,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,40,16,6167.392351150513,200,30.836961755752565,233261030,94363475,152404321,78609819,183959173,152885818,29.53745594,,densenet201,10,4,6270.225776672363,68,92.20920259812299,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,40,4,2439.959391593933,200,12.199796957969665,72453475,21518381,29968487,11592402,66518274,29933423,10.54247069,,densenet201,10,8,2620.906410217285,21,124.80506715320405,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,40,8,3890.5223064422607,200,19.452611532211304,122126980,46772694,66812235,33646930,106610455,66762091,18.12126364,,densenet201,10,8,4020.192222595215,31,129.68362008371662,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,40,16,6206.922912597656,200,31.03461456298828,233261030,94363475,152404321,78609819,183959173,152885818,29.53745594,,densenet201,10,8,6322.689437866211,46,137.44977038839588,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,40,4,2443.2834272384644,200,12.216417136192321,72453475,21518381,29968487,11592402,66518274,29933423,10.54247069,,densenet201,10,16,2610.43701171875,12,217.53641764322916,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,40,8,3912.5261421203613,200,19.562630710601805,122126980,46772694,66812235,33646930,106610455,66762091,18.12126364,,densenet201,10,16,4130.0196533203125,18,229.4455362955729,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,40,16,6227.633018493652,200,31.138165092468263,233261030,94363475,152404321,78609819,183959173,152885818,29.53745594,,densenet201,10,16,6366.178909301758,26,244.85303497314453,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
resnet50,50,4,2078.7074546813965,200,10.393537273406983,72401170,21513310,29746597,11292881,66603441,29763435,7.710668159,,densenet201,10,4,2206.4816360473633,26,84.86467830951398,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,50,8,3152.5799322128296,200,15.762899661064148,122067245,46760300,66488019,33552815,106782986,66431448,14.50615452,,densenet201,10,4,3224.072654724121,35,92.11636156354632,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,50,16,5218.058010101318,200,26.090290050506592,233059238,94331313,149695382,77602051,185841895,149620531,24.43218494,,densenet201,10,4,5352.865417480469,53,100.99746070717866,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
resnet50,50,4,2099.5443181991577,200,10.497721590995788,72401170,21513310,29746597,11292881,66603441,29763435,7.710668159,,densenet201,10,8,2157.2106552124023,17,126.89474442425896,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
resnet50,50,8,3171.076894760132,200,15.85538447380066,122067245,46760300,66488019,33552815,106782986,66431448,14.50615452,,densenet201,10,8,3288.6622924804688,24,137.02759552001953,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
