model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
resnet50,10,4,7842.124607086182,200,39.210623035430906,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,4,8044.096343994141,77,104.46878368823559,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
resnet50,10,8,13923.939918518066,200,69.61969959259034,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,4,14215.186920166016,136,104.52343323651482,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
vgg19,10,4,21012.29222869873,200,105.06146114349366,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,,resnet50,10,16,20632.670066833496,190,108.59300035175524,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959
resnet50,10,4,7871.681930541992,200,39.35840965270996,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,8,6760.136779785156,29,233.1081648201778,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
resnet50,10,8,13996.003662109375,200,69.98001831054688,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,8,13549.752136230469,58,233.61641614190464,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
resnet50,10,16,21721.403381347656,200,108.60701690673828,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,8,21950.855102539062,94,233.51973513339428,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921
resnet50,10,4,7930.487194061279,200,39.6524359703064,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,16,6188.342041015625,23,269.058349609375,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
resnet50,10,8,14045.260269165039,200,70.22630134582519,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,16,12906.721405029297,48,268.89002927144367,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
resnet50,10,16,21857.459564208984,200,109.28729782104492,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,16,21291.272979736328,79,269.5097845536244,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953
resnet50,20,4,4269.067132949829,200,21.345335664749147,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262,,vgg19,10,4,4402.551681518555,41,107.37930930533061,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
resnet50,20,8,7454.106658935547,200,37.27053329467773,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748,,vgg19,10,4,7624.112434387207,71,107.38186527305925,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
resnet50,20,16,11564.480178833008,200,57.82240089416504,243932345,94396398,156094303,79468666,191635858,156394846,57.42509502,,vgg19,10,4,11894.812484741211,110,108.13465895219282,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739
