Wall time,Step,Value
1678538963.735764,3840,-1059.5008544921875
1678538965.673764,5760,-922.9981689453125
1678538966.7307649,6720,-1023.1714477539062
1678538968.6727643,8640,-987.6034545898438
1678538970.6027634,10560,-881.9456176757812
1678538971.4717646,11520,-838.9263305664062
1678538972.5697982,12480,-981.1455078125
1678538973.4287643,13440,-816.1181640625
1678538974.506765,14400,-821.026611328125
1678538975.3727632,15360,-859.895263671875
1678538976.2487645,16320,-965.0523681640625
1678538977.3277645,17280,-873.938720703125
1678538978.2177634,18240,-922.8251953125
1678538979.3077643,19200,-931.007080078125
1678538980.1887643,20160,-937.9816284179688
1678538982.0777633,22080,-864.5404052734375
1678538984.0047638,24000,-843.4774780273438
1678538985.0907648,24960,-868.5805053710938
1678538989.945592,29760,-739.2588500976562
1678538990.8185909,30720,-690.787353515625
1678538991.9105911,31680,-749.10009765625
1678538992.7675917,32640,-661.18359375
1678538993.859592,33600,-792.7791137695312
1678538995.7965915,35520,-728.3189086914062
1678538998.582591,38400,-769.6796875
1678538999.6455913,39360,-721.8843994140625
1678539001.5685902,41280,-697.41748046875
1678539002.4465919,42240,-720.7349243164062
1678539003.5125916,43200,-673.8724365234375
1678539004.3835914,44160,-710.6358032226562
1678539006.321592,46080,-690.0127563476562
1678539008.263592,48000,-682.8817138671875
1678539009.133591,48960,-638.895751953125
1678539012.1515918,51840,-717.18798828125
1678539013.010591,52800,-787.771484375
1678539014.171592,53760,-668.8992919921875
1678539015.0285916,54720,-712.948974609375
1678539016.0945914,55680,-679.9546508789062
1678539018.8745918,58560,-690.1241455078125
1678539019.9286313,59520,-723.7100830078125
1678539021.670592,61440,-742.0685424804688
1678539023.604592,63360,-800.6621704101562
1678539024.645591,64320,-777.385009765625
1678539025.5145915,65280,-830.960693359375
1678539026.5616236,66240,-719.91015625
1678539027.4265916,67200,-782.4111938476562
1678539029.326591,69120,-698.2654418945312
1678539030.3845916,70080,-670.6290893554688
1678539031.2345917,71040,-759.1556396484375
1678539032.285591,72000,-714.5202026367188
1678539034.205591,73920,-754.02001953125
1678539036.1225917,75840,-712.8687133789062
1678539037.0025907,76800,-742.6852416992188
1678539038.9105916,78720,-651.9074096679688
1678539039.7665915,79680,-645.6165161132812
1678539041.6865914,81600,-666.3734130859375
1678539042.734591,82560,-688.4019775390625
1678539043.6055908,83520,-747.1624755859375
1678539044.6575909,84480,-721.63232421875
1678539045.5065916,85440,-799.3130493164062
1678539046.589591,86400,-752.1073608398438
1678539048.5275915,88320,-813.6783447265625
1678539049.400591,89280,-776.2963256835938
1678539050.468592,90240,-695.8978881835938
1678539051.3155916,91200,-617.2901000976562
1678539056.028592,96000,-757.0905151367188
1678539058.9995914,98880,-749.5528564453125
1678539060.9315917,100800,-739.4135131835938
1678539061.7775917,101760,-700.2700805664062
1678539062.832591,102720,-744.0838012695312
1678539069.4135973,109440,-713.4534912109375
1678539072.2166233,112320,-762.7608032226562
1678539074.1225917,114240,-673.4072265625
1678539075.1715918,115200,-631.647705078125
1678539076.0415914,116160,-699.77978515625
1678539079.8435915,120000,-613.0488891601562
1678539080.9055917,120960,-646.7063598632812
1678539081.7785916,121920,-676.9912109375
1678539084.576591,124800,-740.01123046875
1678539085.6375923,125760,-723.3428955078125
1678539088.4655917,128640,-754.9959106445312
1678539091.462592,131520,-657.2962036132812
1678539092.3405917,132480,-654.4390258789062
1678539094.2875917,134400,-588.9896850585938
1678539096.2145913,136320,-641.914794921875
1678539097.2675908,137280,-663.9773559570312
1678539098.1355915,138240,-569.2850341796875
1678539099.0145912,139200,-673.8594360351562
1678539100.065592,140160,-688.8806762695312
1678539100.9575915,141120,-665.2286987304688
1678539102.9495914,143040,-675.9740600585938
1678539104.8865907,144960,-642.4263916015625
1678539107.8785918,147840,-612.095947265625
1678539108.756591,148800,-600.6404418945312
1678539109.8185916,149760,-531.6619262695312
1678539111.7335918,151680,-617.1976318359375
1678539112.594591,152640,-600.3889770507812
1678539113.4605918,153600,-573.5220947265625
1678539115.3695917,155520,-558.5927124023438
1678539116.4345915,156480,-642.1917724609375
1678539118.3895917,158400,-582.424560546875
1678539119.2415922,159360,-586.7586669921875
1678539121.1615918,161280,-639.9047241210938
1678539122.2055912,162240,-592.06884765625
1678539123.130591,163200,-581.9727172851562
1678539125.0555916,165120,-610.21435546875
1678539128.8885918,168960,-555.8724365234375
1678539129.7385905,169920,-535.4588012695312
1678539130.8265908,170880,-536.437255859375
1678539131.6815917,171840,-541.8311157226562
1678539133.599592,173760,-581.171142578125
1678539134.6405916,174720,-520.974609375
1678539136.5455923,176640,-567.2471313476562
1678539138.4345908,178560,-571.2650756835938
1678539139.2845912,179520,-532.970458984375
1678539140.3195918,180480,-523.6517944335938
1678539141.206591,181440,-547.702392578125
1678539143.0885913,183360,-453.2246398925781
1678539143.9315925,184320,-464.06683349609375
1678539150.6655927,191040,-426.8777770996094
1678539154.4395914,194880,-421.1236877441406
1678539158.1965919,198720,-309.9810485839844
1678539159.0785918,199680,-338.989013671875
1678539159.9205918,200640,-324.0113830566406
1678539163.678591,204480,-282.28887939453125
1678539164.744592,205440,-258.3310852050781
1678539165.6015913,206400,-275.3193664550781
1678539166.616592,207360,-302.9776611328125
1678539169.3475916,210240,-241.0017547607422
1678539170.3535922,211200,-294.7361145019531
1678539171.216592,212160,-315.5838623046875
1678539172.213591,213120,-257.230712890625
1678539173.0665917,214080,-274.2506408691406
1678539173.8885913,215040,-241.01564025878906
1678539175.8315914,216960,-251.21383666992188
1678539176.8645916,217920,-235.63653564453125
1678539177.705592,218880,-301.3108215332031
1678539179.5825915,220800,-207.9152069091797
1678539180.602592,221760,-255.95318603515625
1678539181.4835913,222720,-208.65684509277344
1678539182.4895914,223680,-304.70355224609375
1678539183.359592,224640,-248.28494262695312
1678539184.3765948,225600,-223.6036834716797
1678539187.1135917,228480,-294.33740234375
1678539188.1085906,229440,-254.21481323242188
1678539189.7795918,231360,-262.5674133300781
1678539193.534591,235200,-200.24249267578125
1678539194.5634573,236160,-229.96713256835938
1678539196.432458,238080,-217.24765014648438
1678539197.2884576,239040,-231.150634765625
1678539198.299458,240000,-215.5508575439453
1678539199.1704571,240960,-196.7816619873047
1678539200.1824586,241920,-242.6332550048828
1678539203.7194586,245760,-222.05824279785156
1678539206.6134586,248640,-237.79759216308594
1678539207.464458,249600,-228.1435546875
1678539208.4884584,250560,-223.9838409423828
1678539209.3644574,251520,-190.20448303222656
1678539211.2454584,253440,-226.00416564941406
