Wall time,Step,Value
1678520881.8679948,3840,-1725.3638916015625
1678520884.0349648,5760,-1835.092041015625
1678520885.368479,6720,-1678.667724609375
1678520887.5204773,8640,-1631.8463134765625
1678520889.4984756,10560,-1761.55419921875
1678520890.3794756,11520,-1668.6715087890625
1678520891.4724753,12480,-1743.3765869140625
1678520892.387477,13440,-1587.3311767578125
1678520893.5834763,14400,-1777.845458984375
1678520894.5094764,15360,-1774.8839111328125
1678520895.4165137,16320,-1537.8851318359375
1678520896.482772,17280,-1729.7318115234375
1678520897.3947723,18240,-1490.7838134765625
1678520898.4487724,19200,-1291.006103515625
1678520899.3507724,20160,-1468.026123046875
1678520901.2766216,22080,-1708.4063720703125
1678520903.3706217,24000,-1110.107421875
1678520904.4206214,24960,-1416.835693359375
1678520909.1887414,29760,-1393.2178955078125
1678520910.074743,30720,-1467.0885009765625
1678520911.1037433,31680,-1515.93603515625
1678520912.281504,32640,-1419.9212646484375
1678520913.3534694,33600,-1322.6463623046875
1678520915.3945985,35520,-1232.5469970703125
1678520919.160598,38400,-1257.2342529296875
1678520920.4015977,39360,-1166.2650146484375
1678520922.3875973,41280,-1233.7987060546875
1678520923.3025982,42240,-1500.23046875
1678520924.4845982,43200,-1243.4041748046875
1678520925.367598,44160,-1179.3984375
1678520927.3486307,46080,-1150.8983154296875
1678520929.31256,48000,-1204.3326416015625
1678520930.1837616,48960,-1173.9669189453125
1678520933.4137614,51840,-1296.9915771484375
1678520934.3157609,52800,-1035.70458984375
1678520935.5507612,53760,-1115.6756591796875
1678520936.604761,54720,-1198.9638671875
1678520937.8047614,55680,-1292.284423828125
1678520940.7706482,58560,-1069.708984375
1678520941.8746486,59520,-1125.01953125
1678520943.652648,61440,-902.530029296875
1678520945.6336498,63360,-952.2398681640625
1678520946.7116473,64320,-1035.325439453125
1678520947.6156993,65280,-950.6019287109375
1678520948.6777346,66240,-932.2669677734375
1678520949.558699,67200,-1134.8935546875
1678520951.648701,69120,-849.9179077148438
1678520952.7546694,70080,-983.1329345703125
1678520953.5976834,71040,-1151.5062255859375
1678520954.8775113,72000,-1006.8504638671875
1678520956.8395097,73920,-1014.5640869140625
1678520958.8375096,75840,-1170.994140625
1678520959.7205098,76800,-917.863525390625
1678520961.7125094,78720,-973.6525268554688
1678520962.62851,79680,-927.828369140625
1678520964.644511,81600,-1045.88525390625
1678520965.784511,82560,-997.3362426757812
1678520966.6785095,83520,-949.6539306640625
1678520967.7775106,84480,-972.6436157226562
1678520968.643511,85440,-917.9254150390625
1678520969.7065105,86400,-955.2605590820312
1678520971.697511,88320,-967.8519287109375
1678520972.73251,89280,-870.4763793945312
1678520973.809511,90240,-830.114990234375
1678520974.77251,91200,-916.0282592773438
1678520979.9380283,96000,-1076.1075439453125
1678520983.0090282,98880,-927.8524780273438
1678520985.069028,100800,-965.0465087890625
1678520986.0040276,101760,-990.614501953125
1678520987.063027,102720,-1049.00732421875
1678520993.900028,109440,-784.8548583984375
1678520996.681031,112320,-894.6657104492188
1678520998.6080277,114240,-874.5548706054688
1678520999.652028,115200,-888.05322265625
1678521000.5190277,116160,-743.565673828125
1678521004.3490279,120000,-846.1652221679688
1678521005.3980274,120960,-784.2440795898438
1678521006.2680283,121920,-809.1812744140625
1678521009.0680268,124800,-811.8522338867188
1678521010.121027,125760,-804.9102783203125
1678521012.948027,128640,-760.0137329101562
