Wall time,Step,Value
1678524121.0162644,3840,0.0
1678524123.2732642,5760,0.0
1678524124.4162643,6720,0.0
1678524126.4082637,8640,0.0
1678524128.3422647,10560,0.0
1678524129.2462635,11520,0.0
1678524130.2862644,12480,0.0
1678524131.179265,13440,0.0
1678524132.1942644,14400,0.0
1678524133.0872657,15360,0.0
1678524133.932264,16320,0.0
1678524134.9762645,17280,0.0
1678524135.8542662,18240,0.0
1678524136.8942642,19200,0.0
1678524137.7832644,20160,0.0
1678524139.7563038,22080,0.0
1678524141.7318156,24000,0.0
1678524142.7658968,24960,0.0
1678524147.8488972,29760,0.0
1678524148.703897,30720,0.0
1678524149.7738972,31680,0.0
1678524150.6229048,32640,0.0
1678524151.692897,33600,0.0
1678524153.6078973,35520,0.0
1678524156.3969939,38400,0.0
1678524157.433081,39360,0.0
1678524159.3920815,41280,0.0
1678524160.3072057,42240,0.0
1678524161.3582072,43200,0.0
1678524162.250206,44160,0.0
1678524164.221206,46080,0.0
1678524166.146207,48000,0.0
1678524167.0372052,48960,0.0
1678524170.0672092,51840,0.0
1678524170.9673061,52800,0.0
1678524172.052307,53760,0.0
1678524172.9678195,54720,0.0
1678524173.9908192,55680,0.0
1678524176.8148193,58560,0.0
1678524177.842819,59520,0.0
1678524179.6128197,61440,0.0
1678524181.53288,63360,0.0
1678524182.5953486,64320,0.0
1678524183.4504762,65280,0.0
1678524184.524476,66240,0.0
1678524185.4284773,67200,0.0
1678524187.4224765,69120,0.0
1678524188.487391,70080,0.0
1678524189.3934338,71040,0.0
1678524190.4264328,72000,0.0
1678524192.3868253,73920,0.0
1678524194.293824,75840,0.0
1678524195.180825,76800,0.0
1678524197.122373,78720,0.0
1678524197.9733753,79680,0.0
1678524199.8691595,81600,0.0
1678524200.9091513,82560,0.0
1678524201.7952993,83520,0.0
1678524202.852329,84480,0.0
1678524203.746343,85440,0.0
1678524204.8063424,86400,0.0
1678524206.7364235,88320,0.0
1678524207.6694252,89280,0.0
1678524208.7144237,90240,0.0
1678524209.6648548,91200,0.0
1678524214.6353648,96000,0.0
1678524217.6813931,98880,0.0
1678524219.6404786,100800,0.0
1678524220.526599,101760,0.0
1678524221.5925987,102720,0.0
1678524228.3878982,109440,0.0
1678524231.1508803,112320,0.0
1678524233.0758784,114240,0.0
1678524234.1278791,115200,0.0
1678524235.0073192,116160,0.0
1678524238.8796067,120000,0.0
1678524239.9026065,120960,0.0
1678524240.7686067,121920,0.0
1678524243.5198126,124800,0.0
1678524244.5948126,125760,0.0
1678524247.3407118,128640,0.0
1678524250.356712,131520,0.0
1678524251.2617118,132480,0.0
1678524253.2127116,134400,0.0
1678524255.2391627,136320,0.0
1678524256.2661626,137280,0.0
1678524257.154164,138240,0.0
1678524258.0021627,139200,0.0
1678524259.075162,140160,0.0
