Wall time,Step,Value
1678529023.2520816,3840,2.0
1678529025.1600819,5760,6.0
1678529026.2020822,6720,3.0
1678529028.1221066,8640,2.0
1678529030.0310822,10560,3.0
1678529030.9140823,11520,3.0
1678529031.958082,12480,5.0
1678529032.8150814,13440,3.0
1678529033.8770826,14400,4.0
1678529034.7330823,15360,4.0
1678529035.7210815,16320,4.0
1678529036.756082,17280,5.0
1678529037.6320825,18240,5.0
1678529038.667082,19200,3.0
1678529039.5650134,20160,5.0
1678529041.4982872,22080,8.0
1678529043.5492878,24000,5.0
1678529044.566287,24960,3.0
1678529049.3237891,29760,5.0
1678529050.2097902,30720,6.0
1678529051.2317889,31680,4.0
1678529052.1592991,32640,6.0
1678529053.1962998,33600,6.0
1678529055.1552992,35520,6.0
1678529057.9753008,38400,2.0
1678529059.0152996,39360,7.0
1678529060.9333313,41280,8.0
1678529061.7963264,42240,3.0
1678529062.8453825,43200,5.0
1678529063.7203822,44160,2.0
1678529065.6384149,46080,3.0
1678529067.570337,48000,2.0
1678529068.4473372,48960,8.0
1678529071.4494112,51840,7.0
1678529072.3274112,52800,2.0
1678529073.387348,53760,4.0
1678529074.272347,54720,3.0
1678529075.3583474,55680,11.0
1678529078.1804285,58560,8.0
1678529079.2737076,59520,5.0
1678529080.9897075,61440,7.0
1678529083.385251,63360,5.0
1678529084.4502501,64320,8.0
1678529085.3636594,65280,3.0
1678529086.4776857,66240,4.0
1678529087.3870778,67200,5.0
1678529089.4400783,69120,6.0
1678529090.518079,70080,8.0
1678529091.3760786,71040,8.0
1678529092.4350781,72000,11.0
1678529094.3340793,73920,7.0
1678529096.283079,75840,10.0
1678529097.1380787,76800,6.0
1678529099.0550787,78720,6.0
1678529099.94708,79680,5.0
1678529101.8652377,81600,13.0
1678529102.9372382,82560,8.0
1678529103.7952375,83520,5.0
1678529104.8532386,84480,7.0
1678529105.7123096,85440,6.0
1678529106.9153972,86400,5.0
1678529108.8573976,88320,6.0
1678529109.7173965,89280,8.0
1678529110.8123965,90240,12.0
1678529111.663397,91200,10.0
1678529116.4015205,96000,13.0
1678529119.41052,98880,14.0
1678529121.341782,100800,11.0
1678529122.1977818,101760,5.0
1678529123.2767818,102720,6.0
1678529129.9229064,109440,10.0
1678529132.7270296,112320,6.0
1678529134.653543,114240,5.0
1678529135.7135437,115200,9.0
1678529136.590543,116160,7.0
1678529140.4406712,120000,4.0
1678529141.528671,120960,5.0
1678529142.384736,121920,12.0
1678529145.231859,124800,9.0
1678529146.2918587,125760,11.0
1678529149.1069753,128640,9.0
1678529152.094943,131520,12.0
1678529152.9479432,132480,13.0
1678529154.913943,134400,8.0
1678529156.840943,136320,16.0
1678529157.9229436,137280,16.0
1678529158.7720275,138240,7.0
1678529159.6690595,139200,10.0
1678529160.7020724,140160,10.0
1678529161.5960693,141120,9.0
1678529163.5390692,143040,9.0
1678529165.4990692,144960,11.0
1678529168.5050693,147840,14.0
1678529169.3650677,148800,11.0
1678529170.4441924,149760,11.0
1678529172.3721917,151680,14.0
1678529173.2341933,152640,16.0
1678529174.119192,153600,13.0
1678529176.0721924,155520,9.0
1678529177.114193,156480,18.0
1678529179.039192,158400,25.0
1678529179.9251926,159360,18.0
1678529181.8652275,161280,23.0
1678529182.9272892,162240,22.0
1678529183.7872634,163200,15.0
1678529185.7182631,165120,27.0
1678529189.5982628,168960,18.0
1678529190.4742665,169920,19.0
1678529191.523263,170880,27.0
1678529192.4092627,171840,18.0
1678529194.354263,173760,11.0
1678529195.4082634,174720,8.0
1678529197.315325,176640,12.0
1678529199.2483234,178560,8.0
1678529200.0824058,179520,13.0
1678529201.1435316,180480,11.0
1678529201.98553,181440,7.0
1678529203.9015646,183360,11.0
1678529204.7705302,184320,7.0
1678529211.5397167,191040,4.0
1678529215.280717,194880,5.0
1678529219.0629325,198720,1.0
1678529219.905934,199680,2.0
1678529220.7579334,200640,5.0
1678529224.524933,204480,3.0
1678529225.6149325,205440,1.0
1678529226.4489322,206400,1.0
1678529227.5249834,207360,2.0
1678529230.2942576,210240,5.0
1678529231.3362942,211200,1.0
1678529232.1842651,212160,1.0
1678529233.214266,213120,1.0
1678529234.0592659,214080,3.0
1678529234.899297,215040,2.0
1678529236.7761955,216960,1.0
1678529237.8092947,217920,3.0
1678529238.648296,218880,1.0
1678529240.5012956,220800,2.0
1678529241.5232956,221760,1.0
1678529242.3702962,222720,2.0
1678529243.3732953,223680,1.0
1678529244.2392962,224640,5.0
1678529245.258296,225600,1.0
1678529247.9803789,228480,1.0
1678529248.9873788,229440,2.0
1678529250.698379,231360,1.0
1678529254.4455812,235200,1.0
1678529255.4325814,236160,1.0
1678529257.291581,238080,1.0
1678529258.148581,239040,2.0
1678529259.159581,240000,1.0
1678529260.0285802,240960,1.0
1678529261.0565813,241920,1.0
1678529264.6048827,245760,1.0
1678529267.4678824,248640,1.0
1678529268.330882,249600,1.0
1678529269.356882,250560,1.0
1678529270.219978,251520,1.0
1678529272.0580723,253440,1.0
1678529275.8252406,257280,1.0
1678529277.717241,259200,1.0
1678529279.6232853,261120,1.0
1678529280.475241,262080,1.0
1678529281.498274,263040,1.0
1678529282.3282402,264000,1.0
1678529283.3572826,264960,1.0
1678529285.23458,266880,1.0
1678529286.0715806,267840,1.0
1678529287.936581,269760,1.0
1678529289.8285882,271680,1.0
1678529291.7266097,273600,1.0
1678529296.530706,278400,1.0
1678529298.4427392,280320,1.0
1678529299.4847386,281280,1.0
1678529301.3387065,283200,1.0
1678529302.1747067,284160,1.0
1678529303.2187061,285120,1.0
1678529304.0727062,286080,1.0
1678529305.0847058,287040,1.0
1678529305.9347532,288000,1.0
1678529306.9417536,288960,1.0
1678529307.8067534,289920,1.0
1678529308.807754,290880,1.0
1678529309.6727538,291840,1.0
1678529313.3747537,295680,1.0
1678529314.2027528,296640,1.0
1678529316.0557532,298560,1.0
1678529318.901754,301440,1.0
1678529322.6329093,305280,1.0
1678529323.460909,306240,1.0
1678529324.3359098,307200,1.0
1678529325.3559093,308160,1.0
1678529327.2449934,310080,1.0
1678529328.096992,311040,1.0
1678529329.1079917,312000,1.0
1678529329.960991,312960,1.0
1678529330.965992,313920,1.0
1678529331.7950234,314880,1.0
1678529334.6986222,317760,1.0
1678529335.5206232,318720,1.0
1678529337.4046545,320640,1.0
1678529341.1408157,324480,1.0
1678529343.0069377,326400,1.0
1678529344.8659375,328320,2.0
1678529345.7229385,329280,1.0
1678529346.7729378,330240,1.0
1678529347.6019382,331200,1.0
1678529348.6619382,332160,1.0
1678529349.5089378,333120,1.0
1678529350.5541155,334080,1.0
1678529351.3831017,335040,1.0
1678529354.1099296,337920,1.0
1678529355.992929,339840,1.0
1678529357.0379293,340800,1.0
1678529358.9199295,342720,1.0
1678529360.7819293,344640,1.0
1678529361.6179297,345600,1.0
1678529362.635929,346560,1.0
1678529363.4819293,347520,1.0
1678529364.4839296,348480,1.0
