Wall time,Step,Value
1678529023.2530825,3840,48.0
1678529025.1610823,5760,56.0
1678529026.2030823,6720,59.0
1678529028.1230817,8640,56.0
1678529030.0310822,10560,50.0
1678529030.9140823,11520,58.0
1678529031.9590826,12480,55.0
1678529032.816082,13440,54.0
1678529033.8770826,14400,49.0
1678529034.828081,15360,54.0
1678529035.7220821,16320,51.0
1678529036.7570825,17280,54.0
1678529037.633083,18240,51.0
1678529038.668082,19200,57.0
1678529039.5650134,20160,51.0
1678529041.6257565,22080,59.0
1678529043.5502887,24000,63.0
1678529044.5672889,24960,53.0
1678529049.3247893,29760,51.0
1678529050.2097902,30720,55.0
1678529051.2327907,31680,65.0
1678529052.1592991,32640,61.0
1678529053.1973,33600,60.0
1678529055.1552992,35520,58.0
1678529057.9762998,38400,60.0
1678529059.0152996,39360,52.0
1678529060.9343014,41280,55.0
1678529061.797302,42240,59.0
1678529062.8463821,43200,56.0
1678529063.7213824,44160,54.0
1678529065.6393821,46080,56.0
1678529067.5713367,48000,60.0
1678529068.4473372,48960,51.0
1678529071.450412,51840,51.0
1678529072.328411,52800,66.0
1678529073.3883474,53760,52.0
1678529074.2733471,54720,60.0
1678529075.3593466,55680,57.0
1678529078.181429,58560,50.0
1678529079.2737076,59520,49.0
1678529081.439708,61440,61.0
1678529083.386248,63360,51.0
1678529084.45125,64320,55.0
1678529085.3646598,65280,58.0
1678529086.478661,66240,50.0
1678529087.3880792,67200,62.0
1678529089.4410799,69120,54.0
1678529090.5190794,70080,60.0
1678529091.3770785,71040,56.0
1678529092.4360795,72000,48.0
1678529094.3350797,73920,58.0
1678529096.2840793,75840,49.0
1678529097.1380787,76800,48.0
1678529099.0560787,78720,58.0
1678529099.9480796,79680,50.0
1678529101.8662384,81600,53.0
1678529102.9382381,82560,47.0
1678529103.7962387,83520,64.0
1678529104.8542387,84480,56.0
1678529105.84031,85440,60.0
1678529106.9153972,86400,50.0
1678529108.8583975,88320,53.0
1678529109.7173965,89280,65.0
1678529110.8123965,90240,52.0
1678529111.663397,91200,56.0
1678529116.4025195,96000,58.0
1678529119.411521,98880,52.0
1678529121.341782,100800,47.0
1678529122.198783,101760,53.0
1678529123.2777822,102720,57.0
1678529129.9229064,109440,49.0
1678529132.7280307,112320,57.0
1678529134.654543,114240,57.0
1678529135.714544,115200,55.0
1678529136.590543,116160,61.0
1678529140.4416718,120000,53.0
1678529141.528671,120960,58.0
1678529142.3857355,121920,56.0
1678529145.231859,124800,57.0
1678529146.2928588,125760,56.0
1678529149.1079438,128640,55.0
1678529152.0959446,131520,48.0
1678529152.9479432,132480,55.0
1678529154.913943,134400,49.0
1678529156.840943,136320,53.0
1678529157.923944,137280,51.0
1678529158.7730286,138240,50.0
1678529159.6700287,139200,48.0
1678529160.7030692,140160,61.0
1678529161.5970688,141120,51.0
1678529163.5400686,143040,52.0
1678529165.5000691,144960,54.0
1678529168.5060713,147840,52.0
1678529169.3650677,148800,61.0
1678529170.4441924,149760,52.0
1678529172.3731925,151680,56.0
1678529173.2352273,152640,55.0
1678529174.1201932,153600,57.0
1678529176.0721924,155520,46.0
1678529177.1151917,156480,59.0
1678529179.040193,158400,48.0
1678529179.9251926,159360,63.0
1678529181.866227,161280,52.0
1678529182.9282625,162240,57.0
1678529183.7882638,163200,61.0
1678529185.7192628,165120,65.0
1678529189.5992625,168960,54.0
1678529190.4752626,169920,55.0
1678529191.523263,170880,41.0
