Wall time,Step,Value
1678535436.6225262,3840,28.0
1678535438.4714954,5760,27.0
1678535439.4906209,6720,26.0
1678535441.3506207,8640,21.0
1678535443.3127701,10560,29.0
1678535444.146868,11520,31.0
1678535445.242078,12480,32.0
1678535446.0952158,13440,35.0
1678535447.2041824,14400,35.0
1678535448.1281834,15360,30.0
1678535449.1681845,16320,30.0
1678535450.3442152,17280,37.0
1678535451.2411833,18240,36.0
1678535452.4491832,19200,31.0
1678535453.322227,20160,33.0
1678535455.3123655,22080,32.0
1678535457.2833636,24000,38.0
1678535458.3343668,24960,36.0
1678535463.0044253,29760,44.0
1678535463.8504298,30720,46.0
1678535464.9894311,31680,42.0
1678535465.8264303,32640,49.0
1678535466.9453979,33600,36.0
1678535468.879398,35520,39.0
1678535471.7439659,38400,42.0
1678535472.8950012,39360,34.0
1678535474.7669647,41280,43.0
1678535475.616965,42240,33.0
1678535476.6790051,43200,40.0
1678535477.5410056,44160,40.0
1678535479.4846585,46080,39.0
1678535481.382656,48000,33.0
1678535482.238656,48960,33.0
1678535485.2356577,51840,40.0
1678535486.0736563,52800,26.0
1678535487.1496482,53760,34.0
1678535488.0116458,54720,42.0
1678535489.1536453,55680,43.0
1678535492.1551838,58560,38.0
1678535493.2422774,59520,26.0
1678535495.1014056,61440,25.0
1678535497.145533,63360,31.0
1678535498.2428982,64320,27.0
1678535499.0638976,65280,38.0
1678535500.142439,66240,23.0
1678535500.9634054,67200,27.0
1678535502.8295612,69120,29.0
1678535503.9045954,70080,26.0
1678535504.7345645,71040,32.0
1678535505.8025637,72000,28.0
1678535507.682604,73920,20.0
1678535509.5977569,75840,23.0
1678535510.421755,76800,18.0
1678535512.2939274,78720,11.0
1678535513.1099298,79680,16.0
1678535514.9781764,81600,16.0
1678535516.0383012,82560,15.0
1678535516.8523014,83520,10.0
1678535517.887293,84480,12.0
1678535518.7172692,85440,10.0
1678535519.6672711,86400,6.0
1678535521.6823096,88320,17.0
1678535522.5113106,89280,12.0
1678535523.5383093,90240,10.0
1678535524.357353,91200,8.0
1678535528.8494236,96000,1.0
1678535531.6564057,98880,3.0
1678535533.5866346,100800,2.0
1678535534.3647249,101760,2.0
1678535535.3247242,102720,1.0
1678535541.6015606,109440,1.0
1678535544.2517161,112320,1.0
1678535546.026685,114240,1.0
1678535546.9957173,115200,5.0
1678535547.8706846,116160,1.0
1678535551.4800239,120000,1.0
1678535552.4401364,120960,1.0
1678535553.3141613,121920,1.0
1678535555.8521376,124800,1.0
1678535556.8381357,125760,1.0
1678535559.4484494,128640,1.0
1678535562.231573,131520,1.0
1678535563.2425706,132480,1.0
1678535564.974951,134400,1.0
1678535566.749158,136320,1.0
1678535567.77019,137280,1.0
1678535568.5455465,138240,1.0
1678535569.4115467,139200,1.0
1678535570.3585463,140160,1.0
1678535571.1545467,141120,1.0
1678535573.0195465,143040,1.0
1678535574.760588,144960,1.0
1678535577.5282614,147840,1.0
1678535578.3362603,148800,1.0
1678535579.3932612,149760,1.0
1678535581.1982617,151680,1.0
1678535581.9792936,152640,1.0
1678535582.766261,153600,1.0
1678535584.6445413,155520,1.0
1678535585.5725071,156480,1.0
1678535587.3255336,158400,1.0
1678535588.1455066,159360,1.0
1678535589.9606633,161280,1.0
1678535590.9667006,162240,1.0
1678535591.7410598,163200,1.0
1678535593.4940283,165120,1.0
1678535597.0823338,168960,1.0
1678535597.8793027,169920,1.0
1678535598.8234472,170880,1.0
1678535599.6025136,171840,1.0
1678535601.3300643,173760,1.0
1678535602.2852151,174720,1.0
1678535604.0883079,176640,1.0
1678535605.8289967,178560,1.0
1678535606.6009643,179520,1.0
1678535607.5599644,180480,1.0
1678535608.3240082,181440,1.0
1678535610.0649648,183360,1.0
1678535610.8369658,184320,1.0
1678535617.1012955,191040,1.0
1678535620.6517608,194880,1.0
1678535624.1905982,198720,1.0
1678535624.9805658,199680,1.0
1678535625.764566,200640,1.0
1678535629.3106902,204480,1.0
1678535630.3987277,205440,1.0
1678535631.183774,206400,1.0
1678535632.168774,207360,1.0
1678535634.688851,210240,1.0
1678535635.650948,211200,1.0
1678535636.4349146,212160,1.0
1678535637.424914,213120,1.0
1678535638.2019148,214080,1.0
1678535638.9689472,215040,1.0
1678535640.725915,216960,1.0
1678535641.6879146,217920,1.0
1678535642.4649138,218880,1.0
1678535644.2039158,220800,1.0
1678535645.1889145,221760,1.0
1678535645.983172,222720,1.0
1678535646.9421713,223680,1.0
1678535647.726172,224640,1.0
1678535648.685172,225600,1.0
1678535651.850173,228480,1.0
1678535652.811198,229440,1.0
1678535654.5155177,231360,1.0
