Wall time,Step,Value
1678524121.0162644,3840,17.0
1678524123.2732642,5760,13.0
1678524124.415265,6720,6.0
1678524126.407264,8640,11.0
1678524128.3422647,10560,15.0
1678524129.2462635,11520,14.0
1678524130.2862644,12480,21.0
1678524131.1782644,13440,16.0
1678524132.1932638,14400,14.0
1678524133.086265,15360,10.0
1678524133.9312954,16320,18.0
1678524134.9762645,17280,11.0
1678524135.8542662,18240,10.0
1678524136.8932965,19200,13.0
1678524137.782264,20160,12.0
1678524139.755303,22080,17.0
1678524141.7308142,24000,14.0
1678524142.764927,24960,13.0
1678524147.8478963,29760,15.0
1678524148.7028966,30720,19.0
1678524149.772897,31680,19.0
1678524150.6229048,32640,17.0
1678524151.692897,33600,13.0
1678524153.6078973,35520,16.0
1678524156.3969939,38400,21.0
1678524157.4320781,39360,21.0
1678524159.3920815,41280,22.0
1678524160.3072057,42240,19.0
1678524161.357206,43200,20.0
1678524162.250206,44160,21.0
1678524164.2202055,46080,27.0
1678524166.1452394,48000,22.0
1678524167.0372052,48960,25.0
1678524170.0672092,51840,23.0
1678524170.9673061,52800,21.0
1678524172.0513065,53760,26.0
1678524172.9668193,54720,30.0
1678524173.989819,55680,24.0
1678524176.8138194,58560,30.0
1678524177.8418186,59520,26.0
1678524179.6128197,61440,24.0
1678524181.53288,63360,32.0
1678524182.5953486,64320,24.0
1678524183.4494755,65280,18.0
1678524184.5234752,66240,26.0
1678524185.4274766,67200,24.0
1678524187.4214766,69120,30.0
1678524188.487391,70080,33.0
1678524189.392433,71040,29.0
1678524190.4264328,72000,31.0
1678524192.3858256,73920,27.0
1678524194.293824,75840,33.0
1678524195.180825,76800,28.0
1678524197.122373,78720,30.0
1678524197.9733753,79680,34.0
1678524199.8691595,81600,31.0
1678524200.9081504,82560,35.0
1678524201.7943296,83520,33.0
1678524202.852329,84480,31.0
1678524203.7453425,85440,28.0
1678524204.8053746,86400,27.0
1678524206.735456,88320,27.0
1678524207.6694252,89280,27.0
1678524208.7144237,90240,32.0
1678524209.6648548,91200,32.0
1678524214.6343668,96000,39.0
1678524217.6813931,98880,33.0
1678524219.6394775,100800,38.0
1678524220.5256002,101760,38.0
1678524221.5915985,102720,33.0
1678524228.3878982,109440,34.0
1678524231.1498783,112320,35.0
1678524233.0749056,114240,35.0
1678524234.1278791,115200,31.0
1678524235.0073192,116160,35.0
1678524238.8796067,120000,30.0
1678524239.9016068,120960,32.0
1678524240.7676065,121920,35.0
1678524243.5198126,124800,34.0
1678524244.5948126,125760,39.0
1678524247.3397126,128640,26.0
1678524250.3557122,131520,32.0
1678524251.260711,132480,30.0
1678524253.2117116,134400,35.0
1678524255.2381637,136320,36.0
1678524256.2661626,137280,33.0
1678524257.154164,138240,26.0
1678524258.0011923,139200,47.0
1678524259.0741627,140160,36.0
1678524259.928164,141120,37.0
1678524261.8291628,143040,30.0
1678524263.7503424,144960,45.0
1678524266.6673515,147840,40.0
1678524267.527478,148800,34.0
1678524268.5804782,149760,41.0
1678524270.495478,151680,42.0
1678524271.4135118,152640,33.0
1678524272.3045602,153600,31.0
1678524274.2806988,155520,39.0
1678524275.3476827,156480,35.0
1678524277.272905,158400,37.0
1678524278.1280446,159360,22.0
1678524280.015096,161280,9.0
1678524281.0152047,162240,9.0
1678524281.855204,163200,19.0
1678524283.6962047,165120,4.0
1678524287.3932045,168960,9.0
1678524288.1982358,169920,13.0
1678524289.188205,170880,14.0
1678524290.011206,171840,4.0
1678524291.851289,173760,5.0
1678524292.8227105,174720,6.0
1678524294.6699266,176640,8.0
1678524296.5683086,178560,3.0
1678524297.3953075,179520,3.0
1678524298.3923523,180480,4.0
1678524299.2133083,181440,1.0
1678524301.0353096,183360,6.0
1678524301.882308,184320,1.0
1678524308.4706507,191040,1.0
1678524312.2551875,194880,3.0
1678524315.979282,198720,1.0
1678524316.79237,199680,3.0
1678524317.64637,200640,1.0
1678524321.3944237,204480,1.0
1678524322.4094222,205440,1.0
1678524323.2064233,206400,1.0
1678524324.2444644,207360,1.0
1678524326.8945074,210240,5.0
1678524327.896508,211200,1.0
1678524328.7095442,212160,1.0
1678524329.7028859,213120,1.0
1678524330.5400174,214080,5.0
1678524331.3651738,215040,1.0
1678524333.2032466,216960,1.0
1678524334.2032466,217920,3.0
1678524335.0458593,218880,1.0
1678524336.8841052,220800,3.0
1678524337.8872,221760,1.0
1678524338.716198,222720,1.0
1678524339.7221978,223680,2.0
1678524340.570198,224640,5.0
1678524341.6231983,225600,1.0
1678524344.2884037,228480,1.0
1678524345.2814026,229440,1.0
1678524346.9244037,231360,1.0
1678524350.619428,235200,6.0
1678524351.7544303,236160,1.0
1678524353.6014369,238080,1.0
1678524354.413436,239040,1.0
1678524355.433486,240000,1.0
1678524356.241818,240960,1.0
1678524357.30087,241920,1.0
1678524360.8748696,245760,1.0
1678524363.7528682,248640,1.0
1678524364.5768697,249600,1.0
1678524365.6068683,250560,1.0
1678524366.4238694,251520,1.0
1678524368.2748697,253440,1.0
1678524372.0040598,257280,1.0
1678524373.8682015,259200,3.0
1678524375.7441819,261120,2.0
1678524376.572181,262080,1.0
1678524377.6231818,263040,1.0
1678524378.4305835,264000,1.0
1678524379.5005438,264960,1.0
1678524381.4169116,266880,1.0
1678524382.2250369,267840,1.0
1678524384.1241572,269760,1.0
1678524385.9832804,271680,3.0
1678524387.837371,273600,1.0
1678524392.3955097,278400,1.0
1678524394.2645442,280320,1.0
1678524395.3145437,281280,1.0
1678524397.1615434,283200,3.0
1678524397.9669008,284160,1.0
1678524399.014901,285120,1.0
1678524399.842872,286080,1.0
1678524400.9288995,287040,1.0
1678524401.743871,288000,1.0
1678524402.811951,288960,1.0
1678524403.6499507,289920,3.0
1678524404.6739514,290880,1.0
1678524405.5079505,291840,4.0
1678524409.2149518,295680,1.0
1678524410.0459552,296640,3.0
1678524411.9419508,298560,1.0
1678524414.8893707,301440,1.0
1678524418.7195125,305280,1.0
1678524419.5295427,306240,1.0
1678524420.3605103,307200,1.0
1678524421.4205105,308160,1.0
1678524423.3360069,310080,3.0
1678524424.1710966,311040,1.0
1678524425.2960942,312000,1.0
1678524426.1449645,312960,1.0
1678524427.2079818,313920,1.0
1678524428.0381422,314880,1.0
1678524430.96411,317760,1.0
1678524431.7831478,318720,1.0
1678524433.6944654,320640,2.0
1678524437.4905157,324480,1.0
1678524439.393516,326400,5.0
1678524441.339566,328320,5.0
1678524442.1646922,329280,1.0
1678524443.2477255,330240,1.0
1678524444.0731788,331200,1.0
1678524445.18324,332160,1.0
1678524446.0022397,333120,3.0
1678524447.1112392,334080,1.0
1678524447.9442391,335040,1.0
1678524450.749203,337920,1.0
1678524452.6292007,339840,1.0
1678524453.695282,340800,1.0
1678524455.5782814,342720,1.0
1678524457.5352473,344640,3.0
1678524458.3603275,345600,1.0
1678524459.4153268,346560,1.0
1678524460.2293258,347520,1.0
1678524461.281359,348480,1.0
1678524462.0903265,349440,1.0
