Wall time,Step,Value
1678712572.33406,3840,-2503.3857421875
1678712574.8340602,5760,-2258.16796875
1678712576.16606,6720,-2691.76953125
1678712578.485061,8640,-2418.93798828125
1678712581.0880609,10560,-2464.497314453125
1678712582.4500604,11520,-2128.4091796875
1678712584.1080606,12480,-2124.54345703125
1678712585.426061,13440,-2056.25927734375
1678712587.1140609,14400,-2392.6640625
1678712588.4280608,15360,-1962.3143310546875
1678712589.87106,16320,-1960.24560546875
1678712591.6810613,17280,-2079.1376953125
1678712593.1195707,18240,-2045.5438232421875
1678712594.8245718,19200,-1809.919189453125
1678712596.2275712,20160,-1847.389892578125
1678712599.5865712,22080,-1671.7547607421875
1678712602.9145703,24000,-1581.43017578125
1678712604.7295704,24960,-1534.890625
1678712612.8116086,29760,-1583.9932861328125
1678712614.376609,30720,-1443.90966796875
1678712615.9806325,31680,-1441.2044677734375
1678712617.4666321,32640,-1333.6988525390625
1678712619.1366336,33600,-1380.6702880859375
1678712622.392632,35520,-1345.95849609375
1678712627.056172,38400,-1472.815185546875
1678712628.7291722,39360,-1331.2142333984375
1678712631.794172,41280,-1177.48974609375
1678712633.1786795,42240,-1378.2379150390625
1678712634.752733,43200,-1211.9075927734375
1678712636.1507328,44160,-999.1454467773438
1678712638.7817316,46080,-1180.729736328125
1678712641.830732,48000,-1018.8522338867188
1678712643.2237322,48960,-973.5590209960938
1678712647.7977312,51840,-1100.4864501953125
1678712649.2417314,52800,-1161.0987548828125
1678712650.8787322,53760,-1188.47119140625
1678712652.261242,54720,-1030.4207763671875
1678712653.911242,55680,-989.2679443359375
1678712658.2412424,58560,-995.91748046875
1678712659.888243,59520,-1002.6809692382812
1678712662.5167491,61440,-1148.431884765625
1678712664.9847763,63360,-1010.1715698242188
1678712666.228776,64320,-988.1649780273438
1678712667.205775,65280,-921.4510498046875
1678712668.4173136,66240,-907.6608276367188
1678712669.3923128,67200,-835.8621215820312
1678712671.6473136,69120,-1152.140869140625
1678712672.8133137,70080,-1111.5587158203125
1678712673.8283987,71040,-896.50048828125
1678712675.0554013,72000,-1014.2977905273438
1678712677.3053977,73920,-988.5729370117188
1678712679.4923985,75840,-882.3479614257812
1678712680.4703987,76800,-951.44482421875
1678712682.7113986,78720,-834.2465209960938
1678712683.7173991,79680,-818.9920654296875
1678712685.9769104,81600,-849.7418823242188
1678712687.20691,82560,-895.796142578125
1678712688.2314467,83520,-818.7811279296875
1678712689.4354465,84480,-876.6774291992188
1678712690.4644463,85440,-815.1052856445312
1678712691.715469,86400,-810.09521484375
1678712693.96447,88320,-853.0853881835938
1678712694.9530075,89280,-802.1932983398438
1678712696.185521,90240,-858.544189453125
1678712697.2030313,91200,-841.976806640625
1678712702.7535634,96000,-873.0573120117188
1678712706.2415628,98880,-734.0698852539062
1678712708.5025885,100800,-796.4644775390625
1678712709.5385869,101760,-752.9592895507812
1678712710.7471547,102720,-768.4144287109375
1678712718.3331995,109440,-650.9593505859375
1678712721.5642202,112320,-582.7978515625
1678712723.7552204,114240,-646.9063110351562
1678712724.9517303,115200,-536.68017578125
1678712725.9407308,116160,-543.7109985351562
1678712730.3763287,120000,-401.2990417480469
1678712731.6003313,120960,-428.0162048339844
1678712732.5643287,121920,-373.791259765625
1678712735.6993804,124800,-358.0015563964844
1678712736.9759028,125760,-321.7475891113281
1678712740.1119018,128640,-314.6413269042969
1678712743.4819028,131520,-315.7387390136719
1678712744.4069026,132480,-334.7293701171875
1678712746.5904424,134400,-322.1756286621094
1678712748.7709534,136320,-309.71075439453125
1678712749.969954,137280,-331.46343994140625
1678712750.9329531,138240,-326.7059631347656
1678712751.8819547,139200,-347.0219421386719
1678712753.0664651,140160,-317.65899658203125
1678712754.0514638,141120,-327.1270446777344
1678712756.1974645,143040,-311.6341857910156
1678712758.356464,144960,-331.81341552734375
1678712761.8225703,147840,-333.9033508300781
1678712762.7715716,148800,-313.32037353515625
