Wall time,Step,Value
1678527569.3889978,3840,-2699.47314453125
1678527571.3180478,5760,-2482.311767578125
1678527572.3710482,6720,-2645.218505859375
1678527574.403047,8640,-2588.731689453125
1678527576.395047,10560,-2480.04345703125
1678527577.304047,11520,-2382.97802734375
1678527578.3630476,12480,-2412.7607421875
1678527579.231048,13440,-2670.48193359375
1678527580.257047,14400,-2527.914794921875
1678527581.1400468,15360,-2335.260009765625
1678527581.9950483,16320,-2811.760498046875
1678527583.0340478,17280,-2612.824462890625
1678527583.900047,18240,-2459.5009765625
1678527584.927048,19200,-2687.111328125
1678527585.802047,20160,-2679.58544921875
1678527587.705126,22080,-2304.75537109375
1678527589.605255,24000,-2249.0205078125
1678527590.6292558,24960,-2562.54931640625
1678527595.320255,29760,-2390.258544921875
1678527596.1802547,30720,-2287.386962890625
1678527597.2222557,31680,-2250.678466796875
1678527598.0822558,32640,-2368.21826171875
1678527599.1232557,33600,-2188.555908203125
1678527601.0592554,35520,-2160.36328125
1678527603.7982552,38400,-2011.9820556640625
1678527604.8392553,39360,-2169.6103515625
1678527606.7822556,41280,-2056.317626953125
1678527607.6572547,42240,-2224.8603515625
1678527608.6872556,43200,-2419.325927734375
1678527609.541288,44160,-2112.7734375
1678527611.4462554,46080,-1781.4700927734375
1678527613.3242555,48000,-2040.9156494140625
1678527614.199257,48960,-2081.079345703125
1678527617.164255,51840,-2142.4326171875
1678527618.0422554,52800,-2064.04833984375
1678527619.0662558,53760,-2386.3388671875
1678527619.932256,54720,-2117.138916015625
1678527620.9482875,55680,-2152.04833984375
1678527623.7432551,58560,-2353.48779296875
1678527624.8032558,59520,-2240.53857421875
1678527626.5332563,61440,-1836.9459228515625
1678527628.4422543,63360,-2111.30224609375
1678527629.4742548,64320,-1933.107177734375
1678527630.3592603,65280,-2051.3173828125
1678527631.3772557,66240,-1973.0521240234375
1678527632.2572558,67200,-1873.681640625
1678527634.170255,69120,-1961.7479248046875
1678527635.195256,70080,-2032.6444091796875
1678527636.0752556,71040,-2036.598876953125
1678527637.1182554,72000,-1840.49267578125
1678527639.0412562,73920,-1762.582763671875
1678527640.9602559,75840,-2091.112060546875
1678527641.8192549,76800,-1639.4051513671875
1678527643.708256,78720,-1856.18359375
1678527644.594256,79680,-2157.02734375
1678527646.4932554,81600,-1953.9757080078125
1678527647.5282555,82560,-1862.3660888671875
