Wall time,Step,Value
1678540416.8416588,3840,-953.931884765625
1678540418.8276577,5760,-975.2083740234375
1678540419.9046583,6720,-1026.511962890625
1678540421.8596585,8640,-818.5198974609375
1678540423.807658,10560,-837.8618774414062
1678540424.675658,11520,-799.1124267578125
1678540425.749658,12480,-810.8897705078125
1678540426.608659,13440,-840.499267578125
1678540427.6756587,14400,-887.1795043945312
1678540428.5576577,15360,-796.9903564453125
1678540429.4096572,16320,-724.1231689453125
1678540430.5006583,17280,-726.8455810546875
1678540431.3606591,18240,-726.4143676757812
1678540432.4346588,19200,-678.0963134765625
1678540433.3246586,20160,-735.3113403320312
1678540435.2716577,22080,-605.0748901367188
1678540437.2056587,24000,-713.6737060546875
1678540438.2816577,24960,-585.2079467773438
1678540442.9696584,29760,-608.9788818359375
1678540443.8216584,30720,-590.5283813476562
1678540444.9016583,31680,-613.2931518554688
1678540445.761657,32640,-564.0889892578125
1678540446.8536582,33600,-568.155517578125
1678540448.7896588,35520,-594.5322265625
1678540451.5486584,38400,-580.5758056640625
1678540452.6226587,39360,-579.9590454101562
1678540454.5406585,41280,-634.1905517578125
1678540455.392659,42240,-587.5161743164062
1678540456.4616587,43200,-582.8548583984375
1678540457.3146586,44160,-564.9177856445312
1678540459.2166615,46080,-577.1494750976562
1678540461.1356585,48000,-561.1710815429688
1678540461.9636664,48960,-579.6690063476562
1678540464.9126685,51840,-552.9539794921875
1678540465.7456663,52800,-558.8672485351562
1678540466.793666,53760,-555.4445190429688
1678540467.6526663,54720,-563.8234252929688
1678540468.6816664,55680,-554.0352783203125
1678540471.395666,58560,-561.6737670898438
1678540472.415666,59520,-555.0282592773438
1678540474.1016665,61440,-519.0056762695312
1678540475.973667,63360,-562.7116088867188
1678540477.0136662,64320,-491.73779296875
1678540477.8596666,65280,-480.91552734375
1678540478.8766654,66240,-535.472900390625
1678540479.7096667,67200,-469.55511474609375
1678540481.5656667,69120,-453.3276672363281
1678540482.6056654,70080,-355.3481140136719
1678540483.4277077,71040,-367.2214050292969
1678540484.4517071,72000,-296.8573303222656
1678540486.3157077,73920,-320.5406494140625
1678540488.1647081,75840,-252.78695678710938
1678540488.9877076,76800,-296.60888671875
1678540490.8687077,78720,-298.1691589355469
1678540491.7157085,79680,-272.1686096191406
1678540493.5697076,81600,-261.7982177734375
1678540494.587708,82560,-254.4203338623047
1678540495.4477077,83520,-239.51608276367188
1678540496.4467072,84480,-216.14122009277344
1678540497.2907078,85440,-216.30059814453125
1678540498.290708,86400,-202.95689392089844
1678540500.1257079,88320,-188.03594970703125
1678540500.9457066,89280,-185.345703125
1678540501.9657083,90240,-184.75245666503906
1678540502.7777073,91200,-188.97702026367188
1678540507.2797077,96000,-176.7449188232422
1678540510.0967107,98880,-179.8004150390625
1678540511.9237359,100800,-158.46595764160156
1678540512.7247355,101760,-179.94032287597656
1678540513.753735,102720,-178.08773803710938
1678540520.0947354,109440,-172.77023315429688
1678540522.7317352,112320,-172.27244567871094
1678540524.5647364,114240,-179.99429321289062
1678540525.5967348,115200,-165.8611297607422
1678540526.4087353,116160,-173.55821228027344
1678540530.0847356,120000,-175.09613037109375
1678540531.0997674,120960,-165.2270965576172
1678540531.9157343,121920,-169.4612579345703
1678540534.586736,124800,-157.5464630126953
1678540535.5977356,125760,-159.7537841796875
1678540538.228735,128640,-166.19581604003906
1678540541.0597353,131520,-163.76211547851562
1678540541.8897357,132480,-170.701171875
1678540543.7487347,134400,-160.7488250732422
1678540545.5817356,136320,-163.37977600097656
1678540546.6067355,137280,-165.52911376953125
1678540547.4247344,138240,-167.56997680664062
1678540548.2547357,139200,-154.99461364746094
1678540549.2867358,140160,-168.13966369628906
1678540550.1007354,141120,-169.99729919433594
1678540551.9507358,143040,-164.79446411132812
1678540553.7957358,144960,-158.71905517578125
1678540556.6497352,147840,-164.45130920410156
1678540557.4757357,148800,-162.1864471435547
1678540558.4937358,149760,-165.11351013183594
1678540560.3387356,151680,-159.9945526123047
1678540561.1567357,152640,-168.7750701904297
1678540561.9767344,153600,-160.99267578125
1678540563.8347352,155520,-159.6301727294922
1678540564.851735,156480,-158.1234130859375
1678540566.6987355,158400,-161.68296813964844
1678540567.523735,159360,-158.24635314941406
1678540569.3687358,161280,-161.185302734375
1678540570.3907356,162240,-160.0623016357422
1678540571.215736,163200,-164.17962646484375
1678540573.0617356,165120,-163.0794677734375
1678540576.7467356,168960,-160.45626831054688
1678540577.573735,169920,-164.49717712402344
1678540578.6117346,170880,-158.90223693847656
1678540579.4427364,171840,-159.7904510498047
1678540581.3037357,173760,-153.21678161621094
1678540582.3237357,174720,-159.8848876953125
1678540584.8648074,176640,-167.5028839111328
1678540586.6943328,178560,-165.28079223632812
1678540587.5313275,179520,-166.8139190673828
1678540588.539328,180480,-162.61619567871094
1678540589.3887973,181440,-157.0504150390625
1678540591.2207663,183360,-162.08863830566406
1678540592.0177512,184320,-159.1049346923828
1678540598.5232542,191040,-165.25291442871094
1678540602.204281,194880,-176.2749786376953
1678540605.9032087,198720,-170.13967895507812
1678540606.735238,199680,-168.98095703125
1678540607.5392387,200640,-164.74465942382812
1678540611.2175114,204480,-169.52371215820312
1678540612.2275395,205440,-166.2376251220703
1678540613.0525103,206400,-167.659912109375
1678540614.0485435,207360,-166.07159423828125
1678540616.707511,210240,-169.45010375976562
1678540617.7325118,211200,-155.0135955810547
1678540618.5625432,212160,-168.47628784179688
1678540619.570591,213120,-168.2247314453125
1678540620.409679,214080,-164.15689086914062
1678540621.2246423,215040,-163.03436279296875
1678540623.1045954,216960,-158.63204956054688
1678540624.1295965,217920,-159.73780822753906
1678540624.9237218,218880,-155.24160766601562
1678540626.7867224,220800,-158.87515258789062
1678540627.7978578,221760,-157.05123901367188
1678540628.638928,222720,-167.88169860839844
1678540629.6870177,223680,-161.6275177001953
1678540630.525017,224640,-166.2244415283203
1678540631.5381773,225600,-162.34368896484375
1678540634.1803014,228480,-169.57366943359375
1678540635.195257,229440,-162.9671173095703
1678540636.8202574,231360,-159.09747314453125
1678540640.5052412,235200,-167.26608276367188
1678540641.5402083,236160,-166.4923858642578
1678540643.3612826,238080,-159.33602905273438
1678540644.1791608,239040,-165.02210998535156
1678540645.1971605,240000,-162.53973388671875
1678540646.03016,240960,-161.36488342285156
1678540647.0502162,241920,-165.6959228515625
1678540650.5496202,245760,-164.51296997070312
1678540653.420621,248640,-160.52479553222656
1678540654.22262,249600,-167.30674743652344
1678540655.2656627,250560,-158.39013671875
1678540656.0796626,251520,-164.57879638671875
1678540657.9186618,253440,-171.38766479492188
1678540661.6247828,257280,-172.39349365234375
1678540663.4797776,259200,-157.70095825195312
1678540665.329889,261120,-158.06857299804688
1678540666.1219223,262080,-167.02232360839844
1678540667.1638887,263040,-167.81874084472656
1678540667.9813583,264000,-174.0707244873047
1678540669.0073245,264960,-166.9923095703125
1678540670.8483248,266880,-163.71249389648438
1678540671.6683245,267840,-167.19651794433594
1678540673.5173576,269760,-164.0365753173828
1678540675.3403566,271680,-157.79537963867188
1678540677.2014527,273600,-168.36097717285156
1678540681.7144535,278400,-161.91787719726562
1678540683.5574534,280320,-159.328369140625
1678540684.5885732,281280,-160.07363891601562
1678540686.422608,283200,-163.04534912109375
1678540687.2406585,284160,-163.7945098876953
1678540688.2697825,285120,-171.83204650878906
1678540689.0877824,286080,-160.33572387695312
1678540690.0758176,287040,-156.00181579589844
