Wall time,Step,Value
1678787376,960,0.001554699
1678787378,1920,0.001394699
1678787379,2880,0.001334699
1678787380,3840,0.001274699
1678787382,4800,0.00124875
1678787383,5760,0.001175373
1678787384,6720,0.001042397
1678787386,7680,0.000567954
1678787387,8640,0
1678787388,9600,0.001131328
1678787390,10560,0
1678787391,11520,0
1678787392,12480,0
1678787393,13440,0.00017052
1678787395,14400,0.00194987
1678787396,15360,0
1678787397,16320,0
1678787399,17280,0
1678787400,18240,0.000343832
1678787402,19200,0
1678787403,20160,0
1678787404,21120,0
1678787405,22080,0
1678787407,23040,0.00038601
1678787408,24000,0.001467562
1678787409,24960,0.000120781
1678787411,25920,0.00053239
1678787412,26880,3.46E-05
1678787413,27840,0
1678787415,28800,0
1678787416,29760,0.001121823
1678787417,30720,0
1678787418,31680,0.000725861
1678787420,32640,0.000135313
1678787421,33600,0.001743183
1678787422,34560,0.001791872
1678787424,35520,0.000838476
1678787425,36480,0.0034067
1678787426,37440,0.000564991
1678787428,38400,0.001174948
1678787429,39360,0
1678787430,40320,0
1678787432,41280,0.001382017
1678787433,42240,0.001834613
1678787434,43200,0
1678787436,44160,0.000255458
1678787437,45120,0.002917072
1678787438,46080,0
1678787439,47040,0.000165711
1678787441,48000,0
1678787442,48960,0
1678787444,49920,0
1678787445,50880,0.000712721
1678787446,51840,0.000902652
1678787448,52800,0.00263784
1678787449,53760,0.003584906
1678787450,54720,0.000552949
1678787452,55680,0
1678787453,56640,0
1678787454,57600,0.001061888
1678787456,58560,0
1678787457,59520,0.001041773
1678787458,60480,0.000496286
1678787460,61440,0.00094622
1678787461,62400,0.000398973
1678787462,63360,0.002564708
1678787464,64320,0
1678787465,65280,0.000829019
1678787467,66240,0.001619366
1678787468,67200,0
1678787469,68160,0.001349505
1678787471,69120,0.000627438
1678787472,70080,0.00029969
1678787473,71040,0.000103402
1678787475,72000,0
1678787476,72960,0.002979559
1678787478,73920,0.000555294
1678787479,74880,0.001079985
1678787480,75840,0.002637041
1678787482,76800,0.002642122
1678787483,77760,0.004792112
1678787484,78720,0.007216116
1678787486,79680,0.000494088
1678787487,80640,0.001746275
1678787488,81600,0.001183176
1678787490,82560,0.000715113
1678787491,83520,0
1678787493,84480,0
1678787494,85440,0
1678787495,86400,0.000817562
1678787497,87360,0.003962207
1678787498,88320,0.000782838
1678787499,89280,0.000786479
1678787501,90240,0.002635679
1678787502,91200,0
1678787503,92160,0.000296043
1678787505,93120,0.001738866
1678787506,94080,0.000695198
1678787507,95040,0
1678787509,96000,0
1678787510,96960,0
1678787511,97920,0
1678787513,98880,0.00177305
1678787514,99840,0
1678787516,100800,0.000879492
1678787517,101760,0.000493735
1678787518,102720,0
1678787520,103680,0.000760572
1678787521,104640,0.002752454
1678787522,105600,0.002551193
1678787524,106560,0
1678787525,107520,0
1678787526,108480,6.73E-05
1678787528,109440,0
1678787529,110400,0
1678787531,111360,0
1678787532,112320,0.000844711
