Wall time,Step,Value
1678873627.490438,960,7.0
1678873628.4244382,1920,11.0
1678873629.7324388,2880,8.0
1678873630.6654713,3840,14.0
1678873631.8784711,4800,12.0
1678873632.8289618,5760,10.0
1678873633.9899623,6720,6.0
1678873635.0149615,7680,9.0
1678873636.1959624,8640,12.0
1678873637.206964,9600,12.0
1678873638.3871279,10560,7.0
1678873639.4221277,11520,8.0
1678873640.596127,12480,8.0
1678873641.6441274,13440,9.0
1678873642.818131,14400,8.0
1678873643.8821285,15360,10.0
1678873644.826129,16320,12.0
1678873646.1021295,17280,11.0
1678873647.0581286,18240,4.0
1678873648.3231266,19200,7.0
1678873649.2951279,20160,9.0
1678873650.5451279,21120,7.0
1678873651.532128,22080,9.0
1678873652.7700696,23040,10.0
1678873653.76907,24000,7.0
1678873654.9621043,24960,10.0
1678873656.0061126,25920,8.0
1678873657.1861098,26880,15.0
1678873658.24111,27840,14.0
1678873659.442109,28800,12.0
1678873660.46611,29760,8.0
1678873661.4532905,30720,7.0
1678873662.6853185,31680,8.0
1678873663.6631734,32640,17.0
1678873664.9162202,33600,9.0
1678873665.9002283,34560,16.0
1678873667.1592321,35520,12.0
1678873668.0962281,36480,16.0
1678873669.4012272,37440,9.0
1678873670.3602273,38400,10.0
1678873671.6002276,39360,5.0
1678873672.6042283,40320,11.0
1678873673.891445,41280,17.0
1678873674.8744442,42240,12.0
1678873676.0774827,43200,13.0
1678873677.117483,44160,10.0
1678873678.2945254,45120,12.0
1678873679.3787465,46080,13.0
1678873680.3327456,47040,7.0
1678873681.629746,48000,11.0
1678873682.5727453,48960,11.0
1678873683.8239417,49920,12.0
1678873684.814941,50880,8.0
1678873686.0410264,51840,8.0
1678873687.0760279,52800,12.0
1678873688.308018,53760,12.0
1678873689.3220181,54720,10.0
1678873690.5203693,55680,9.0
1678873691.5263698,56640,11.0
1678873692.71837,57600,7.0
1678873693.754371,58560,8.0
1678873694.9813685,59520,13.0
1678873696.0103705,60480,12.0
1678873696.9975297,61440,15.0
1678873698.2369316,62400,8.0
1678873699.2178771,63360,13.0
1678873700.4518762,64320,16.0
1678873701.4528089,65280,7.0
1678873702.725812,66240,7.0
1678873703.7198093,67200,16.0
1678873704.9788086,68160,13.0
1678873705.9868112,69120,10.0
1678873707.2068083,70080,8.0
1678873708.2329342,71040,11.0
1678873709.4419339,72000,12.0
1678873710.4919326,72960,9.0
1678873711.68892,73920,7.0
1678873712.7089198,74880,8.0
1678873713.9429193,75840,11.0
1678873714.9749553,76800,11.0
1678873715.9779649,77760,10.0
1678873717.1949625,78720,9.0
1678873718.2369738,79680,13.0
1678873719.427973,80640,11.0
1678873720.5039735,81600,7.0
1678873721.6970673,82560,9.0
1678873722.7340672,83520,8.0
1678873723.9742615,84480,10.0
1678873724.9822602,85440,11.0
1678873726.2452598,86400,7.0
1678873727.2531493,87360,8.0
1678873728.5451503,88320,8.0
1678873729.5190866,89280,7.0
1678873730.8510876,90240,6.0
1678873731.8040862,91200,11.0
1678873732.8250868,92160,6.0
1678873734.0624104,93120,6.0
1678873735.1204333,94080,7.0
1678873736.3634348,95040,8.0
1678873737.3734345,96000,9.0
1678873738.6254354,96960,9.0
1678873739.660929,97920,9.0
1678873740.9369316,98880,4.0
1678873741.9669292,99840,9.0
1678873743.2309294,100800,7.0
1678873744.2557778,101760,8.0
1678873745.5427775,102720,5.0
1678873746.5767775,103680,6.0
1678873747.9086325,104640,6.0
1678873748.90454,105600,4.0
1678873750.235541,106560,5.0
1678873751.2445796,107520,6.0
1678873752.3555787,108480,3.0
1678873753.6135802,109440,3.0
1678873754.7155788,110400,6.0
1678873755.9788282,111360,4.0
1678873757.0497,112320,2.0
1678873758.3727002,113280,4.0
1678873759.4236999,114240,2.0
1678873760.7638083,115200,3.0
1678873761.8338084,116160,2.0
1678873763.196214,117120,3.0
1678873764.2672145,118080,4.0
1678873765.6712165,119040,3.0
1678873766.7650547,120000,4.0
1678873768.2032187,120960,3.0
1678873769.2792182,121920,2.0
1678873770.3582528,122880,3.0
1678873771.7712543,123840,2.0
1678873772.8481982,124800,2.0
1678873774.2321968,125760,2.0
1678873775.3227603,126720,3.0
1678873776.7269776,127680,2.0
1678873777.8219786,128640,3.0
1678873779.2528052,129600,2.0
1678873780.3638983,130560,2.0
1678873781.7668426,131520,2.0
1678873782.8758435,132480,4.0
1678873784.283186,133440,2.0
1678873785.3694222,134400,2.0
1678873786.7515812,135360,2.0
1678873787.815907,136320,2.0
1678873789.2079067,137280,2.0
1678873790.2759075,138240,3.0
1678873791.3967829,139200,4.0
1678873792.7427819,140160,2.0
1678873793.8792827,141120,2.0
1678873795.236618,142080,2.0
1678873796.3706174,143040,2.0
1678873797.7325764,144000,2.0
1678873798.8655758,144960,2.0
1678873800.2237153,145920,2.0
1678873801.3647158,146880,2.0
1678873802.7307146,147840,2.0
1678873803.9051685,148800,2.0
1678873805.309169,149760,2.0
1678873806.4312096,150720,2.0
1678873807.754214,151680,2.0
1678873808.8912146,152640,2.0
1678873809.968215,153600,2.0
1678873811.398716,154560,2.0
1678873812.4787173,155520,2.0
1678873813.9116454,156480,2.0
1678873814.9806433,157440,2.0
1678873816.4246435,158400,2.0
1678873817.4826446,159360,2.0
1678873818.881747,160320,2.0
1678873819.963748,161280,2.0
1678873821.3971314,162240,2.0
1678873822.4665482,163200,3.0
1678873823.8809924,164160,2.0
1678873824.9552968,165120,2.0
1678873826.381297,166080,2.0
1678873827.477653,167040,2.0
1678873828.9026525,168000,2.0
1678873830.0012243,168960,2.0
1678873831.0669923,169920,2.0
1678873832.5559897,170880,2.0
1678873833.6270056,171840,2.0
1678873835.074006,172800,2.0
1678873836.1520522,173760,2.0
1678873837.62005,174720,2.0
1678873838.71205,175680,2.0
1678873840.1770527,176640,2.0
1678873841.2400494,177600,2.0
1678873842.70705,178560,2.0
1678873843.7800498,179520,2.0
1678873845.2930496,180480,2.0
1678873846.3700492,181440,2.0
1678873847.8240502,182400,2.0
1678873848.9010491,183360,2.0
1678873850.0261142,184320,2.0
1678873851.4041467,185280,2.0
1678873852.5441923,186240,2.0
1678873853.9246476,187200,2.0
1678873855.0947082,188160,2.0
1678873856.4590864,189120,3.0
1678873857.594086,190080,2.0
1678873858.980086,191040,2.0
1678873860.1393619,192000,2.0
1678873861.506354,192960,2.0
1678873862.650354,193920,2.0
1678873864.0213537,194880,2.0
1678873865.173494,195840,2.0
1678873866.5404444,196800,2.0
1678873867.6885905,197760,2.0
1678873869.0316203,198720,2.0
1678873870.1746204,199680,2.0
1678873871.257539,200640,2.0
1678873872.6615396,201600,2.0
1678873873.7385392,202560,2.0
1678873875.16554,203520,2.0
1678873876.2404811,204480,2.0
1678873877.648482,205440,2.0
1678873878.7244802,206400,2.0
1678873880.166523,207360,2.0
1678873881.2608435,208320,2.0
1678873882.7089427,209280,2.0
1678873883.7809436,210240,2.0
1678873885.2319438,211200,2.0
1678873886.313846,212160,2.0
1678873887.7518709,213120,2.0
1678873888.8508694,214080,2.0
1678873890.016871,215040,2.0
1678873891.3208094,216000,2.0
1678873892.501808,216960,2.0
1678873893.8038096,217920,2.0
1678873894.9778142,218880,2.0
1678873896.3278074,219840,2.0
1678873897.4418597,220800,2.0
1678873898.8128862,221760,2.0
1678873899.942701,222720,2.0
1678873901.3397033,223680,2.0
1678873902.4487488,224640,2.0
1678873903.8152046,225600,2.0
1678873904.9402046,226560,2.0
1678873906.3214436,227520,2.0
1678873907.4204433,228480,2.0
1678873908.7994437,229440,2.0
1678873909.923571,230400,2.0
1678873911.0870037,231360,2.0
1678873912.4419386,232320,2.0
1678873913.5819697,233280,2.0
1678873914.9339383,234240,2.0
1678873916.0779393,235200,2.0
1678873917.4699805,236160,2.0
1678873918.6169806,237120,2.0
1678873919.9689827,238080,2.0
1678873921.1049807,239040,2.0
1678873922.453981,240000,2.0
1678873923.5679815,240960,2.0
1678873924.9538717,241920,2.0
1678873926.0488698,242880,2.0
1678873927.4630127,243840,2.0
1678873928.5613604,244800,2.0
1678873929.7273617,245760,2.0
1678873931.0663605,246720,2.0
1678873932.2073607,247680,2.0
1678873933.553365,248640,2.0
1678873934.708367,249600,2.0
1678873936.0624135,250560,2.0
1678873937.2124145,251520,2.0
1678873938.5294228,252480,2.0
1678873939.683983,253440,2.0
1678873941.043244,254400,2.0
1678873942.1952488,255360,2.0
1678873943.5312448,256320,2.0
1678873944.6522453,257280,2.0
1678873946.4022772,258240,2.0
1678873947.5142453,259200,2.0
1678873948.942245,260160,2.0
1678873950.0602453,261120,2.0
1678873951.2075925,262080,2.0
1678873952.5675907,263040,2.0
1678873953.698589,264000,2.0
1678873955.0355904,264960,2.0
1678873956.1925895,265920,2.0
1678873957.5598483,266880,2.0
1678873958.707847,267840,2.0
1678873960.024848,268800,2.0
1678873961.1808474,269760,2.0
1678873962.5198486,270720,2.0
1678873963.6708484,271680,2.0
1678873965.0158484,272640,2.0
1678873966.1608477,273600,2.0
1678873967.5098484,274560,2.0
1678873968.6668484,275520,2.0
1678873969.7698493,276480,2.0
1678873971.1638482,277440,2.0
1678873972.2748137,278400,2.0
1678873973.6426675,279360,2.0
1678873974.7606668,280320,2.0
1678873976.1486676,281280,2.0
1678873977.268667,282240,2.0
1678873978.6221244,283200,2.0
1678873979.758125,284160,2.0
1678873981.1161606,285120,2.0
1678873982.2710514,286080,2.0
1678873983.6590512,287040,2.0
1678873984.7920969,288000,2.0
1678873986.144098,288960,2.0
1678873987.2875283,289920,2.0
1678873988.635398,290880,2.0
1678873989.778432,291840,2.0
1678873990.921431,292800,2.0
1678873992.308603,293760,2.0
1678873993.4136038,294720,2.0
1678873994.7886057,295680,2.0
1678873995.894604,296640,2.0
1678873997.2816703,297600,2.0
1678873998.4046795,298560,2.0
1678873999.7586424,299520,2.0
1678874000.8797143,300480,2.0
1678874002.226714,301440,2.0
1678874003.392715,302400,2.0
1678874004.7217143,303360,2.0
1678874005.8607135,304320,2.0
1678874007.244714,305280,2.0
1678874008.3967144,306240,2.0
1678874009.4817147,307200,2.0
