Wall time,Step,Value
1678873627.491438,960,89.0
1678873628.4254377,1920,76.0
1678873629.7334378,2880,70.0
1678873630.6654713,3840,78.0
1678873631.8794706,4800,71.0
1678873632.8299627,5760,81.0
1678873633.9909625,6720,70.0
1678873635.0159643,7680,74.0
1678873636.1969635,8640,72.0
1678873637.208962,9600,72.0
1678873638.3881273,10560,72.0
1678873639.4231281,11520,85.0
1678873640.5981276,12480,75.0
1678873641.6451268,13440,79.0
1678873642.819128,14400,63.0
1678873643.8831277,15360,78.0
1678873644.8281279,16320,80.0
1678873646.1021295,17280,63.0
1678873647.0591278,18240,73.0
1678873648.3241277,19200,82.0
1678873649.2961276,20160,73.0
1678873650.5461266,21120,66.0
1678873651.5331278,22080,69.0
1678873652.7710693,23040,78.0
1678873653.7700686,24000,62.0
1678873654.963105,24960,75.0
1678873656.0061126,25920,60.0
1678873657.1871107,26880,75.0
1678873658.2421083,27840,69.0
1678873659.443109,28800,65.0
1678873660.4671092,29760,67.0
1678873661.454291,30720,68.0
1678873662.6853185,31680,74.0
1678873663.6641738,32640,68.0
1678873664.9172196,33600,78.0
1678873665.9012272,34560,71.0
1678873667.160228,35520,72.0
1678873668.0972273,36480,68.0
1678873669.4022276,37440,63.0
1678873670.3612278,38400,72.0
1678873671.601227,39360,70.0
1678873672.6052277,40320,70.0
1678873673.8924444,41280,64.0
1678873674.8744442,42240,63.0
1678873676.078483,43200,57.0
1678873677.1184838,44160,67.0
1678873678.2955253,45120,71.0
1678873679.3797455,46080,78.0
1678873680.3337445,47040,74.0
1678873681.6307456,48000,58.0
1678873682.5737453,48960,53.0
1678873683.82494,49920,77.0
1678873684.8159418,50880,58.0
1678873686.042027,51840,68.0
1678873687.0770278,52800,68.0
1678873688.309017,53760,74.0
1678873689.3230174,54720,67.0
1678873690.5213706,55680,66.0
1678873691.5273697,56640,57.0
1678873692.7193696,57600,70.0
1678873693.7553687,58560,71.0
1678873694.9823709,59520,63.0
1678873696.0103705,60480,62.0
1678873696.99853,61440,54.0
1678873698.2379327,62400,66.0
1678873699.218877,63360,62.0
1678873700.452876,64320,72.0
1678873701.453812,65280,54.0
1678873702.725812,66240,66.0
1678873703.7218094,67200,79.0
1678873704.9798088,68160,64.0
1678873705.9888113,69120,63.0
1678873707.2088094,70080,68.0
1678873708.2339327,71040,68.0
1678873709.4429348,72000,73.0
1678873710.492934,72960,65.0
1678873711.68992,73920,56.0
1678873712.7099197,74880,72.0
1678873713.9439197,75840,66.0
1678873714.9759557,76800,54.0
1678873715.9799626,77760,48.0
1678873717.1959627,78720,71.0
1678873718.237975,79680,58.0
1678873719.4289732,80640,61.0
1678873720.5039735,81600,54.0
1678873721.6980672,82560,54.0
1678873722.735067,83520,59.0
1678873723.9752612,84480,57.0
1678873724.983261,85440,57.0
1678873726.246261,86400,49.0
1678873727.2541502,87360,59.0
1678873728.5461488,88320,60.0
1678873729.5200872,89280,72.0
1678873730.852087,90240,61.0
1678873731.805087,91200,48.0
1678873732.8250868,92160,53.0
1678873734.0634112,93120,49.0
1678873735.1214345,94080,56.0
1678873736.3644357,95040,57.0
1678873737.3754337,96000,50.0
1678873738.6264353,96960,54.0
1678873739.661929,97920,59.0
1678873740.9379284,98880,52.0
1678873741.968929,99840,41.0
1678873743.2319286,100800,47.0
1678873744.2567787,101760,44.0
1678873745.5437784,102720,40.0
1678873746.5777798,103680,42.0
1678873747.909624,104640,49.0
1678873748.9055464,105600,35.0
1678873750.236541,106560,40.0
1678873751.245579,107520,37.0
1678873752.3565793,108480,42.0
1678873753.614579,109440,26.0
1678873754.7165797,110400,36.0
1678873755.9798281,111360,31.0
1678873757.0507004,112320,24.0
1678873758.3747008,113280,23.0
1678873759.4256995,114240,24.0
1678873760.7658079,115200,18.0
1678873761.834809,116160,15.0
1678873763.197217,117120,19.0
1678873764.268214,118080,18.0
1678873765.6722143,119040,11.0
1678873766.7660556,120000,13.0
1678873768.2042184,120960,17.0
1678873769.2802186,121920,9.0
1678873770.3592522,122880,3.0
1678873771.7722552,123840,7.0
1678873772.8491974,124800,8.0
1678873774.2331958,125760,3.0
1678873775.3231983,126720,6.0
1678873776.7279775,127680,4.0
1678873777.8229792,128640,1.0
