Wall time,Step,Value
1678875411.7014816,960,22.0
1678875412.4485118,1920,16.0
1678875413.50464,2880,22.0
1678875414.3266718,3840,16.0
1678875415.3763242,4800,23.0
1678875416.102341,5760,22.0
1678875417.0870523,6720,19.0
1678875417.8410819,7680,17.0
1678875418.9050522,8640,18.0
1678875419.685189,9600,20.0
1678875420.8184564,10560,14.0
1678875421.5824218,11520,16.0
1678875422.6454208,12480,15.0
1678875423.4204524,13440,24.0
1678875424.5395024,14400,23.0
1678875425.336622,15360,25.0
1678875426.1156526,16320,15.0
1678875427.1923242,17280,19.0
1678875427.947419,18240,14.0
1678875428.966521,19200,23.0
1678875429.8046417,20160,23.0
1678875430.9316096,21120,16.0
1678875431.6947296,22080,25.0
1678875433.0143585,23040,17.0
1678875433.9173806,24000,11.0
1678875435.0152884,24960,27.0
1678875435.817718,25920,22.0
1678875436.842539,26880,14.0
1678875437.6625376,27840,17.0
1678875438.7505386,28800,14.0
1678875439.5355387,29760,19.0
1678875440.3516948,30720,15.0
1678875441.375965,31680,18.0
1678875442.1810865,32640,19.0
1678875443.33104,33600,23.0
1678875444.098121,34560,21.0
1678875445.1281612,35520,16.0
1678875445.9051924,36480,19.0
1678875446.9642007,37440,26.0
1678875447.7253628,38400,19.0
1678875448.7464304,39360,21.0
1678875449.5724378,40320,24.0
1678875450.628465,41280,21.0
1678875451.3935282,42240,11.0
1678875452.403672,43200,20.0
1678875453.2006369,44160,31.0
1678875454.2417817,45120,24.0
1678875455.0477476,46080,23.0
1678875455.851748,47040,18.0
1678875456.9277494,48000,14.0
1678875457.6807578,48960,11.0
1678875458.7197797,49920,17.0
1678875459.54375,50880,29.0
1678875460.6349056,51840,18.0
1678875461.4259026,52800,15.0
1678875462.5061548,53760,21.0
1678875463.2742703,54720,18.0
1678875464.2992332,55680,18.0
1678875465.1302326,56640,19.0
1678875466.1928418,57600,15.0
1678875466.9718068,58560,19.0
1678875467.9720387,59520,18.0
1678875468.759037,60480,21.0
1678875469.6061597,61440,22.0
1678875470.6582842,62400,24.0
1678875471.4782846,63360,20.0
1678875472.516284,64320,17.0
1678875473.2963002,65280,14.0
1678875474.3113165,66240,15.0
1678875475.1433163,67200,18.0
1678875476.2505548,68160,22.0
1678875476.9845557,69120,18.0
1678875478.0966492,70080,11.0
1678875478.8406057,71040,20.0
1678875479.8676386,72000,24.0
1678875480.714605,72960,12.0
1678875481.8371181,73920,20.0
1678875482.6531146,74880,18.0
1678875483.822664,75840,16.0
1678875484.6287026,76800,19.0
1678875485.4586992,77760,22.0
1678875486.5366702,78720,22.0
1678875487.341732,79680,18.0
1678875488.453834,80640,11.0
1678875489.259803,81600,13.0
1678875490.4264853,82560,15.0
1678875491.2384653,83520,5.0
1678875492.3004346,84480,8.0
1678875493.0274682,85440,15.0
1678875494.1254718,86400,13.0
1678875494.93859,87360,9.0
1678875496.0687604,88320,18.0
1678875496.8478086,89280,11.0
1678875497.96196,90240,12.0
1678875498.8019269,91200,11.0
1678875499.6139274,92160,16.0
1678875500.744042,93120,12.0
1678875501.5111506,94080,10.0
1678875502.6042724,95040,10.0
1678875503.3992972,96000,13.0
1678875504.530408,96960,12.0
1678875505.4113672,97920,14.0
1678875506.6263983,98880,15.0
1678875507.4254882,99840,10.0
1678875508.5326407,100800,12.0
1678875509.3366096,101760,18.0
1678875510.4357793,102720,8.0
1678875511.27178,103680,10.0
1678875512.3417783,104640,15.0
1678875513.1367848,105600,9.0
1678875514.1778967,106560,11.0
1678875514.9880118,107520,8.0
1678875515.805012,108480,11.0
1678875516.9370122,109440,10.0
1678875517.7691367,110400,9.0
1678875518.7941678,111360,9.0
1678875519.5801861,112320,10.0
1678875520.721408,113280,6.0
1678875521.5973918,114240,8.0
1678875522.848407,115200,4.0
1678875523.6614072,116160,7.0
1678875524.755376,117120,7.0
1678875525.565527,118080,3.0
1678875526.7294154,119040,6.0
1678875527.5464966,120000,6.0
1678875528.7454963,120960,6.0
1678875529.617835,121920,5.0
1678875530.475026,122880,8.0
1678875531.5710537,123840,6.0
1678875532.3630598,124800,2.0
1678875533.4794765,125760,3.0
1678875534.31963,126720,2.0
1678875535.4468296,127680,3.0
1678875536.283832,128640,5.0
1678875537.4399707,129600,3.0
1678875538.277018,130560,5.0
1678875539.414112,131520,3.0
1678875540.2751188,132480,3.0
1678875541.4850814,133440,4.0
1678875542.3751123,134400,3.0
1678875543.530234,135360,4.0
1678875544.4152036,136320,4.0
1678875545.6114786,137280,3.0
1678875546.4555936,138240,2.0
1678875547.2835672,139200,2.0
1678875548.421669,140160,3.0
1678875549.2297945,141120,2.0
1678875550.4017763,142080,2.0
1678875551.3469045,143040,3.0
1678875552.4930506,144000,2.0
1678875553.3020475,144960,3.0
1678875554.533018,145920,2.0
1678875555.3370595,146880,2.0
1678875556.4603784,147840,2.0
1678875557.3265069,148800,2.0
1678875558.4505055,149760,2.0
1678875559.3015409,150720,2.0
1678875560.5102165,151680,2.0
1678875561.4082599,152640,3.0
1678875562.2482896,153600,2.0
1678875563.3832715,154560,2.0
1678875564.227012,155520,2.0
1678875565.3930094,156480,2.0
1678875566.2532423,157440,2.0
1678875567.4323525,158400,2.0
1678875568.235353,159360,2.0
1678875569.44236,160320,2.0
1678875570.2783895,161280,2.0
1678875571.4125566,162240,2.0
1678875572.2836602,163200,2.0
1678875573.4376316,164160,2.0
1678875574.2616615,165120,3.0
1678875575.3835974,166080,2.0
1678875576.1707377,167040,2.0
1678875577.3147354,168000,2.0
1678875578.1729968,168960,2.0
1678875578.969107,169920,2.0
1678875580.0420723,170880,2.0
1678875580.9026508,171840,2.0
1678875582.2300365,172800,2.0
1678875583.0950384,173760,2.0
1678875584.25709,174720,2.0
1678875585.111212,175680,2.0
1678875586.298157,176640,2.0
1678875587.1353183,177600,2.0
1678875588.2892873,178560,2.0
1678875589.12425,179520,2.0
1678875590.2947981,180480,2.0
1678875591.1288285,181440,2.0
1678875592.2824438,182400,2.0
1678875593.1850655,183360,2.0
1678875594.0181885,184320,2.0
1678875595.1171865,185280,2.0
1678875595.9602852,186240,2.0
1678875597.2897477,187200,2.0
1678875598.106784,188160,2.0
1678875599.3012848,189120,2.0
1678875600.1648335,190080,2.0
1678875601.3788352,191040,2.0
1678875602.220839,192000,2.0
1678875603.421809,192960,2.0
1678875604.2618876,193920,2.0
1678875605.4410353,194880,2.0
1678875606.2431617,195840,2.0
1678875607.3571842,196800,2.0
1678875608.2432723,197760,2.0
1678875609.386661,198720,2.0
1678875610.2186375,199680,2.0
1678875611.0026662,200640,2.0
1678875612.0728745,201600,2.0
1678875612.9229083,202560,2.0
1678875614.083995,203520,2.0
1678875614.9141939,204480,2.0
1678875616.122224,205440,2.0
1678875616.947297,206400,2.0
1678875618.1292875,207360,2.0
1678875618.9972668,208320,2.0
1678875620.143302,209280,2.0
1678875620.9737382,210240,2.0
1678875622.1256835,211200,2.0
1678875623.0306826,212160,2.0
1678875624.1969874,213120,2.0
1678875624.998986,214080,2.0
1678875625.844592,215040,2.0
1678875626.9506197,216000,2.0
1678875627.732592,216960,2.0
1678875628.814574,217920,2.0
1678875629.638574,218880,2.0
1678875630.706575,219840,3.0
1678875631.5685747,220800,2.0
1678875632.7420876,221760,2.0
1678875633.7295313,222720,2.0
1678875634.9255612,223680,2.0
1678875635.7586102,224640,2.0
1678875636.9006414,225600,2.0
1678875637.7376428,226560,2.0
1678875638.890678,227520,2.0
1678875639.7197077,228480,2.0
1678875640.8276775,229440,2.0
1678875641.6947823,230400,2.0
1678875642.5857508,231360,2.0
1678875643.7289038,232320,2.0
1678875644.568935,233280,2.0
1678875645.6969485,234240,2.0
1678875646.4970915,235200,2.0
1678875647.6273685,236160,2.0
1678875648.473496,237120,2.0
1678875649.6118724,238080,2.0
1678875650.4678614,239040,2.0
1678875651.6283953,240000,2.0
1678875652.4403667,240960,2.0
1678875653.4708607,241920,2.0
1678875654.2788587,242880,2.0
1678875655.4570198,243840,2.0
1678875656.2729905,244800,2.0
1678875657.050991,245760,2.0
1678875658.1200197,246720,2.0
1678875658.980022,247680,2.0
1678875660.1604383,248640,2.0
1678875660.9594402,249600,2.0
1678875662.1214678,250560,2.0
1678875662.9935167,251520,2.0
1678875664.2025151,252480,2.0
1678875665.0126128,253440,2.0
1678875666.279777,254400,2.0
1678875667.0988052,255360,2.0
1678875668.2058086,256320,2.0
1678875669.0933022,257280,2.0
1678875670.2223043,258240,2.0
1678875671.0143313,259200,2.0
1678875672.1937716,260160,2.0
1678875673.082685,261120,2.0
1678875673.91668,262080,2.0
1678875675.176713,263040,2.0
1678875676.0296419,264000,2.0
1678875677.1836736,264960,2.0
1678875678.0027177,265920,2.0
1678875679.129664,266880,2.0
1678875679.9956625,267840,2.0
1678875681.126745,268800,2.0
1678875681.908746,269760,2.0
1678875683.0317307,270720,2.0
1678875683.882842,271680,2.0
1678875685.0128105,272640,2.0
1678875685.852902,273600,2.0
1678875686.9382656,274560,2.0
1678875687.7703965,275520,2.0
1678875688.600363,276480,2.0
1678875689.6964538,277440,2.0
1678875690.5769932,278400,2.0
1678875691.7462373,279360,2.0
1678875692.6082668,280320,2.0
1678875693.7542722,281280,2.0
1678875694.5412886,282240,2.0
1678875695.6642735,283200,2.0
1678875696.5037196,284160,2.0
1678875697.653712,285120,2.0
1678875698.4377427,286080,2.0
1678875699.5309381,287040,2.0
1678875700.3979533,288000,2.0
1678875701.464967,288960,2.0
1678875702.3003852,289920,2.0
1678875703.405187,290880,3.0
1678875704.2131865,291840,2.0
1678875705.040313,292800,2.0
1678875706.1333234,293760,2.0
1678875706.9663148,294720,2.0
1678875708.1074178,295680,2.0
1678875708.9614093,296640,2.0
1678875710.1655557,297600,2.0
1678875710.9775553,298560,2.0
1678875712.0861514,299520,2.0
1678875712.8781588,300480,2.0
1678875713.9861517,301440,2.0
1678875714.8401513,302400,2.0
1678875716.0295231,303360,2.0
1678875716.8305225,304320,2.0
1678875717.966648,305280,2.0
1678875718.761682,306240,2.0
1678875719.5526478,307200,2.0
