Wall time,Step,Value
1678873569.1637185,960,-1467.4312744140625
1678873570.152932,1920,-1244.6834716796875
1678873571.3819323,2880,-1265.45849609375
1678873572.3169315,3840,-1198.47509765625
1678873573.5179875,4800,-1198.05712890625
1678873574.5399854,5760,-1220.8184814453125
1678873575.7921433,6720,-1198.57470703125
1678873576.810142,7680,-1295.829345703125
1678873578.031142,8640,-1273.3006591796875
1678873578.9990075,9600,-1115.570556640625
1678873580.2200062,10560,-1201.152587890625
1678873581.2201123,11520,-1138.9161376953125
1678873582.4381125,12480,-1288.2904052734375
1678873583.4191127,13440,-978.148681640625
1678873584.6331124,14400,-948.8314208984375
1678873585.6191394,15360,-946.6699829101562
1678873586.583663,16320,-1052.6497802734375
1678873587.834662,17280,-1137.9208984375
1678873588.8526638,18240,-1080.3685302734375
1678873590.0446882,19200,-1148.8846435546875
1678873591.0717058,20160,-1086.3358154296875
1678873592.2706728,21120,-1034.332763671875
1678873593.2716725,22080,-988.752197265625
1678873594.4726725,23040,-927.5798950195312
1678873595.454673,24000,-898.1611328125
1678873596.7047737,24960,-1015.8114624023438
1678873597.6847749,25920,-1016.0086059570312
1678873598.9217744,26880,-943.22900390625
1678873599.870774,27840,-1032.205810546875
1678873601.2067738,28800,-1000.3467407226562
1678873602.138774,29760,-1005.2342529296875
1678873603.146774,30720,-860.734619140625
1678873604.3457754,31680,-878.7679443359375
1678873605.3067734,32640,-844.6320190429688
1678873606.5880172,33600,-908.9733276367188
1678873607.5240164,34560,-865.1176147460938
1678873608.8903816,35520,-801.6865844726562
1678873609.840382,36480,-828.559814453125
1678873611.0573826,37440,-842.7268676757812
1678873612.0428905,38400,-812.5908813476562
1678873613.2428908,39360,-828.8310546875
1678873614.2678907,40320,-741.5943603515625
1678873615.4658928,41280,-755.3035278320312
1678873616.4898906,42240,-783.1964721679688
1678873617.7298908,43200,-768.1474609375
1678873618.709891,44160,-770.482666015625
1678873619.9772732,45120,-710.1782836914062
1678873620.9442723,46080,-863.2385864257812
1678873621.9984376,47040,-886.1243896484375
1678873623.325437,48000,-763.93798828125
1678873624.3934371,48960,-784.7243041992188
1678873625.627438,49920,-777.5674438476562
1678873626.6934373,50880,-831.07958984375
1678873627.934438,51840,-808.6038208007812
1678873628.908438,52800,-792.5218505859375
1678873630.1734688,53760,-754.7554321289062
1678873631.18647,54720,-892.118896484375
1678873632.3934703,55680,-860.0310668945312
1678873633.3609622,56640,-684.4927368164062
1678873634.6169631,57600,-763.426025390625
1678873635.5889623,58560,-781.1942749023438
1678873636.8429644,59520,-818.12353515625
1678873637.7709615,60480,-739.7337036132812
1678873638.8201299,61440,-781.4600830078125
1678873640.0091276,62400,-659.8446044921875
1678873641.0391262,63360,-758.308349609375
1678873642.2371285,64320,-651.4102783203125
1678873643.326127,65280,-660.137939453125
1678873644.5431273,66240,-727.8524169921875
1678873645.5381277,67200,-663.9172973632812
1678873646.7731273,68160,-734.3946533203125
1678873647.7701268,69120,-644.6033325195312
1678873649.0611274,70080,-692.9367065429688
1678873650.072128,71040,-589.67138671875
1678873651.3661273,72000,-561.689453125
1678873652.41007,72960,-594.1727905273438
1678873653.6890695,73920,-591.8316040039062
1678873654.7001057,74880,-585.6673583984375
1678873655.9801118,75840,-566.3785400390625
1678873657.0131102,76800,-544.96826171875
1678873658.0761082,77760,-593.3729858398438
1678873659.3331084,78720,-539.2206420898438
1678873660.387108,79680,-545.4302368164062
1678873661.63329,80640,-533.2866821289062
1678873662.7383177,81600,-492.4569396972656
1678873664.0339234,82560,-491.0071105957031
1678873665.123221,83520,-491.8706359863281
1678873666.4042287,84480,-470.5283508300781
1678873667.514228,85440,-449.382080078125
1678873668.8172276,86400,-451.5335693359375
1678873669.9172268,87360,-413.8167419433594
1678873671.2312272,88320,-418.4806213378906
1678873672.3212276,89280,-429.28802490234375
1678873673.688445,90240,-428.1822509765625
1678873674.796445,91200,-369.8951416015625
1678873675.8754828,92160,-435.85272216796875
1678873677.234483,93120,-392.07171630859375
1678873678.3335247,94080,-375.870849609375
1678873679.7047443,95040,-375.5126037597656
1678873680.7757447,96000,-375.433349609375
1678873682.1867447,96960,-386.98443603515625
1678873683.3039403,97920,-359.1646728515625
1678873684.6279402,98880,-348.98785400390625
1678873685.7360263,99840,-348.9947509765625
1678873687.0350266,100800,-353.3489685058594
1678873688.1370165,101760,-363.8742370605469
1678873689.44803,102720,-351.36029052734375
1678873690.5283685,103680,-342.7493591308594
1678873691.84537,104640,-365.9575500488281
1678873692.9553688,105600,-363.182373046875
1678873694.2523692,106560,-365.093505859375
1678873695.3573725,107520,-365.1549377441406
1678873696.442395,108480,-353.23333740234375
1678873697.7865288,109440,-367.0923156738281
1678873698.862901,110400,-356.9809265136719
1678873700.1988761,111360,-343.48126220703125
1678873701.283809,112320,-345.0177917480469
1678873702.6548421,113280,-355.5360412597656
1678873703.7348094,114240,-341.53961181640625
1678873705.0878093,115200,-325.4425354003906
1678873706.1578085,116160,-339.4776611328125
