Wall time,Step,Value
1679472605,1920,0
1679472607,3840,0
1679472609,5760,0
1679472612,7680,0
1679472614,9600,0
1679472616,11520,0
1679472618,13440,0
1679472620,15360,0
1679472622,17280,0
1679472625,19200,0
1679472627,21120,0
1679472629,23040,0
1679472631,24960,0
1679472633,26880,0
1679472635,28800,0
1679472637,30720,0
1679472639,32640,0
1679472642,34560,0
1679472644,36480,0
1679472646,38400,0
1679472648,40320,0
1679472650,42240,0
1679472652,44160,0
1679472654,46080,0
1679472656,48000,0
1679472659,49920,0
1679472661,51840,0
1679472663,53760,0
1679472665,55680,0
1679472667,57600,0
1679472669,59520,0
1679472671,61440,0
1679472673,63360,0
1679472675,65280,0
1679472678,67200,0
1679472680,69120,0
1679472682,71040,0
1679472684,72960,0
1679472686,74880,0
1679472688,76800,0
1679472691,78720,0
1679472693,80640,0
1679472695,82560,0
1679472697,84480,0
1679472699,86400,0
1679472701,88320,0
1679472703,90240,0
1679472705,92160,0
1679472708,94080,0
1679472710,96000,0
1679472712,97920,0
1679472714,99840,0
1679472716,101760,0
1679472719,103680,0
1679472721,105600,0
1679472723,107520,0
1679472725,109440,0
1679472727,111360,0
1679472729,113280,0
1679472732,115200,0
1679472734,117120,0
1679472736,119040,0
1679472738,120960,0
1679472740,122880,0
1679472743,124800,0
1679472745,126720,0
1679472747,128640,0
1679472749,130560,0
1679472752,132480,0
1679472754,134400,0
1679472756,136320,0
1679472758,138240,0
1679472761,140160,0
1679472763,142080,0
1679472765,144000,0
1679472767,145920,0
1679472770,147840,0
1679472772,149760,0
1679472774,151680,0
1679472776,153600,0
1679472779,155520,0
1679472781,157440,0
1679472783,159360,0
1679472786,161280,0
1679472788,163200,0
1679472790,165120,0
1679472793,167040,0
1679472795,168960,0
1679472797,170880,0
1679472800,172800,0
1679472802,174720,0
1679472804,176640,0
1679472807,178560,0
1679472809,180480,0
1679472811,182400,0
1679472814,184320,0
1679472816,186240,0
1679472818,188160,0
1679472821,190080,0
1679472823,192000,0
1679472825,193920,0
1679472828,195840,0
1679472830,197760,0
1679472832,199680,0
1679472835,201600,0
1679472837,203520,0
1679472839,205440,0
1679472842,207360,0
1679472844,209280,0
1679472846,211200,0
1679472849,213120,0
1679472851,215040,0
1679472854,216960,0
1679472856,218880,0
1679472859,220800,0
1679472861,222720,0
1679472864,224640,0
1679472866,226560,0
1679472868,228480,0
1679472871,230400,0
1679472873,232320,0
1679472876,234240,0
1679472878,236160,0
1679472880,238080,0
1679472883,240000,0
1679472885,241920,0
1679472888,243840,0
1679472890,245760,0
1679472892,247680,0
1679472894,249600,0
1679472897,251520,0
1679472899,253440,0
1679472902,255360,0
1679472904,257280,0
1679472907,259200,0
1679472909,261120,0
1679472911,263040,0
1679472914,264960,0
1679472916,266880,0
1679472919,268800,0
1679472921,270720,0
1679472923,272640,0
1679472926,274560,0
1679472928,276480,0
1679472930,278400,0
1679472933,280320,0
1679472935,282240,0
1679472937,284160,0
1679472940,286080,0
1679472942,288000,0
1679472944,289920,0
1679472947,291840,0
1679472949,293760,0
1679472951,295680,0
1679472954,297600,0
1679472956,299520,0
1679472958,301440,0
1679472961,303360,0
1679472963,305280,0
1679472965,307200,0
1679472967,309120,0
1679472970,311040,0
1679472972,312960,0
1679472974,314880,0
1679472977,316800,0
1679472979,318720,0
1679472981,320640,0
1679472984,322560,0
1679472986,324480,0
1679472989,326400,0
1679472991,328320,0
1679472994,330240,0
1679472996,332160,0
1679472998,334080,0
1679473001,336000,0
1679473003,337920,0
1679473005,339840,0
1679473008,341760,0
1679473010,343680,0
1679473013,345600,0
1679473015,347520,0
1679473018,349440,0
1679473020,351360,0
1679473023,353280,0
1679473025,355200,0
1679473028,357120,0
1679473030,359040,0
1679473032,360960,0
1679473035,362880,0
1679473037,364800,0
1679473040,366720,0
1679473042,368640,0
1679473044,370560,0
1679473046,372480,0
1679473049,374400,0
1679473051,376320,0
1679473054,378240,0
1679473056,380160,0
1679473058,382080,0
1679473061,384000,0
1679473063,385920,0
1679473065,387840,0
1679473068,389760,0
1679473070,391680,0
1679473072,393600,0
1679473075,395520,0
1679473077,397440,0
1679473078,399360,0
