Wall time,Step,Value
1679470932,1920,0.033547036
1679470935,3840,0.034192447
1679470937,5760,0.052909371
1679470940,7680,0.031481721
1679470942,9600,0.019534443
1679470945,11520,0.033188473
1679470947,13440,0.045350887
1679470950,15360,0.045938931
1679470953,17280,0.034723118
1679470955,19200,0.046426572
1679470958,21120,0.021757526
1679470960,23040,0.037835434
1679470963,24960,0.053196218
1679470966,26880,0.018917717
1679470968,28800,0.038409133
1679470970,30720,0.047387518
1679470973,32640,0.045838531
1679470976,34560,0.058216084
1679470979,36480,0.036329474
1679470982,38400,0.056695782
1679470985,40320,0.045379572
1679470988,42240,0.05797226
1679470990,44160,0.076689184
1679470993,46080,0.050212987
1679470995,48000,0.048879135
1679470998,49920,0.045236148
1679471001,51840,0.054028083
1679471003,53760,0.066964991
1679471006,55680,0.067294866
1679471009,57600,0.064211234
1679471011,59520,0.060697332
1679471014,61440,0.06006626
1679471016,63360,0.059234399
1679471019,65280,0.06388136
1679471021,67200,0.06253317
1679471024,69120,0.059306111
1679471027,71040,0.054687835
1679471029,72960,0.057498962
1679471032,74880,0.056150768
1679471035,76800,0.056724466
1679471037,78720,0.060855098
1679471040,80640,0.040646557
1679471042,82560,0.04826241
1679471045,84480,0.050499834
1679471047,86400,0.01782769
1679471050,88320,0.026246719
1679471053,90240,0.037648983
1679471055,92160,0.026863445
1679471058,94080,0.022388594
1679471061,96000,0.013424551
1679471063,97920,0.023507308
1679471066,99840,0.021140801
1679471068,101760,0.031840283
1679471071,103680,0.028297693
1679471074,105600,0.035382871
1679471076,107520,0.039370079
1679471079,109440,0.023105718
1679471082,111360,0.018602183
1679471085,113280,0.035511956
1679471088,115200,0.026146322
1679471091,117120,0.012119386
1679471094,119040,0.024611678
1679471097,120960,0.027207665
1679471099,122880,0.023966266
1679471102,124800,0.023923239
1679471105,126720,0.023837185
1679471108,128640,0.019190224
1679471110,130560,0.026175007
1679471113,132480,0.026935158
1679471116,134400,0.01974958
1679471119,136320,0.022431623
1679471122,138240,0.032069761
1679471125,140160,0.01974958
1679471128,142080,0.022603732
1679471130,144000,0.018501787
1679471133,145920,0.020810923
1679471136,147840,0.013510606
1679471139,149760,0.01870258
1679471142,151680,0.023908896
1679471144,153600,0.022374252
1679471147,155520,0.023163088
1679471150,157440,0.024195746
1679471153,159360,0.02207306
1679471156,161280,0.019950375
1679471159,163200,0.017956771
1679471161,165120,0.018559156
1679471164,167040,0.025615651
1679471167,168960,0.022976637
1679471170,170880,0.019964717
1679471173,172800,0.018468257
1679471176,174720,0.014556675
1679471178,176640,0.013560153
1679471181,178560,0.013830238
1679471184,180480,0.014901266
1679471187,182400,0.012507751
1679471189,184320,0.013858178
1679471192,186240,0.016298261
1679471195,188160,0.015823283
1679471198,190080,0.015096847
1679471201,192000,0.014938521
1679471204,193920,0.016028175
1679471207,195840,0.013290068
1679471210,197760,0.011893074
1679471213,199680,0.012572944
1679471215,201600,0.015385558
1679471218,203520,0.013774359
1679471221,205440,0.016028175
1679471224,207360,0.0148547
1679471227,209280,0.013345947
1679471230,211200,0.011716121
1679471233,213120,0.010943118
1679471235,215040,0.014715001
1679471238,216960,0.013690538
1679471241,218880,0.010794105
1679471244,220800,0.007906985
1679471247,222720,0.010002475
1679471250,224640,0.009900029
1679471252,226560,0.011520542
1679471255,228480,0.014100324
1679471258,230400,0.008512349
1679471261,232320,0.00964857
1679471264,234240,0.005439894
1679471266,236160,0.005388671
1679471269,238080,0.009681166
1679471272,240000,0.010439269
1679471275,241920,0.009127957
1679471278,243840,0.006712276
1679471281,245760,0.006097389
1679471283,247680,0.00525155
1679471286,249600,0.005825249
1679471289,251520,0.005501624
1679471292,253440,0.004045312
1679471295,255360,0.003540244
1679471298,257280,0.004148681
1679471300,259200,0.004207522
1679471303,261120,0.004457198
1679471306,263040,0.003490001
1679471309,264960,0.003427483
1679471312,266880,0.003423805
1679471315,268800,0.002791265
1679471318,270720,0.004383647
1679471320,272640,0.003887574
1679471323,274560,0.00329509
1679471326,276480,0.004663141
1679471329,278400,0.00492057
1679471332,280320,0.003434837
1679471334,282240,0.004199769
1679471337,284160,0.004273321
1679471340,286080,0.002022656
1679471343,288000,0.004493974
1679471346,289920,0.003765817
1679471349,291840,0.003242362
1679471351,293760,0.003648136
1679471354,295680,0.003205586
1679471357,297600,0.002360991
1679471360,299520,0.003309801
1679471363,301440,0.002565691
1679471366,303360,0.001676966
1679471369,305280,0.002052076
1679471371,307200,0.001739881
1679471374,309120,0.001672442
1679471377,311040,0.001943787
1679471380,312960,0.00151063
1679471383,314880,0.001427686
1679471385,316800,0.001244088
1679471388,318720,0.001246294
1679471391,320640,0.001242617
1679471394,322560,0.00095007
1679471397,324480,0.000424191
1679471400,326400,0.000418454
1679471403,328320,0.000449816
1679471405,330240,0.000355995
1679471408,332160,0.000287129
1679471411,334080,0.000271551
1679471414,336000,0.000199677
1679471416,337920,0.000233304
1679471419,339840,0.000290674
1679471422,341760,0.000265814
1679471425,343680,0.001657473
1679471428,345600,0.000165269
1679471431,347520,0.000115647
1679471434,349440,0.000087702
1679471437,351360,0.000085312
1679471439,353280,3.54E-05
1679471442,355200,2.61E-05
1679471445,357120,5.32E-05
1679471448,359040,4.12E-05
1679471450,360960,4.14E-05
1679471453,362880,1.92E-05
1679471456,364800,1.84E-05
1679471459,366720,3.04E-05
1679471461,368640,2.80E-05
1679471464,370560,0
1679471467,372480,0
1679471469,374400,0
1679471472,376320,0
1679471475,378240,0
1679471477,380160,0
1679471480,382080,0
1679471482,384000,0
1679471485,385920,0
1679471487,387840,0
1679471490,389760,0
1679471492,391680,0
1679471495,393600,0
1679471498,395520,0
1679471500,397440,0
1679471502,399360,0
