Wall time,Step,Value
1679491539,1920,32
1679491542,3840,25
1679491544,5760,31
1679491547,7680,27
1679491549,9600,39
1679491552,11520,29
1679491554,13440,23
1679491557,15360,26
1679491559,17280,34
1679491562,19200,36
1679491564,21120,28
1679491567,23040,37
1679491569,24960,30
1679491572,26880,30
1679491574,28800,33
1679491576,30720,28
1679491579,32640,29
1679491581,34560,38
1679491584,36480,27
1679491587,38400,24
1679491589,40320,32
1679491592,42240,34
1679491594,44160,22
1679491596,46080,24
1679491599,48000,26
1679491601,49920,26
1679491604,51840,35
1679491607,53760,30
1679491609,55680,23
1679491611,57600,33
1679491614,59520,24
1679491616,61440,31
1679491619,63360,26
1679491621,65280,34
1679491624,67200,27
1679491626,69120,33
1679491628,71040,27
1679491631,72960,33
1679491633,74880,23
1679491636,76800,23
1679491638,78720,36
1679491641,80640,19
1679491643,82560,21
1679491646,84480,21
1679491648,86400,18
1679491651,88320,14
1679491653,90240,17
1679491655,92160,28
1679491658,94080,16
1679491660,96000,18
1679491663,97920,13
1679491665,99840,20
1679491668,101760,22
1679491670,103680,17
1679491673,105600,18
1679491675,107520,15
1679491677,109440,13
1679491680,111360,9
1679491682,113280,9
1679491685,115200,11
1679491687,117120,8
1679491689,119040,12
1679491692,120960,13
1679491694,122880,11
1679491696,124800,7
1679491699,126720,11
1679491701,128640,12
1679491703,130560,10
1679491705,132480,6
1679491708,134400,6
1679491710,136320,8
1679491712,138240,4
1679491715,140160,5
1679491717,142080,3
1679491719,144000,3
1679491721,145920,3
1679491724,147840,2
1679491726,149760,2
1679491728,151680,3
1679491730,153600,3
1679491732,155520,3
1679491735,157440,4
1679491737,159360,3
1679491739,161280,4
1679491741,163200,3
1679491744,165120,2
1679491746,167040,2
1679491748,168960,2
1679491751,170880,2
1679491753,172800,2
1679491755,174720,3
1679491757,176640,2
1679491760,178560,3
1679491762,180480,3
1679491764,182400,3
1679491766,184320,2
1679491768,186240,2
1679491770,188160,2
1679491773,190080,2
1679491775,192000,3
1679491777,193920,2
1679491780,195840,2
1679491782,197760,2
1679491784,199680,2
1679491786,201600,2
1679491789,203520,3
1679491791,205440,2
1679491794,207360,2
1679491796,209280,3
1679491798,211200,2
1679491801,213120,2
1679491803,215040,2
1679491805,216960,2
1679491807,218880,2
1679491810,220800,2
1679491812,222720,2
1679491814,224640,2
1679491817,226560,2
1679491819,228480,2
1679491822,230400,2
1679491824,232320,2
1679491827,234240,2
1679491829,236160,2
1679491831,238080,2
1679491834,240000,2
1679491836,241920,2
1679491838,243840,2
1679491841,245760,2
1679491843,247680,3
1679491845,249600,2
1679491848,251520,2
1679491850,253440,2
1679491852,255360,3
1679491855,257280,2
1679491857,259200,2
1679491859,261120,3
1679491862,263040,2
1679491864,264960,2
1679491866,266880,2
1679491869,268800,2
1679491871,270720,2
1679491873,272640,2
1679491876,274560,2
1679491878,276480,2
1679491880,278400,2
1679491883,280320,2
1679491885,282240,2
1679491887,284160,2
1679491890,286080,2
1679491892,288000,2
1679491894,289920,2
1679491897,291840,2
1679491899,293760,2
1679491901,295680,2
1679491904,297600,2
1679491906,299520,2
1679491908,301440,3
1679491911,303360,2
1679491913,305280,2
1679491915,307200,2
1679491917,309120,2
1679491920,311040,3
1679491922,312960,2
1679491925,314880,2
1679491927,316800,2
1679491929,318720,2
1679491932,320640,2
1679491934,322560,3
1679491936,324480,3
1679491939,326400,2
1679491941,328320,2
1679491943,330240,2
1679491946,332160,2
1679491948,334080,2
1679491950,336000,2
1679491952,337920,2
1679491954,339840,2
1679491957,341760,2
1679491959,343680,2
1679491961,345600,2
1679491963,347520,3
1679491965,349440,3
1679491968,351360,3
1679491970,353280,2
1679491972,355200,3
1679491974,357120,2
1679491976,359040,2
1679491978,360960,2
1679491980,362880,2
1679491983,364800,2
1679491985,366720,2
1679491987,368640,3
1679491989,370560,2
1679491990,372480,2
1679491992,374400,2
1679491994,376320,2
1679491996,378240,2
1679491998,380160,2
1679492000,382080,2
1679492002,384000,2
1679492004,385920,2
1679492006,387840,2
1679492008,389760,3
1679492010,391680,2
1679492012,393600,2
1679492014,395520,2
1679492016,397440,2
1679492017,399360,2
