Wall time,Step,Value
1679491539.445623,1920,150.0
1679491541.937624,3840,167.0
1679491544.405623,5760,158.0
1679491546.8751352,7680,151.0
1679491549.303136,9600,157.0
1679491551.805136,11520,152.0
1679491554.2841358,13440,155.0
1679491556.789137,15360,145.0
1679491559.3211365,17280,160.0
1679491561.7851362,19200,150.0
1679491564.2371354,21120,153.0
1679491566.7171364,23040,146.0
1679491569.2101352,24960,147.0
1679491571.726136,26880,138.0
1679491574.252136,28800,141.0
1679491576.4151363,30720,143.0
1679491578.9321365,32640,141.0
1679491581.4851363,34560,158.0
1679491584.0101357,36480,143.0
1679491586.5031357,38400,148.0
1679491589.0131352,40320,133.0
1679491591.5421357,42240,140.0
1679491594.0341358,44160,134.0
1679491596.494136,46080,119.0
1679491598.9731357,48000,150.0
1679491601.4671361,49920,133.0
1679491603.9881349,51840,136.0
1679491606.5091352,53760,132.0
1679491608.9941454,55680,134.0
1679491611.4991364,57600,129.0
1679491613.9831352,59520,123.0
1679491616.1601362,61440,123.0
1679491618.6481361,63360,115.0
1679491621.1281362,65280,123.0
1679491623.6291351,67200,128.0
1679491626.0861347,69120,115.0
1679491628.4491355,71040,105.0
1679491630.9321415,72960,115.0
1679491633.401136,74880,104.0
1679491635.8931353,76800,105.0
1679491638.3861358,78720,106.0
1679491640.8921351,80640,99.0
1679491643.3871355,82560,91.0
1679491645.9011357,84480,90.0
1679491648.3521347,86400,77.0
1679491650.8261354,88320,89.0
1679491653.2761364,90240,67.0
1679491655.3411355,92160,83.0
1679491657.8011434,94080,72.0
1679491660.268136,96000,58.0
1679491662.6971357,97920,43.0
1679491665.119136,99840,77.0
1679491667.6021347,101760,64.0
1679491670.0481353,103680,62.0
1679491672.5601373,105600,57.0
1679491675.034135,107520,46.0
1679491677.4036493,109440,40.0
1679491679.8456492,111360,39.0
1679491682.2776492,113280,39.0
1679491684.6756492,115200,33.0
1679491687.0426483,117120,27.0
1679491689.3856494,119040,41.0
1679491691.7286491,120960,28.0
1679491693.7246494,122880,29.0
1679491696.1316502,124800,16.0
1679491698.5206487,126720,20.0
1679491700.8586488,128640,15.0
1679491703.1516492,130560,12.0
1679491705.4906483,132480,12.0
1679491707.8566496,134400,14.0
1679491710.1226492,136320,8.0
1679491712.3876493,138240,4.0
1679491714.5576499,140160,4.0
1679491716.831649,142080,11.0
1679491719.1336489,144000,2.0
1679491721.3576498,145920,1.0
1679491723.6511598,147840,2.0
1679491725.9251595,149760,1.0
1679491728.1511598,151680,1.0
1679491730.046158,153600,3.0
1679491732.3521595,155520,2.0
1679491734.65216,157440,1.0
1679491736.9791596,159360,1.0
1679491739.1861594,161280,2.0
1679491741.4436684,163200,1.0
1679491743.7336695,165120,1.0
1679491746.00867,167040,1.0
1679491748.3146698,168960,1.0
1679491750.509669,170880,3.0
1679491752.7706695,172800,1.0
1679491755.0496693,174720,1.0
1679491757.326669,176640,1.0
1679491759.525669,178560,1.0
1679491761.7766697,180480,1.0
1679491763.9796698,182400,1.0
1679491765.9326692,184320,1.0
1679491768.22867,186240,1.0
1679491770.481669,188160,1.0
1679491772.7846699,190080,1.0
1679491775.0386705,192000,1.0
1679491777.3066692,193920,1.0
1679491779.6206691,195840,1.0
1679491781.8226676,197760,1.0
1679491784.0126703,199680,1.0
1679491786.2396684,201600,1.0
1679491788.55067,203520,1.0
1679491791.2476695,205440,1.0
1679491793.5806947,207360,1.0
1679491795.875695,209280,1.0
1679491798.275693,211200,2.0
1679491800.5946932,213120,1.0
1679491802.602694,215040,1.0
1679491804.8876932,216960,2.0
1679491807.242694,218880,1.0
1679491809.5406942,220800,1.0
1679491811.940694,222720,1.0
1679491814.251694,224640,1.0
1679491816.7046952,226560,1.0
1679491819.1906943,228480,1.0
1679491821.652694,230400,1.0
1679491824.0866933,232320,1.0
1679491826.6152048,234240,1.0
1679491829.0332062,236160,1.0
1679491831.3532052,238080,1.0
1679491833.714206,240000,1.0
1679491836.0432065,241920,1.0
1679491838.4602058,243840,1.0
1679491840.5302057,245760,1.0
1679491842.869205,247680,1.0
1679491845.338719,249600,1.0
1679491847.6527185,251520,1.0
1679491849.9357173,253440,1.0
1679491852.3757184,255360,1.0
1679491854.6757197,257280,1.0
1679491857.0567183,259200,1.0
1679491859.4197173,261120,1.0
1679491861.6547186,263040,1.0
1679491863.8897183,264960,1.0
1679491866.1547189,266880,1.0
1679491868.5037189,268800,1.0
1679491870.8572316,270720,1.0
1679491873.2342312,272640,1.0
1679491875.6802309,274560,1.0
1679491877.6452303,276480,2.0
1679491880.0812316,278400,1.0
1679491882.529231,280320,1.0
1679491884.9697442,282240,1.0
1679491887.3247437,284160,1.0
1679491889.652744,286080,1.0
1679491892.0287437,288000,1.0
1679491894.454744,289920,1.0
1679491896.8367436,291840,1.0
1679491899.2352586,293760,1.0
1679491901.4852593,295680,1.0
1679491903.778258,297600,1.0
1679491906.0942585,299520,1.0
1679491908.419258,301440,1.0
1679491910.7402594,303360,1.0
1679491913.0762584,305280,1.0
1679491915.0652592,307200,1.0
1679491917.44626,309120,1.0
1679491919.888258,311040,1.0
1679491922.2842593,312960,1.0
1679491924.692258,314880,1.0
1679491927.0332916,316800,1.0
1679491929.3518035,318720,1.0
1679491931.7748027,320640,1.0
1679491934.1008034,322560,1.0
1679491936.4148028,324480,1.0
1679491938.725802,326400,1.0
1679491941.0048041,328320,1.0
1679491943.2518027,330240,1.0
1679491945.5538032,332160,1.0
1679491947.8808026,334080,1.0
1679491950.2128024,336000,1.0
1679491952.1578035,337920,1.0
1679491954.3998027,339840,1.0
1679491956.6528032,341760,1.0
1679491959.0088024,343680,1.0
1679491961.1438031,345600,1.0
1679491963.2938032,347520,1.0
1679491965.382803,349440,1.0
1679491967.5078034,351360,1.0
1679491969.650803,353280,1.0
1679491971.8678024,355200,1.0
1679491973.9748027,357120,1.0
1679491976.1508029,359040,1.0
1679491978.2618024,360960,1.0
1679491980.4018025,362880,1.0
1679491982.5388038,364800,1.0
1679491984.6898036,366720,1.0
1679491986.507803,368640,1.0
1679491988.5018032,370560,1.0
1679491990.491803,372480,1.0
1679491992.424803,374400,1.0
1679491994.394803,376320,1.0
1679491996.3507347,378240,1.0
1679491998.270734,380160,1.0
1679492000.1947346,382080,1.0
1679492002.1326556,384000,1.0
1679492004.1128294,385920,1.0
1679492006.0589497,387840,1.0
1679492008.032948,389760,1.0
1679492009.9280682,391680,1.0
1679492011.8330681,393600,1.0
1679492013.8320682,395520,1.0
1679492015.7790687,397440,1.0
1679492017.4970686,399360,1.0
