Wall time,Step,Value
1679472605.075442,1920,2.0
1679472607.2364433,3840,4.0
1679472609.3935602,5760,6.0
1679472611.568484,7680,3.0
1679472613.7208905,9600,2.0
1679472615.862891,11520,4.0
1679472618.0020566,13440,3.0
1679472620.1751719,15360,3.0
1679472622.3681371,17280,3.0
1679472624.530334,19200,4.0
1679472626.7063098,21120,7.0
1679472628.872431,23040,3.0
1679472631.0726752,24960,5.0
1679472633.2240174,26880,6.0
1679472635.3670847,28800,6.0
1679472637.2351248,30720,6.0
1679472639.4022667,32640,3.0
1679472641.5303867,34560,3.0
1679472643.655362,36480,5.0
1679472645.7748492,38400,3.0
1679472647.8980653,40320,4.0
1679472650.0366092,42240,5.0
1679472652.19658,44160,2.0
1679472654.3398654,46080,3.0
1679472656.4480512,48000,4.0
1679472658.5981748,49920,9.0
1679472660.7123513,51840,6.0
1679472662.8374877,53760,4.0
1679472664.9785793,55680,5.0
1679472667.084576,57600,4.0
1679472669.2346091,59520,4.0
1679472671.1697378,61440,5.0
1679472673.3137083,63360,5.0
1679472675.4617064,65280,5.0
1679472677.626706,67200,7.0
1679472679.7728312,69120,5.0
1679472681.9100866,71040,6.0
1679472684.0761185,72960,5.0
1679472686.2333581,74880,5.0
1679472688.4034517,76800,7.0
1679472690.5606668,78720,5.0
1679472692.717794,80640,7.0
1679472694.8849654,82560,9.0
1679472697.0240855,84480,9.0
1679472699.1622145,86400,14.0
1679472701.3375816,88320,6.0
1679472703.4897006,90240,5.0
1679472705.417819,92160,9.0
1679472707.5880718,94080,6.0
1679472709.771193,96000,11.0
1679472711.9671917,97920,12.0
1679472714.1304488,99840,6.0
1679472716.3342266,101760,13.0
1679472718.5305638,103680,8.0
1679472720.7176907,105600,14.0
1679472722.901033,107520,9.0
1679472725.0951443,109440,13.0
1679472727.3028224,111360,13.0
1679472729.4830902,113280,5.0
1679472731.70209,115200,9.0
1679472733.9207308,117120,10.0
1679472736.1517305,119040,6.0
1679472738.3684444,120960,8.0
1679472740.3774126,122880,5.0
1679472742.580446,124800,6.0
1679472744.8275423,126720,8.0
1679472747.0670726,128640,7.0
1679472749.3020744,130560,7.0
1679472751.5132327,132480,8.0
1679472753.7617285,134400,4.0
1679472756.0326715,136320,7.0
1679472758.302705,138240,7.0
1679472760.5557106,140160,9.0
1679472762.789868,142080,7.0
1679472765.045834,144000,4.0
1679472767.3809605,145920,5.0
1679472769.6776366,147840,8.0
1679472771.9566362,149760,7.0
1679472774.2514224,151680,5.0
1679472776.2815447,153600,4.0
1679472778.6235528,155520,2.0
1679472780.942688,157440,6.0
1679472783.2704241,159360,5.0
1679472785.579587,161280,3.0
1679472787.9259622,163200,4.0
1679472790.285051,165120,2.0
1679472792.625128,167040,3.0
1679472794.9376068,168960,3.0
1679472797.322702,170880,2.0
1679472799.6702752,172800,2.0
1679472802.0734007,174720,2.0
1679472804.4125211,176640,2.0
1679472806.7315547,178560,2.0
1679472809.0700905,180480,2.0
1679472811.420345,182400,2.0
1679472813.5375612,184320,2.0
1679472815.8916814,186240,2.0
1679472818.2792208,188160,2.0
1679472820.6242278,190080,2.0
1679472822.95835,192000,2.0
1679472825.2864344,193920,2.0
1679472827.639434,195840,2.0
1679472829.9764323,197760,2.0
1679472832.3394325,199680,2.0
1679472834.6587381,201600,2.0
1679472836.9919884,203520,2.0
1679472839.3429887,205440,2.0
1679472841.7751236,207360,2.0
1679472844.123126,209280,2.0
1679472846.4922988,211200,2.0
1679472848.9963748,213120,2.0
1679472851.145647,215040,2.0
1679472853.7937217,216960,2.0
1679472856.3144004,218880,2.0
1679472858.6993842,220800,3.0
1679472861.121383,222720,2.0
1679472863.6001267,224640,2.0
1679472865.9884634,226560,2.0
1679472868.4056,228480,2.0
1679472870.84469,230400,2.0
1679472873.2256918,232320,2.0
1679472875.6178124,234240,2.0
1679472877.9738889,236160,2.0
1679472880.4159803,238080,2.0
1679472882.797312,240000,2.0
1679472885.1402817,241920,2.0
1679472887.5122821,243840,2.0
1679472889.676245,245760,2.0
1679472892.0502775,247680,2.0
1679472894.467374,249600,2.0
1679472896.8535364,251520,2.0
1679472899.277011,253440,2.0
1679472901.7540972,255360,2.0
1679472904.1412845,257280,2.0
1679472906.5412476,259200,2.0
1679472908.9572475,261120,2.0
1679472911.3100715,263040,2.0
1679472913.671287,264960,2.0
1679472916.0938451,266880,2.0
1679472918.5880923,268800,2.0
1679472920.9671342,270720,2.0
1679472923.3342137,272640,2.0
1679472925.7252142,274560,2.0
1679472927.831336,276480,2.0
1679472930.218336,278400,2.0
1679472932.5647492,280320,2.0
1679472934.9298425,282240,2.0
1679472937.2869153,284160,2.0
1679472939.6410367,286080,2.0
1679472942.0002997,288000,2.0
1679472944.3134286,289920,2.0
1679472946.6174285,291840,2.0
1679472948.9805427,293760,2.0
1679472951.2934754,295680,2.0
1679472953.6139529,297600,2.0
1679472955.9852772,299520,2.0
1679472958.3183708,301440,2.0
1679472960.6714702,303360,2.0
1679472963.0017338,305280,2.0
1679472965.1167052,307200,2.0
1679472967.4548845,309120,2.0
1679472969.8170893,311040,2.0
1679472972.1521163,312960,2.0
1679472974.4313905,314880,2.0
1679472976.752637,316800,2.0
1679472979.1066706,318720,2.0
1679472981.4787643,320640,2.0
1679472983.8588908,322560,2.0
1679472986.2699838,324480,2.0
1679472988.691017,326400,2.0
1679472991.1363814,328320,2.0
1679472993.5617213,330240,2.0
1679472996.0183816,332160,2.0
1679472998.4684992,334080,2.0
1679473000.9075077,336000,2.0
1679473002.9805074,337920,2.0
1679473005.4827192,339840,2.0
1679473007.92784,341760,2.0
1679473010.434871,343680,2.0
1679473012.8670177,345600,2.0
1679473015.380989,347520,2.0
1679473017.9221485,349440,2.0
1679473020.3822706,351360,2.0
1679473022.8073075,353280,2.0
1679473025.2647789,355200,2.0
1679473027.6537476,357120,2.0
1679473030.0239296,359040,2.0
1679473032.3553069,360960,2.0
1679473034.7414687,362880,2.0
1679473037.136519,364800,2.0
1679473039.52869,366720,2.0
1679473041.6187718,368640,2.0
1679473044.0008402,370560,2.0
1679473046.3779197,372480,2.0
1679473048.7839615,374400,2.0
1679473051.1514542,376320,2.0
1679473053.5416806,378240,2.0
1679473055.928839,380160,2.0
1679473058.3195171,382080,2.0
1679473060.675598,384000,2.0
1679473062.9926786,385920,2.0
1679473065.3480446,387840,2.0
1679473067.7075956,389760,2.0
1679473070.066539,391680,2.0
1679473072.423865,393600,2.0
1679473074.6863515,395520,2.0
1679473076.589437,397440,2.0
1679473078.2684844,399360,2.0
