,data,x
0,-1067.683571,0
1,-1167.898856,0
2,-944.9103322,0
3,-1067.683571,1
4,-1167.898856,1
5,-944.9103322,1
6,-1067.683571,2
7,-1167.898856,2
8,-944.9103322,2
9,-1067.683571,3
10,-1167.898856,3
11,-944.9103322,3
12,-1067.683571,4
13,-1167.898856,4
14,-944.9103322,4
15,-1067.683571,5
16,-1167.898856,5
17,-944.9103322,5
18,-1067.683571,6
19,-1167.898856,6
20,-944.9103322,6
21,-1067.683571,7
22,-1167.898856,7
23,-944.9103322,7
24,-1067.683571,8
25,-1167.898856,8
26,-944.9103322,8
27,-1067.683571,9
28,-1167.898856,9
29,-944.9103322,9
30,-1067.683571,10
31,-1167.898856,10
32,-944.9103322,10
33,-1067.683571,11
34,-1167.898856,11
35,-944.9103322,11
36,-1067.683571,12
37,-1167.898856,12
38,-944.9103322,12
39,-1067.683571,13
40,-1167.898856,13
41,-944.9103322,13
42,-1067.683571,14
43,-1167.898856,14
44,-944.9103322,14
45,-1067.683571,15
46,-1167.898856,15
47,-944.9103322,15
48,-1067.683571,16
49,-1167.898856,16
50,-944.9103322,16
51,-1067.683571,17
52,-1167.898856,17
53,-944.9103322,17
54,-1067.683571,18
55,-1167.898856,18
56,-944.9103322,18
57,-1067.683571,19
58,-1167.898856,19
59,-944.9103322,19
60,-1067.683571,20
61,-1167.898856,20
62,-944.9103322,20
63,-1067.683571,21
64,-1167.898856,21
65,-944.9103322,21
66,-1067.683571,22
67,-1167.898856,22
68,-944.9103322,22
69,-1067.683571,23
70,-1167.898856,23
71,-944.9103322,23
72,-1067.683571,24
73,-1167.898856,24
74,-944.9103322,24
75,-1067.683571,25
76,-1167.898856,25
77,-944.9103322,25
78,-1067.683571,26
79,-1167.898856,26
80,-944.9103322,26
81,-1067.683571,27
82,-1167.898856,27
83,-944.9103322,27
84,-1067.683571,28
85,-1167.898856,28
86,-944.9103322,28
87,-1067.683571,29
88,-1167.898856,29
89,-944.9103322,29
90,-1067.683571,30
91,-1167.898856,30
92,-944.9103322,30
93,-1067.683571,31
94,-1167.898856,31
95,-944.9103322,31
96,-1067.683571,32
97,-1167.898856,32
98,-944.9103322,32
99,-1067.683571,33
100,-1167.898856,33
101,-944.9103322,33
102,-1067.683571,34
103,-1167.898856,34
104,-944.9103322,34
105,-1067.683571,35
106,-1167.898856,35
107,-944.9103322,35
108,-1067.683571,36
109,-1167.898856,36
110,-944.9103322,36
111,-1067.683571,37
112,-1167.898856,37
113,-944.9103322,37
114,-1067.683571,38
115,-1167.898856,38
116,-944.9103322,38
117,-1067.683571,39
118,-1167.898856,39
119,-944.9103322,39
120,-1067.683571,40
121,-1167.898856,40
122,-944.9103322,40
123,-1067.683571,41
124,-1167.898856,41
125,-944.9103322,41
126,-1067.683571,42
127,-1167.898856,42
128,-944.9103322,42
129,-1067.683571,43
130,-1167.898856,43
131,-944.9103322,43
132,-1067.683571,44
133,-1167.898856,44
134,-944.9103322,44
135,-1067.683571,45
136,-1167.898856,45
137,-944.9103322,45
138,-1067.683571,46
139,-1167.898856,46
140,-944.9103322,46
141,-1067.683571,47
142,-1167.898856,47
143,-944.9103322,47
144,-1067.683571,48
145,-1167.898856,48
146,-944.9103322,48
147,-1067.683571,49
148,-1167.898856,49
149,-944.9103322,49
150,-1067.683571,50
151,-1167.898856,50
152,-944.9103322,50
153,-1067.683571,51
154,-1167.898856,51
155,-944.9103322,51
156,-1067.683571,52
157,-1167.898856,52
158,-944.9103322,52
159,-1067.683571,53
160,-1167.898856,53
161,-944.9103322,53
162,-1067.683571,54
163,-1167.898856,54
164,-944.9103322,54
165,-1067.683571,55
166,-1167.898856,55
167,-944.9103322,55
168,-1067.683571,56
169,-1167.898856,56
