Wall time,Step,Value
1680515151,1920,0.074472159
1680515155,3840,0.065843388
1680515158,5760,0.055402499
1680515161,7680,0.064741082
1680515164,9600,0.077653684
1680515167,11520,0.048266117
1680515170,13440,0.064004913
1680515173,15360,0.080038875
1680515176,17280,0.061220288
1680515179,19200,0.059712954
1680515182,21120,0.064915359
1680515185,23040,0.041330095
1680515188,24960,0.039149567
1680515191,26880,0.058472876
1680515194,28800,0.06129396
1680515197,30720,0.046614882
1680515200,32640,0.04872771
1680515203,34560,0.062376268
1680515206,36480,0.050472081
1680515209,38400,0.044238884
1680515213,40320,0.031731196
1680515216,42240,0.056217764
1680515219,44160,0.037496343
1680515222,46080,0.031707052
1680515225,48000,0.047573671
1680515228,49920,0.036980491
1680515231,51840,0.020824676
1680515234,53760,0.041902035
1680515237,55680,0.038118828
1680515240,57600,0.028358553
1680515244,59520,0.053915866
1680515246,61440,0.029592019
1680515249,63360,0.031380214
1680515253,65280,0.028675765
1680515256,67200,0.035926417
1680515259,69120,0.022652341
1680515262,71040,0.031065153
1680515265,72960,0.035439979
1680515268,74880,0.03492859
1680515271,76800,0.033702385
1680515274,78720,0.026625637
1680515277,80640,0.018144533
1680515280,82560,0.023338495
1680515283,84480,0.028973404
1680515287,86400,0.028107107
1680515290,88320,0.027923254
1680515293,90240,0.014405906
1680515295,92160,0.03558334
1680515299,94080,0.021957045
1680515302,96000,0.027151491
1680515305,97920,0.019550826
1680515308,99840,0.021643436
1680515311,101760,0.029436881
1680515314,103680,0.02041051
1680515317,105600,0.02323853
1680515320,107520,0.016558634
1680515323,109440,0.01028113
1680515326,111360,0.009422308
1680515329,113280,0.003530361
1680515332,115200,0.001505937
1680515335,117120,0.000210793
1680515338,119040,0.00255899
1680515342,120960,0
1680515344,122880,0
1680515348,124800,6.79701E-05
1680515351,126720,0
1680515354,128640,6.16786E-05
1680515357,130560,0.00138586
1680515360,132480,0.008308221
1680515363,134400,0.009760599
1680515366,136320,0.000878503
1680515369,138240,0.001565142
1680515372,140160,0.002300822
1680515376,142080,9.95892E-05
1680515379,144000,0.000187456
1680515382,145920,0
1680515385,147840,0
1680515388,149760,0
1680515391,151680,0
1680515394,153600,0
1680515397,155520,0.00138672
1680515400,157440,0
1680515403,159360,0
1680515406,161280,0
1680515409,163200,0
1680515413,165120,0
1680515416,167040,0
1680515419,168960,0
1680515422,170880,0
1680515425,172800,0
1680515428,174720,0
1680515431,176640,0
1680515434,178560,0
1680515438,180480,0
1680515441,182400,0
1680515444,184320,0
1680515447,186240,0
1680515450,188160,0.000304199
1680515453,190080,0
1680515456,192000,0
1680515459,193920,0
1680515462,195840,0
1680515465,197760,0
1680515468,199680,0
1680515471,201600,0
1680515475,203520,0
1680515478,205440,2.1886E-05
1680515481,207360,0
1680515484,209280,8.59844E-05
1680515487,211200,0.001017186
1680515490,213120,0
1680515493,215040,0
1680515496,216960,0
1680515499,218880,0.000161537
1680515502,220800,0
1680515505,222720,0.000706803
1680515508,224640,0.000285593
1680515511,226560,0
1680515514,228480,0
1680515518,230400,0
1680515521,232320,0
1680515524,234240,0
1680515527,236160,0
1680515530,238080,0
1680515533,240000,0
1680515536,241920,0
1680515539,243840,0
1680515542,245760,0
1680515545,247680,0
1680515548,249600,0
1680515551,251520,0
1680515555,253440,0
1680515558,255360,0
1680515561,257280,0
1680515564,259200,0
1680515567,261120,0
1680515570,263040,0
1680515573,264960,0
1680515577,266880,0
1680515580,268800,0
1680515583,270720,0
1680515586,272640,0
1680515589,274560,0
1680515592,276480,0
1680515595,278400,0
1680515598,280320,0
1680515601,282240,0
1680515604,284160,0
1680515608,286080,0
1680515611,288000,0
1680515614,289920,0
1680515617,291840,0
1680515621,293760,0
1680515624,295680,0
1680515627,297600,0
1680515630,299520,0
1680515633,301440,0
1680515637,303360,0
1680515640,305280,0
1680515643,307200,0
1680515646,309120,0
1680515649,311040,0
1680515652,312960,0
1680515656,314880,0
1680515659,316800,0
1680515662,318720,0
1680515665,320640,0
1680515668,322560,0
1680515671,324480,0
1680515675,326400,0
1680515678,328320,0
1680515681,330240,0
1680515684,332160,0
1680515687,334080,0
1680515691,336000,0
1680515694,337920,0
1680515697,339840,0
1680515700,341760,0
1680515703,343680,0
1680515706,345600,0
1680515710,347520,0
1680515713,349440,0
1680515716,351360,0
1680515719,353280,0
1680515722,355200,0
1680515725,357120,0
1680515728,359040,0
1680515731,360960,0
1680515734,362880,0
1680515737,364800,0
1680515740,366720,0
1680515743,368640,0
1680515746,370560,0
1680515749,372480,0
1680515752,374400,0
1680515755,376320,0
1680515758,378240,0
1680515761,380160,0
1680515764,382080,0
1680515767,384000,0
1680515770,385920,0
1680515773,387840,0
1680515776,389760,0
1680515779,391680,0
1680515782,393600,0
1680515785,395520,0
1680515788,397440,0
1680515791,399360,0
1680515794,401280,0
1680515797,403200,0
1680515800,405120,0
1680515803,407040,0
1680515806,408960,0
1680515809,410880,0
1680515812,412800,0
1680515815,414720,0
1680515818,416640,0
1680515821,418560,0
1680515824,420480,0
1680515827,422400,0
1680515830,424320,0
1680515833,426240,0
1680515836,428160,0
1680515839,430080,0
1680515842,432000,0
1680515845,433920,0
1680515848,435840,0
1680515851,437760,0
1680515854,439680,0
1680515857,441600,0
1680515860,443520,0
1680515863,445440,0
1680515866,447360,0
1680515869,449280,0
1680515872,451200,0
1680515875,453120,0
1680515878,455040,0
1680515881,456960,0
1680515884,458880,0
1680515887,460800,0
1680515890,462720,0
1680515893,464640,0
1680515896,466560,0.001172001
1680515899,468480,6.2539E-05
1680515902,470400,0
1680515905,472320,0
1680515908,474240,0
1680515911,476160,0
1680515914,478080,0.000536287
1680515917,480000,0.000298445
1680515920,481920,0
1680515923,483840,0
1680515926,485760,0.001799811
1680515929,487680,0
1680515932,489600,0.000662333
1680515935,491520,0
1680515938,493440,0.000321944
1680515941,495360,0
1680515944,497280,0
1680515947,499200,0
1680515950,501120,0
1680515953,503040,0
1680515956,504960,0
1680515959,506880,0.000997128
1680515962,508800,0
1680515965,510720,0.001716945
1680515968,512640,0
1680515971,514560,0
1680515974,516480,0
1680515977,518400,0
1680515980,520320,0
1680515982,522240,0
1680515985,524160,0.001083973
1680515988,526080,0.000381257
1680515991,528000,0.001168613
1680515994,529920,0
1680515997,531840,0
1680516000,533760,0.000671205
1680516003,535680,0
1680516006,537600,0.000287905
1680516009,539520,0
1680516012,541440,0
1680516015,543360,0
1680516018,545280,0
1680516021,547200,0
1680516025,549120,0
1680516028,551040,0.000236497
1680516030,552960,0
1680516033,554880,0
1680516036,556800,0.000330602
1680516039,558720,0
1680516042,560640,0
1680516045,562560,0
1680516048,564480,0
1680516051,566400,0.000494881
1680516054,568320,0
1680516057,570240,0.000364264
1680516060,572160,0
1680516063,574080,0.001522176
1680516066,576000,0
1680516069,577920,0.00262325
1680516072,579840,0
1680516075,581760,0
1680516078,583680,0
1680516081,585600,0
1680516084,587520,0
1680516087,589440,0
1680516090,591360,0
1680516093,593280,0
1680516096,595200,0
1680516099,597120,0
1680516102,599040,0
1680516105,600960,0
1680516108,602880,0
1680516111,604800,0
1680516114,606720,0
1680516117,608640,0
1680516120,610560,0
1680516123,612480,0
1680516126,614400,0
1680516129,616320,0
1680516132,618240,8.60382E-06
1680516135,620160,0
1680516138,622080,0
1680516141,624000,0
1680516144,625920,0
1680516147,627840,0.000879901
1680516150,629760,0.000812093
1680516153,631680,0.000776817
1680516156,633600,0
1680516159,635520,0
1680516162,637440,0
1680516165,639360,0
1680516168,641280,0
1680516171,643200,0
1680516173,645120,0
1680516176,647040,0.000878503
1680516179,648960,0
1680516182,650880,0
1680516185,652800,0
1680516188,654720,0
1680516191,656640,0.000172076
1680516194,658560,0
1680516197,660480,0
1680516200,662400,0.000403895
1680516203,664320,0
1680516206,666240,0
1680516209,668160,0
1680516212,670080,0
1680516215,672000,0
1680516218,673920,0
1680516221,675840,0.001356929
1680516224,677760,0
1680516227,679680,0.000692984
1680516230,681600,0.001527124
1680516233,683520,0
1680516236,685440,0
1680516239,687360,0
1680516242,689280,0.000655718
1680516245,691200,0
1680516248,693120,0
1680516251,695040,0.000429868
1680516254,696960,0
1680516257,698880,0
1680516260,700800,0
1680516263,702720,0
1680516266,704640,0
1680516268,706560,0
1680516271,708480,0
1680516275,710400,0
1680516278,712320,0
1680516281,714240,0
1680516283,716160,0
1680516287,718080,0
1680516290,720000,0.000520101
1680516293,721920,0
1680516296,723840,6.59805E-05
1680516299,725760,0
1680516302,727680,0
1680516305,729600,0
1680516308,731520,0
1680516311,733440,0
1680516314,735360,0
1680516316,737280,0
1680516319,739200,0
1680516322,741120,0
1680516325,743040,0
1680516328,744960,0
1680516331,746880,0
1680516334,748800,0
1680516337,750720,0
1680516340,752640,0
1680516343,754560,0
1680516346,756480,0
1680516349,758400,0
1680516352,760320,0
1680516355,762240,0
1680516358,764160,0
1680516361,766080,0
1680516364,768000,0
1680516367,769920,0
1680516370,771840,0
1680516373,773760,0
1680516376,775680,0
1680516379,777600,0
1680516382,779520,0
1680516385,781440,0
1680516388,783360,0
1680516391,785280,0
1680516394,787200,0
1680516397,789120,0
