Wall time,Step,Value
1679813282,1920,-6897.919922
1679813335,3840,-7544.375
1679813338,5760,-7762.47168
1679813340,7680,-6037.355469
1679813343,9600,-5974.462402
1679813346,11520,-5969.981445
1679813349,13440,-7280.117188
1679813352,15360,-5906.294434
1679813355,17280,-4981.512695
1679813358,19200,-6766.873535
1679813360,21120,-6718.618652
1679813363,23040,-6000.33252
1679813366,24960,-6181.563477
1679813369,26880,-5017.494141
1679813372,28800,-5677.066406
1679813374,30720,-6560.284668
1679813377,32640,-5226.905762
1679813380,34560,-5119.672852
1679813383,36480,-6167.713867
1679813385,38400,-4845.48584
1679813388,40320,-6053.374512
1679813391,42240,-5630.418945
1679813394,44160,-5202.320801
1679813397,46080,-4227.815918
1679813400,48000,-4650.899414
1679813402,49920,-5103.543945
1679813405,51840,-4424.146484
1679813408,53760,-4796.472168
1679813411,55680,-3283.248535
1679813414,57600,-3999.109863
1679813416,59520,-4642.817871
1679813419,61440,-3693.606689
1679813422,63360,-3727.159668
1679813424,65280,-4505.693848
1679813427,67200,-3700.031982
1679813430,69120,-3542.213135
1679813433,71040,-3194.571289
1679813436,72960,-3985.745605
1679813439,74880,-3801.840576
1679813442,76800,-4768.983398
1679813444,78720,-3377.376709
1679813447,80640,-3521.162598
1679813450,82560,-3589.905029
1679813452,84480,-3804.116699
1679813455,86400,-3650.965332
1679813458,88320,-3778.468506
1679813460,90240,-3613.581543
1679813463,92160,-2999.037109
1679813465,94080,-3502.544434
1679813468,96000,-3518.485596
1679813471,97920,-3554.400879
1679813474,99840,-2570.119385
1679813476,101760,-3164.364502
1679813479,103680,-2863.387939
1679813482,105600,-2980.320801
1679813485,107520,-2635.102295
1679813488,109440,-3190.841797
1679813491,111360,-4100.021973
1679813494,113280,-3323.237549
1679813497,115200,-2641.31543
1679813500,117120,-2428.854004
1679813503,119040,-1948.831299
1679813505,120960,-2641.643311
1679813508,122880,-2532.916748
1679813511,124800,-1616.09729
1679813513,126720,-1523.961548
1679813516,128640,-1587.659912
1679813519,130560,-1455.595215
1679813522,132480,-2027.940918
1679813525,134400,-1949.911499
1679813528,136320,-1741.706299
1679813531,138240,-924.0504761
1679813534,140160,-1354.457886
1679813537,142080,-1970.002075
1679813540,144000,-924.0375977
1679813542,145920,-1541.732422
1679813545,147840,-1172.106201
1679813548,149760,-1057.979736
1679813551,151680,-1451.589233
1679813553,153600,-1037.353882
1679813556,155520,-1313.894409
1679813559,157440,-892.6218262
1679813562,159360,-1647.179077
1679813565,161280,-1307.814697
1679813567,163200,-1593.921875
1679813570,165120,-1435.204468
1679813573,167040,-978.5647583
1679813576,168960,-963.468689
1679813579,170880,-1051.387451
1679813582,172800,-1217.044678
1679813584,174720,-1258.157349
1679813587,176640,-1381.516968
1679813589,178560,-1092.974487
1679813592,180480,-1256.816162
1679813595,182400,-1234.454224
1679813597,184320,-1012.777649
1679813600,186240,-994.9762573
1679813603,188160,-974.7748413
1679813605,190080,-966.1401978
1679813608,192000,-1180.675903
1679813610,193920,-1003.151062
1679813613,195840,-961.7115479
1679813616,197760,-853.0488892
1679813618,199680,-1614.386597
1679813621,201600,-888.5475464
1679813623,203520,-1260.846802
1679813626,205440,-1031.836548
1679813629,207360,-1210.946411
1679813632,209280,-1208.392334
1679813634,211200,-1216.600708
1679813637,213120,-1015.450684
1679813639,215040,-1099.471436
1679813642,216960,-1044.614746
1679813645,218880,-1354.566895
1679813648,220800,-832.5571899
1679813651,222720,-831.5284424
1679813654,224640,-934.6255493
1679813657,226560,-920.3660278
1679813660,228480,-794.1941528
1679813663,230400,-818.5645752
1679813666,232320,-847.9301758
1679813669,234240,-816.0066528
1679813672,236160,-770.6795044
1679813674,238080,-916.9683838
1679813677,240000,-775.1040649
1679813680,241920,-874.451355
1679813683,243840,-782.9500122
1679813685,245760,-768.2186279
1679813688,247680,-792.4413452
1679813691,249600,-765.999939
1679813694,251520,-787.8678589
1679813697,253440,-758.0926514
1679813699,255360,-756.6877441
1679813702,257280,-746.1885986
1679813704,259200,-737.338501
1679813707,261120,-803.4193726
1679813710,263040,-736.1782227
1679813713,264960,-735.6641846
1679813715,266880,-742.1494141
1679813718,268800,-715.9672852
1679813721,270720,-710.8865356
1679813723,272640,-694.4249268
1679813726,274560,-790.3394165
1679813728,276480,-675.6568604
1679813731,278400,-646.6855469
1679813733,280320,-659.9932251
1679813736,282240,-679.6295166
