Wall time,Step,Value
1679754788.6413665,1920,-27279.83984375
1679754792.4983668,3840,-26060.396484375
1679754796.118367,5760,-25601.826171875
1679754799.9523666,7680,-25919.609375
1679754803.696367,9600,-26396.138671875
1679754807.1983669,11520,-26780.18359375
1679754811.0053666,13440,-25130.560546875
1679754814.8953664,15360,-26411.427734375
1679754818.6363676,17280,-25821.537109375
1679754822.3733675,19200,-26084.8671875
1679754826.0833673,21120,-26124.505859375
1679754829.8333666,23040,-23586.501953125
1679754833.5783677,24960,-24015.783203125
1679754837.3323667,26880,-26572.98046875
1679754841.0383673,28800,-26349.666015625
1679754844.3703682,30720,-24580.56640625
1679754848.1723676,32640,-24561.8671875
1679754851.9803677,34560,-23912.890625
1679754855.6833665,36480,-23932.787109375
1679754859.407367,38400,-23149.494140625
1679754863.1503673,40320,-23104.322265625
1679754866.910367,42240,-23002.216796875
1679754870.6913667,44160,-21745.423828125
1679754874.3743668,46080,-23144.962890625
1679754878.048367,48000,-24747.91015625
1679754881.798367,49920,-21295.404296875
1679754885.6243668,51840,-21765.37890625
1679754889.3753674,53760,-21171.818359375
1679754893.1633666,55680,-23191.6171875
1679754896.9253325,57600,-19751.595703125
1679754900.6963341,59520,-20496.673828125
1679754904.0033336,61440,-21201.99609375
1679754907.6813333,63360,-22444.583984375
1679754911.4273326,65280,-21800.8828125
1679754915.1023328,67200,-19425.94140625
1679754918.8203332,69120,-20776.66796875
1679754922.5703335,71040,-20281.744140625
1679754926.1803365,72960,-20425.38671875
1679754929.9003325,74880,-21208.59375
1679754933.514332,76800,-19632.06640625
1679754937.2843323,78720,-20211.958984375
1679754940.9953327,80640,-19775.984375
1679754944.7203329,82560,-18085.48828125
1679754948.454332,84480,-18620.9921875
1679754952.1683323,86400,-17715.7109375
1679754955.882333,88320,-19844.583984375
1679754959.6023562,90240,-18781.095703125
1679754962.9763565,92160,-20692.6015625
1679754966.731358,94080,-18484.529296875
1679754970.4698677,96000,-19383.447265625
1679754974.1838667,97920,-18420.53125
1679754977.9328668,99840,-18042.125
1679754981.6178658,101760,-15688.017578125
1679754985.2148669,103680,-18350.84375
1679754988.942378,105600,-17005.91015625
1679754992.7013774,107520,-17934.720703125
1679754996.4663782,109440,-16481.5546875
1679755000.202378,111360,-15712.1904296875
1679755003.9883776,113280,-16669.986328125
1679755007.7063785,115200,-16764.728515625
1679755011.4303772,117120,-17801.802734375
1679755015.1323783,119040,-16605.771484375
1679755018.8263776,120960,-16261.5185546875
1679755022.279379,122880,-16669.998046875
1679755026.0303776,124800,-16831.466796875
1679755029.7853773,126720,-17043.845703125
1679755033.4183772,128640,-15839.6259765625
1679755037.096378,130560,-16549.099609375
1679755040.7323775,132480,-16801.330078125
1679755044.4203775,134400,-15479.689453125
1679755048.2143774,136320,-17238.064453125
1679755051.9412189,138240,-15163.958984375
1679755055.6762183,140160,-13292.0859375
1679755059.4522183,142080,-13239.4697265625
1679755063.2432182,144000,-13542.5458984375
1679755066.9272184,145920,-12196.669921875
