resnet50,vgg19,densenet201,mobilenet
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,19.73389550238244,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,37.314517485797296,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,19.40090748058651,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,24.49456613533914,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,8.441570198473698,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,57.73361441233601,0,0
0,76.83109965733297,0,0
0,79.30840126344788,0,0
0,63.52666257469832,0,0
0,86.69586648121867,0,0
0,78.20946843527815,0,0
0,0,0,0
0,0,0,0
0,39.225663298570794,0,0
0,213.6740442155275,0,0
0,0,0,0
0,0,0,0
0,34.73757031869991,0,0
0,80.20013726227614,0,0
0,0,42.080859706127285,0
0,0,11.259584682929699,0
0,30.803511843243086,9.879950134176738,0
0,79.04058095166147,8.494103216098381,0
0,78.9426201081526,18.44556001146657,0
0,0,113.44675780235298,0
0,0,37.49105625590994,0
0,0,43.918688247034765,0
0,50.03719288097534,51.29489010605607,0
0,185.91570463369112,0,0
0,38.09447635495212,0,0
0,0,122.67887885707444,0
0,0,0,0
0,0,3.657719344373959,0
0,0,116.9683217444275,0
0,113.15268662323342,0,0
0,118.92677630977323,0,0
0,117.82386961044074,0,0
0,0,0,0
0,0,15.086600331127329,0
0,0,121.47867470408244,0
0,0,211.58629060078533,0
0,0,112.4634037578121,0
0,0,122.50319489311369,0
0,0,0,0
0,0,140.36037227237887,0
0,0,127.47271143778414,0
0,0,0,0
0,0,56.857554927477736,0
0,0,118.59035917616245,0
0,0,127.56786060433103,0
0,0,0,0
0,0,57.497875506169635,0
0,0,0,0
0,0,55.61088130962162,0
0,0,123.96946354660338,0
0,0,121.1309005148114,0
0,0,115.32706189646512,0
0,0,108.0264070559233,0
0,0,0,0
0,0,21.189019510906974,0
0,0,96.46335398415454,0
0,0,91.38894019228371,0
0,0,72.24483251138747,0
0,0,66.43588421714867,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,58.76014872056908,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,16.62373708031032,0
0,0,33.42653369265224,0
0,0,44.732039051135416,0
0,0,26.866066332245964,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
