resnet50,vgg19,densenet201,mobilenet
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5.348555314374153,0,0,0
46.15763318729853,0,0,0
44.03048104063805,13.619439583882468,0,0
41.90332889397769,58.15968751876858,0,0
43.90332889397769,63.03890933212597,0,0
38.64902460065696,53.22007661208977,0,0
49.03048104063805,62.03890933212597,0,0
46.90332889397769,58.09929842544727,0,0
39.64902460065696,55.15968751876858,0,0
53.15763318729853,45.34085479873238,0,0
44.77617674731732,49.280465705411075,0,0
41.64902460065696,52.22007661208977,0,0
57.28478533395901,46.34085479873238,0,0
55.15763318729853,52.15968751876858,0,0
48.90332889397769,51.15968751876858,0,0
42.64902460065696,48.15968751876858,0,0
58.28478533395901,35.34085479873238,0,0
59.28478533395901,39.15968751876858,0,0
51.90332889397769,29.280465705411075,0,0
48.77617674731732,32.09929842544727,0,0
50.90332889397769,20.22007661208977,0,0
49.90332889397769,15.159687518768578,0,0
47.77617674731732,9.099298425447273,0,0
52.90332889397769,3.0389093321260248,0,0
60.15763318729853,0,0,0
54.03048104063805,0,0,0
43.64902460065696,0,0,0
57.28478533395901,0,0,0
39.64902460065696,0,0,0
45.03048104063805,0,0,0
39.03048104063805,0,0,0
42.28478533395901,0,0,0
36.15763318729853,0,0,0
28.03048104063805,0,0,0
13.649024600656958,0,0,0
13.776176747317322,0,0,0
23.284785333959007,0,0,0
7.776176747317322,0,0,0
9.030481040638108,0,0,0
5.157633187298529,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,2.9069311605876464,0
0,0,18.185798698695294,0
0,0,17.865926525247914,0
0,0,7.851993714199409,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
