ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   50,    1,    1","  256,    1,    1","6,652",0.00,6.17,2.02,38
1,7,volta_scudnn_128x64_relu_xregs_large_nn_v1,volta_scudnn_128x64_relu_xregs_large_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","  128,    1,    1","1,335,311",0.98,68.63,36.31,160
2,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,206",0.00,0.01,0.84,20
3,10,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   64,    1,    1","  512,    1,    1","787,935",0.57,12.12,81.22,48
4,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"100352,    1,    1","   64,    1,    1","506,487",0.37,4.67,83.76,20
5,12,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","  256,    1,    1","476,632",0.36,42.57,78.89,26
6,12,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,075",0.00,0.01,0.35,20
7,10,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   64,    1,    1","  512,    1,    1","196,638",0.15,12.43,79.22,48
8,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","121,984",0.09,4.86,83.26,20
9,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   13,    1,    1","  256,    1,    1","4,231",0.00,1.99,2.44,38
10,7,volta_scudnn_128x128_relu_interior_nn_v1,volta_scudnn_128x128_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  784,    1,    1","  256,    1,    1","320,903",0.23,61.56,48.43,128
11,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","4,987",0.00,0.00,0.22,20
12,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","411,941",0.31,11.85,76.99,48
13,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","258,602",0.19,4.58,80.87,20
14,11,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,  128,    1","  256,    1,    1","498,839",0.37,16.75,69.92,128
15,7,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    1","   32,    8,    1","6,920",0.01,3.54,8.45,64
16,11,volta_sgemm_128x32_nn,volta_sgemm_128x32_nn,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,   36","  256,    1,    1","455,188",0.33,47.75,65.57,57
17,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   32,    1","  256,    1,    1","103,388",0.08,17.84,79.46,80
18,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,    2,    1","  512,    1,    1","215,624",0.16,25.10,72.25,33
19,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,110",0.00,0.01,1.49,20
20,10,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   96,    1,    1","  512,    1,    1","296,630",0.22,12.35,79.73,48
21,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"37632,    1,    1","   64,    1,    1","186,440",0.14,4.77,86.08,20
22,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   13,    1,    1","  256,    1,    1","3,763",0.00,2.25,0.82,38
23,7,volta_scudnn_128x128_relu_interior_nn_v1,volta_scudnn_128x128_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  784,    1,    1","  256,    1,    1","449,206",0.33,65.10,40.62,128
24,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,090",0.00,0.01,0.34,20
