Model,Batch,GPU Resource,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,Latency
alexnet,12,10,27595405,7065439,14534063,4813444,21187629,14536097,14.37046847
alexnet,12,100,24222422,7118968,14886083,4681666,17677180,14867395,2.209986563
alexnet,12,20,27494102,7076317,14523785,5030199,21136741,14740149,7.384421434
alexnet,12,30,27556388,7089521,14455657,4880549,21297412,14455997,4.692299509
alexnet,12,40,22785505,7137142,14517509,5236113,16751223,14565686,3.537174742
alexnet,12,50,23484105,7122984,14513924,4970191,17503524,14508907,3.237425914
alexnet,12,60,23147518,7118182,14564319,5270038,17558120,14562941,2.939362879
alexnet,12,70,25458705,7124077,14670565,4977260,19407105,14756205,2.542159688
alexnet,12,80,25032695,7130154,14760020,5093867,19260755,14785121,2.578272636
alexnet,12,90,25023336,7131419,14830223,4908655,19206872,14845141,2.570295682
alexnet,16,10,29689766,8008338,15469037,5603860,23363349,15518668,15.24888515
alexnet,16,100,26143069,8080831,15727980,5495377,19708885,15770431,2.370521915
alexnet,16,20,29588659,8022112,15361435,5710277,23346791,15368611,7.824366417
alexnet,16,30,29660913,8040328,15349722,5533613,23519535,15561961,4.939607677
alexnet,16,40,24681192,8104920,15403009,6005168,18757332,15394517,3.66186239
alexnet,16,50,25406323,8086294,15403238,5782156,19540329,15492087,3.455097604
alexnet,16,60,25061479,8080476,15599523,5764781,19599436,15449402,3.12655328
alexnet,16,70,27369227,8088820,15551749,5503964,21480089,15545553,2.809615033
alexnet,16,80,26945869,8094920,15676331,5628179,21247867,15658675,2.58388097
alexnet,16,90,26953958,8097668,15698085,5799516,21302183,15711401,2.526738558
alexnet,4,10,19355371,2589029,10681978,1596204,11775972,10645357,7.289591007
alexnet,4,100,15250652,1561638,9220009,604948,7849253,9216479,1.693055037
alexnet,4,20,19293247,2588757,10951681,1331316,11474652,10891350,3.873711677
alexnet,4,30,19107684,2590177,10517826,1454014,11715255,10512781,3.332309444
alexnet,4,40,18988189,2595440,10504639,1384066,11573987,10504457,2.656373122
alexnet,4,50,18902084,2594728,10304294,1267310,11681410,10305441,2.047371198
alexnet,4,60,18803466,2594817,10336249,1354416,11549543,10340509,1.909647038
alexnet,4,70,18700467,2593573,10326075,1264304,11447506,10356643,1.650694399
alexnet,4,80,16396579,2605897,10374247,1523805,9801832,10422635,1.747585601
alexnet,4,90,15940843,1566085,9300979,540310,9160687,9302903,1.979234238
alexnet,8,10,25268535,5261079,12791056,3313240,18573075,13252056,13.77117698
alexnet,8,100,22120408,3544431,11521236,1877630,14658761,11575124,1.871711354
alexnet,8,20,30438865,5274085,12688378,3589253,23875799,13034824,6.741778884
alexnet,8,30,30439193,5279850,12861454,3916092,23818241,13551826,4.173919377
alexnet,8,40,21397281,5526609,12881774,3350744,14986759,12888838,3.163679368
alexnet,8,50,27307332,5288909,12984845,3397661,20513004,13008711,3.093435526
alexnet,8,60,27226488,5287449,13064637,3547371,20359113,13061041,2.612164159
alexnet,8,70,28542652,5286877,13181669,3395816,21541987,13189308,2.548271677
alexnet,8,80,22941020,5315902,13231457,3648011,16615434,13241251,2.199718075
alexnet,8,90,22926689,3551801,11807304,2185431,16011178,11799072,2.149110413
densenet201,12,10,270526750,142457128,191602439,101887616,233571812,191115510,144.8880595
densenet201,12,100,300957660,139685417,187539418,95972952,263443001,187389724,32.73738552
densenet201,12,20,272022365,142320995,189516697,100931669,235722679,189571192,83.05886887
densenet201,12,30,273740769,142268053,191243200,101683084,235278584,191279871,53.12325222
densenet201,12,40,270748524,142260094,189910849,100385375,233529271,190191284,45.67318001
densenet201,12,50,270543056,142203996,186734158,100486964,236149703,186939421,41.33545521
densenet201,12,60,270283777,142176316,185799076,101201853,236647546,185636341,36.47886833
densenet201,12,70,271072726,142179360,185920401,101531126,237277147,186281831,35.50106277
densenet201,12,80,270919562,142154384,186283198,101403770,236742046,186430072,34.60254864
densenet201,12,90,297404612,139691354,187193711,97788518,260136423,187042992,33.0116893
densenet201,16,10,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
